Web Search interest: sunburn
Alabama (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,37
2008-06,39
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,34
2009-05,29
2009-06,55
2009-07,32
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,28
2010-04,35
2010-05,36
2010-06,48
2010-07,42
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,24
2011-04,48
2011-05,49
2011-06,56
2011-07,43
2011-08,18
2011-09,14
2011-10,11
2011-11,11
2011-12,11
2012-01,11
2012-02,11
2012-03,37
2012-04,39
2012-05,58
2012-06,57
2012-07,41
2012-08,18
2012-09,15
2012-10,9
2012-11,7
2012-12,7
2013-01,7
2013-02,10
2013-03,27
2013-04,54
2013-05,66
2013-06,76
2013-07,38
2013-08,25
2013-09,9
2013-10,8
2013-11,9
2013-12,10
2014-01,7
2014-02,7
2014-03,28
2014-04,50
2014-05,67
2014-06,98
2014-07,71
2014-08,24
2014-09,14
2014-10,11
2014-11,16
2014-12,22
2015-01,27
2015-02,33
2015-03,38
2015-04,36
2015-05,70
2015-06,100
2015-07,54
2015-08,24
2015-09,13
2015-10,9
2015-11,7
2015-12,7
2016-01,7
2016-02,7
2016-03,22


Top metros for sunburn
Metro,sunburn
Mobile AL-Pensacola (Ft. Walton Beach) FL,100
Birmingham AL,41
Atlanta GA,39
Columbus GA,0
Dothan AL,0
Columbus-Tupelo-West Point MS,0
Huntsville-Decatur (Florence) AL,0
Montgomery (Selma) AL,0
Meridian MS,0


Top cities for sunburn
City,sunburn
Orange Beach,100
Gulf Shores,45
Dothan,8
Auburn,7
Mobile,7
Tuscaloosa,6
Huntsville,5
Birmingham,4
Montgomery,4



Top searches for sunburn
sunburn remedies,100
sunburn peeling,90
sunburn treatment,85
sunburn relief,75
vinegar sunburn,75
sunburn blisters,65



Rising searches for sunburn
sunburn blisters,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout
vinegar sunburn,Breakout



