Web Search interest: sunburn
Arkansas (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,65
2009-07,40
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,72
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,22
2011-04,24
2011-05,40
2011-06,63
2011-07,43
2011-08,19
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,22
2012-04,25
2012-05,53
2012-06,54
2012-07,34
2012-08,17
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,16
2013-04,26
2013-05,48
2013-06,76
2013-07,38
2013-08,16
2013-09,12
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,15
2014-04,21
2014-05,44
2014-06,87
2014-07,72
2014-08,22
2014-09,14
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,13
2015-04,19
2015-05,31
2015-06,100
2015-07,68
2015-08,26
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0


Top metros for sunburn
Metro,sunburn
Little Rock-Pine Bluff AR,100
Memphis TN,89
Shreveport LA,0
Springfield MO,0
Monroe LA-El Dorado AR,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Jonesboro AR,0


Top cities for sunburn
City,sunburn
Fayetteville,100
Little Rock,68









