Web Search interest: sunburn
Arizona (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,88
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,30
2007-06,37
2007-07,39
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,21
2008-04,23
2008-05,31
2008-06,48
2008-07,31
2008-08,23
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,24
2009-04,20
2009-05,43
2009-06,36
2009-07,48
2009-08,27
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,27
2010-04,31
2010-05,41
2010-06,60
2010-07,54
2010-08,33
2010-09,20
2010-10,12
2010-11,12
2010-12,12
2011-01,12
2011-02,12
2011-03,30
2011-04,38
2011-05,63
2011-06,72
2011-07,63
2011-08,34
2011-09,21
2011-10,12
2011-11,10
2011-12,7
2012-01,7
2012-02,13
2012-03,29
2012-04,47
2012-05,68
2012-06,83
2012-07,61
2012-08,36
2012-09,20
2012-10,11
2012-11,8
2012-12,8
2013-01,9
2013-02,11
2013-03,31
2013-04,40
2013-05,52
2013-06,81
2013-07,65
2013-08,34
2013-09,22
2013-10,10
2013-11,8
2013-12,7
2014-01,7
2014-02,12
2014-03,32
2014-04,34
2014-05,53
2014-06,100
2014-07,85
2014-08,39
2014-09,27
2014-10,11
2014-11,9
2014-12,7
2015-01,8
2015-02,13
2015-03,37
2015-04,28
2015-05,38
2015-06,80
2015-07,82
2015-08,44
2015-09,24
2015-10,10
2015-11,6
2015-12,6
2016-01,8
2016-02,12
2016-03,0


Top metros for sunburn
Metro,sunburn
Phoenix AZ,100
Albuquerque-Santa Fe NM,98
Yuma AZ-El Centro CA,0
Tucson (Sierra Vista) AZ,0


Top cities for sunburn
City,sunburn
Gilbert,100
Tempe,96
Mesa,95
Glendale,92
Scottsdale,86
Chandler,81
Tucson,73
Phoenix,71



Top searches for sunburn
sunburn peeling,100
sunburn remedies,85
sunburn treatment,75
sunburn relief,60
treat sunburn,55
sunburn blisters,55
bad sunburn,55



Rising searches for sunburn
bad sunburn,Breakout
sunburn blisters,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout
treat sunburn,Breakout



