Web Search interest: sunburn
Colorado (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,59
2005-07,55
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,48
2006-05,35
2006-06,40
2006-07,34
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,20
2007-06,35
2007-07,30
2007-08,22
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,18
2008-05,24
2008-06,43
2008-07,28
2008-08,11
2008-09,11
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,12
2009-04,17
2009-05,25
2009-06,43
2009-07,35
2009-08,25
2009-09,13
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,15
2010-04,19
2010-05,39
2010-06,65
2010-07,42
2010-08,26
2010-09,11
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,10
2011-04,17
2011-05,42
2011-06,67
2011-07,51
2011-08,25
2011-09,14
2011-10,6
2011-11,5
2011-12,5
2012-01,5
2012-02,7
2012-03,23
2012-04,34
2012-05,44
2012-06,68
2012-07,47
2012-08,29
2012-09,13
2012-10,4
2012-11,5
2012-12,4
2013-01,4
2013-02,6
2013-03,15
2013-04,28
2013-05,42
2013-06,73
2013-07,46
2013-08,18
2013-09,13
2013-10,4
2013-11,4
2013-12,4
2014-01,5
2014-02,4
2014-03,19
2014-04,23
2014-05,48
2014-06,82
2014-07,63
2014-08,28
2014-09,14
2014-10,8
2014-11,4
2014-12,4
2015-01,5
2015-02,6
2015-03,28
2015-04,18
2015-05,26
2015-06,100
2015-07,61
2015-08,29
2015-09,12
2015-10,6
2015-11,5
2015-12,5
2016-01,5
2016-02,8
2016-03,0


Top metros for sunburn
Metro,sunburn
Denver CO,100
Colorado Springs-Pueblo CO,0
Grand Junction-Montrose CO,0


Top cities for sunburn
City,sunburn
Grand Junction,100
Lakewood,91
Colorado Springs,78
Denver,67
Fort Collins,67
Littleton,60
Boulder,55
Aurora,55
Englewood,46



Top searches for sunburn
sunburn remedies,100
sunburn peeling,90
sunburn treatment,85
sunburn relief,70
treat sunburn,60
bad sunburn,60
sunburn blisters,55
vinegar sunburn,50
remedies for sunburn,35
sunburn remedy,35
severe sunburn,30



Rising searches for sunburn
bad sunburn,Breakout
remedies for sunburn,Breakout
severe sunburn,Breakout
sunburn blisters,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn remedy,Breakout
sunburn treatment,Breakout
treat sunburn,Breakout



