Web Search interest: sunburn
Connecticut (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,96
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,33
2007-06,43
2007-07,40
2007-08,35
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,25
2008-06,55
2008-07,43
2008-08,31
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,32
2009-05,25
2009-06,43
2009-07,83
2009-08,37
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,31
2010-05,48
2010-06,73
2010-07,82
2010-08,35
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,14
2011-04,21
2011-05,44
2011-06,83
2011-07,97
2011-08,39
2011-09,13
2011-10,13
2011-11,13
2011-12,13
2012-01,13
2012-02,11
2012-03,15
2012-04,29
2012-05,49
2012-06,71
2012-07,66
2012-08,40
2012-09,18
2012-10,11
2012-11,5
2012-12,5
2013-01,7
2013-02,10
2013-03,13
2013-04,30
2013-05,32
2013-06,100
2013-07,93
2013-08,39
2013-09,9
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,12
2014-04,15
2014-05,31
2014-06,95
2014-07,70
2014-08,29
2014-09,15
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,15
2015-04,22
2015-05,58
2015-06,65
2015-07,76
2015-08,41
2015-09,14
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0


Top metros for sunburn
Metro,sunburn
Hartford & New Haven CT,100
New York NY,87


Top cities for sunburn
City,sunburn
Meriden,100
New Haven,99
Hartford,99
Stamford,86



Top searches for sunburn
peeling sunburn,100
sunburn treatment,80
sunburn remedies,75



Rising searches for sunburn
peeling sunburn,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout



