Web Search interest: sunburn
District of Columbia (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,25
2007-06,31
2007-07,35
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,18
2008-05,28
2008-06,39
2008-07,34
2008-08,24
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,15
2009-04,20
2009-05,33
2009-06,39
2009-07,44
2009-08,27
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,18
2010-05,36
2010-06,59
2010-07,44
2010-08,27
2010-09,14
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,31
2011-05,61
2011-06,74
2011-07,80
2011-08,31
2011-09,12
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,18
2012-04,25
2012-05,81
2012-06,90
2012-07,69
2012-08,33
2012-09,13
2012-10,7
2012-11,8
2012-12,9
2013-01,10
2013-02,11
2013-03,14
2013-04,39
2013-05,49
2013-06,100
2013-07,50
2013-08,26
2013-09,18
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,12
2014-04,24
2014-05,30
2014-06,58
2014-07,52
2014-08,37
2014-09,16
2014-10,9
2014-11,8
2014-12,8
2015-01,8
2015-02,8
2015-03,21
2015-04,37
2015-05,63
2015-06,83
2015-07,79
2015-08,47
2015-09,12
2015-10,9
2015-11,6
2015-12,0
2016-01,0
2016-02,0
2016-03,0




Top cities for sunburn
City,sunburn
Washington,100



Top searches for sunburn
sunburn peeling,100
sunburn treatment,95
sunburn remedies,85
sunburn relief,70



Rising searches for sunburn
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout



