Web Search interest: sunburn
Iowa (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,59
2007-07,61
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,46
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,59
2009-07,46
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,63
2010-06,88
2010-07,68
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,41
2011-06,76
2011-07,85
2011-08,24
2011-09,14
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,18
2012-05,55
2012-06,74
2012-07,42
2012-08,19
2012-09,12
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,11
2013-04,16
2013-05,30
2013-06,85
2013-07,68
2013-08,20
2013-09,10
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,9
2014-04,14
2014-05,40
2014-06,100
2014-07,54
2014-08,24
2014-09,12
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,11
2015-04,14
2015-05,40
2015-06,94
2015-07,76
2015-08,35
2015-09,10
2015-10,9
2015-11,9
2015-12,9
2016-01,9
2016-02,9
2016-03,0


Top metros for sunburn
Metro,sunburn
Des Moines-Ames IA,100
Omaha NE,96
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Ottumwa IA-Kirksville MO,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
Davenport IA-Rock Island-Moline IL,0
Quincy IL-Hannibal MO-Keokuk IA,0


Top cities for sunburn
City,sunburn
Cedar Rapids,100
Iowa City,85
Des Moines,85



Top searches for sunburn
sunburn remedies,100
sunburn relief,90
sunburn peeling,90



Rising searches for sunburn
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout



