Web Search interest: sunburn
Indiana (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,36
2007-07,33
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,22
2008-05,30
2008-06,55
2008-07,34
2008-08,26
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,21
2009-05,42
2009-06,62
2009-07,29
2009-08,19
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,21
2010-05,29
2010-06,77
2010-07,51
2010-08,24
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,9
2011-03,10
2011-04,18
2011-05,42
2011-06,79
2011-07,63
2011-08,24
2011-09,10
2011-10,8
2011-11,7
2011-12,7
2012-01,7
2012-02,7
2012-03,19
2012-04,16
2012-05,53
2012-06,57
2012-07,43
2012-08,16
2012-09,9
2012-10,9
2012-11,7
2012-12,7
2013-01,7
2013-02,9
2013-03,11
2013-04,18
2013-05,41
2013-06,79
2013-07,52
2013-08,24
2013-09,9
2013-10,6
2013-11,6
2013-12,6
2014-01,6
2014-02,6
2014-03,12
2014-04,33
2014-05,49
2014-06,100
2014-07,45
2014-08,18
2014-09,9
2014-10,5
2014-11,6
2014-12,6
2015-01,7
2015-02,6
2015-03,10
2015-04,23
2015-05,45
2015-06,70
2015-07,58
2015-08,26
2015-09,9
2015-10,6
2015-11,6
2015-12,7
2016-01,6
2016-02,5
2016-03,0


Top metros for sunburn
Metro,sunburn
Louisville KY,100
Indianapolis IN,83
Cincinnati OH,81
Chicago IL,78
Ft. Wayne IN,0
Terre Haute IN,0
Lafayette IN,0
South Bend-Elkhart IN,0
Evansville IN,0


Top cities for sunburn
City,sunburn
Evansville,100
Fort Wayne,89
Bloomington,82
South Bend,81
Indianapolis,74



Top searches for sunburn
sunburn remedies,100
sunburn peeling,95
sunburn relief,85
sunburn treatment,80
sunburn blisters,60
vinegar sunburn,55



Rising searches for sunburn
sunburn blisters,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout
vinegar sunburn,Breakout



