Web Search interest: sunburn
Kansas (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,77
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,49
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,35
2008-06,71
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,37
2009-06,81
2009-07,40
2009-08,34
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,49
2010-06,99
2010-07,52
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,20
2011-05,35
2011-06,94
2011-07,65
2011-08,29
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,16
2012-04,31
2012-05,66
2012-06,71
2012-07,42
2012-08,22
2012-09,14
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,12
2013-04,22
2013-05,49
2013-06,89
2013-07,49
2013-08,17
2013-09,12
2013-10,7
2013-11,8
2013-12,8
2014-01,9
2014-02,9
2014-03,11
2014-04,19
2014-05,49
2014-06,88
2014-07,56
2014-08,20
2014-09,12
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,13
2015-04,17
2015-05,29
2015-06,100
2015-07,75
2015-08,27
2015-09,16
2015-10,4
2015-11,4
2015-12,4
2016-01,5
2016-02,3
2016-03,0


Top metros for sunburn
Metro,sunburn
Wichita-Hutchinson KS,100
Kansas City MO,87
Tulsa OK,81
Joplin MO-Pittsburg KS,0
Topeka KS,0
St. Joseph MO,0
Lincoln & Hastings-Kearney NE,0


Top cities for sunburn
City,sunburn
Olathe,100
Topeka,96
Wichita,94
Overland Park,83
Kansas City,78
Dearing,30



Top searches for sunburn
sunburn peeling,100
sunburn remedies,95
sunburn treatment,95
sunburn relief,85



Rising searches for sunburn
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout



