Web Search interest: sunburn
Kentucky (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,35
2007-07,28
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,29
2008-06,68
2008-07,29
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,24
2009-05,33
2009-06,51
2009-07,24
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,23
2010-05,34
2010-06,92
2010-07,39
2010-08,28
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,10
2011-04,22
2011-05,45
2011-06,72
2011-07,53
2011-08,19
2011-09,9
2011-10,6
2011-11,6
2011-12,6
2012-01,6
2012-02,7
2012-03,15
2012-04,21
2012-05,61
2012-06,54
2012-07,37
2012-08,15
2012-09,9
2012-10,9
2012-11,9
2012-12,9
2013-01,9
2013-02,9
2013-03,8
2013-04,23
2013-05,60
2013-06,80
2013-07,43
2013-08,14
2013-09,12
2013-10,5
2013-11,5
2013-12,5
2014-01,5
2014-02,5
2014-03,9
2014-04,32
2014-05,51
2014-06,100
2014-07,44
2014-08,15
2014-09,9
2014-10,5
2014-11,5
2014-12,5
2015-01,5
2015-02,5
2015-03,17
2015-04,28
2015-05,59
2015-06,91
2015-07,52
2015-08,21
2015-09,8
2015-10,8
2015-11,7
2015-12,7
2016-01,0
2016-02,0
2016-03,0


Top metros for sunburn
Metro,sunburn
Charleston-Huntington WV,100
Lexington KY,82
Nashville TN,77
Knoxville TN,77
Louisville KY,71
Cincinnati OH,54
Tri-Cities TN-VA,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Evansville IN,0
Bowling Green KY,0


Top cities for sunburn
City,sunburn
London,100
Florence,63
Bowling Green,54
Louisville,48
Lexington,46



Top searches for sunburn
sunburn remedies,100
sunburn relief,80
sunburn treatment,70
sunburn blisters,70



Rising searches for sunburn
sunburn blisters,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout



