Web Search interest: sunburn
Louisiana (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,54
2007-07,49
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,35
2008-05,50
2008-06,44
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,30
2009-05,42
2009-06,48
2009-07,33
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,39
2010-06,56
2010-07,43
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,29
2011-04,55
2011-05,57
2011-06,56
2011-07,28
2011-08,25
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,12
2012-03,46
2012-04,60
2012-05,66
2012-06,56
2012-07,55
2012-08,28
2012-09,17
2012-10,10
2012-11,6
2012-12,6
2013-01,6
2013-02,10
2013-03,32
2013-04,46
2013-05,77
2013-06,81
2013-07,46
2013-08,29
2013-09,12
2013-10,13
2013-11,15
2013-12,16
2014-01,18
2014-02,20
2014-03,21
2014-04,60
2014-05,65
2014-06,100
2014-07,70
2014-08,29
2014-09,17
2014-10,9
2014-11,13
2014-12,16
2015-01,20
2015-02,23
2015-03,27
2015-04,33
2015-05,48
2015-06,73
2015-07,69
2015-08,35
2015-09,18
2015-10,9
2015-11,10
2015-12,11
2016-01,12
2016-02,12
2016-03,0


Top metros for sunburn
Metro,sunburn
New Orleans LA,100
Shreveport LA,0
Monroe LA-El Dorado AR,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Baton Rouge LA,0


Top cities for sunburn
City,sunburn
New Orleans,100
Metairie,81
Lafayette,72
Shreveport,67
Baton Rouge,66



Top searches for sunburn
sunburn peeling,100
sunburn remedies,80
sunburn treatment,75
sunburn relief,65
sunburn blisters,55
bad sunburn,50



Rising searches for sunburn
bad sunburn,Breakout
sunburn blisters,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout



