Web Search interest: sunburn
Maryland (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,91
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,27
2007-06,33
2007-07,38
2007-08,31
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,30
2008-05,37
2008-06,54
2008-07,37
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,26
2009-05,38
2009-06,53
2009-07,47
2009-08,29
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,28
2010-05,41
2010-06,73
2010-07,53
2010-08,29
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,11
2011-03,11
2011-04,27
2011-05,53
2011-06,65
2011-07,72
2011-08,36
2011-09,13
2011-10,10
2011-11,7
2011-12,7
2012-01,7
2012-02,11
2012-03,15
2012-04,26
2012-05,74
2012-06,71
2012-07,54
2012-08,33
2012-09,15
2012-10,9
2012-11,5
2012-12,6
2013-01,6
2013-02,6
2013-03,12
2013-04,34
2013-05,41
2013-06,100
2013-07,79
2013-08,35
2013-09,16
2013-10,9
2013-11,6
2013-12,6
2014-01,6
2014-02,7
2014-03,8
2014-04,29
2014-05,43
2014-06,98
2014-07,67
2014-08,27
2014-09,16
2014-10,10
2014-11,7
2014-12,7
2015-01,7
2015-02,8
2015-03,9
2015-04,35
2015-05,64
2015-06,74
2015-07,70
2015-08,45
2015-09,16
2015-10,8
2015-11,8
2015-12,8
2016-01,9
2016-02,8
2016-03,0


Top metros for sunburn
Metro,sunburn
Baltimore MD,100
Washington DC (Hagerstown MD),87
Salisbury MD,0


Top cities for sunburn
City,sunburn
Ocean City,100
Salisbury,17
Hagerstown,12
Frederick,11
Columbia,9
Rockville,7
Baltimore,6



Top searches for sunburn
sunburn peeling,100
sunburn treatment,65
sunburn remedies,55
sunburn relief,50
sunburn blisters,50
bad sunburn,45



Rising searches for sunburn
bad sunburn,Breakout
sunburn blisters,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout



