Web Search interest: sunburn
Michigan (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,65
2004-07,58
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,64
2005-07,43
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,35
2006-06,35
2006-07,30
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,19
2007-05,21
2007-06,50
2007-07,35
2007-08,24
2007-09,16
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,18
2008-05,21
2008-06,42
2008-07,43
2008-08,20
2008-09,13
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,13
2009-04,18
2009-05,20
2009-06,55
2009-07,36
2009-08,18
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,16
2010-05,44
2010-06,62
2010-07,66
2010-08,22
2010-09,6
2010-10,6
2010-11,6
2010-12,6
2011-01,6
2011-02,8
2011-03,8
2011-04,18
2011-05,51
2011-06,79
2011-07,92
2011-08,28
2011-09,9
2011-10,5
2011-11,6
2011-12,5
2012-01,5
2012-02,7
2012-03,15
2012-04,15
2012-05,56
2012-06,62
2012-07,64
2012-08,23
2012-09,10
2012-10,5
2012-11,4
2012-12,4
2013-01,7
2013-02,8
2013-03,11
2013-04,19
2013-05,53
2013-06,71
2013-07,67
2013-08,24
2013-09,13
2013-10,5
2013-11,4
2013-12,4
2014-01,4
2014-02,6
2014-03,12
2014-04,24
2014-05,64
2014-06,100
2014-07,59
2014-08,27
2014-09,9
2014-10,5
2014-11,6
2014-12,6
2015-01,6
2015-02,5
2015-03,9
2015-04,23
2015-05,41
2015-06,68
2015-07,80
2015-08,38
2015-09,13
2015-10,4
2015-11,3
2015-12,4
2016-01,5
2016-02,6
2016-03,14


Top metros for sunburn
Metro,sunburn
Green Bay-Appleton WI,100
Flint-Saginaw-Bay City MI,100
Grand Rapids-Kalamazoo-Battle Creek MI,84
Detroit MI,76
Traverse City-Cadillac MI,0
Toledo OH,0
Lansing MI,0
Marquette MI,0
Alpena MI,0
South Bend-Elkhart IN,0
Duluth MN-Superior WI,0


Top cities for sunburn
City,sunburn
Westland,100
Traverse City,86
Sterling Heights,84
Royal Oak,77
Livonia,76
Bay City,71
Grand Blanc,70
Kalamazoo,64
Grand Rapids,63
Detroit,57
Ann Arbor,55
Lansing,53
Troy,50
Southfield,42



Top searches for sunburn
sunburn remedies,100
peeling sunburn,95
sunburn treatment,85
sunburn relief,80
bad sunburn,65
treat sunburn,55
sunburn blisters,55
vinegar sunburn,45
sunburn itch,45
remedies for sunburn,40
sunburn pain,35
sunburn home remedies,35
sunburn remedy,35
sunburn rash,30
sunburn cure,30
severe sunburn,30
sun burn,25
sun poisoning,25
sunburn lyrics,25
sunburn to tan,25
itchy sunburn,25



Rising searches for sunburn
bad sunburn,Breakout
peeling sunburn,Breakout
remedies for sunburn,Breakout
sunburn blisters,Breakout
sunburn home remedies,Breakout
sunburn itch,Breakout
sunburn pain,Breakout
sunburn rash,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout



