Web Search interest: sunburn
Minnesota (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,70
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,52
2006-07,36
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,20
2007-05,33
2007-06,45
2007-07,36
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,22
2008-06,36
2008-07,34
2008-08,23
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,25
2009-06,45
2009-07,36
2009-08,19
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,39
2010-06,52
2010-07,52
2010-08,25
2010-09,8
2010-10,8
2010-11,8
2010-12,8
2011-01,8
2011-02,9
2011-03,10
2011-04,16
2011-05,30
2011-06,73
2011-07,100
2011-08,23
2011-09,10
2011-10,7
2011-11,7
2011-12,8
2012-01,8
2012-02,7
2012-03,14
2012-04,20
2012-05,57
2012-06,93
2012-07,72
2012-08,22
2012-09,9
2012-10,5
2012-11,5
2012-12,6
2013-01,6
2013-02,7
2013-03,14
2013-04,20
2013-05,33
2013-06,77
2013-07,71
2013-08,25
2013-09,10
2013-10,4
2013-11,4
2013-12,4
2014-01,4
2014-02,6
2014-03,13
2014-04,15
2014-05,51
2014-06,72
2014-07,55
2014-08,22
2014-09,9
2014-10,5
2014-11,5
2014-12,6
2015-01,7
2015-02,6
2015-03,10
2015-04,19
2015-05,32
2015-06,78
2015-07,70
2015-08,26
2015-09,9
2015-10,8
2015-11,8
2015-12,5
2016-01,5
2016-02,6
2016-03,0


Top metros for sunburn
Metro,sunburn
Minneapolis-St. Paul MN,100
Rochester MN-Mason City IA-Austin MN,0
Duluth MN-Superior WI,0
La Crosse-Eau Claire WI,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Mankato MN,0


Top cities for sunburn
City,sunburn
Bloomington,100
Mankato,82
Saint Cloud,77
St. Louis Park,75
Duluth,70
Minneapolis,68
Rochester,59
Saint Paul,57



Top searches for sunburn
sunburn peeling,100
sunburn treatment,90
sunburn remedies,90
sunburn relief,80
sunburn blisters,65
treat sunburn,60
vinegar sunburn,55
bad sunburn,50
sunburn itch,35
sunburn rash,30



Rising searches for sunburn
bad sunburn,Breakout
sunburn blisters,Breakout
sunburn itch,Breakout
sunburn peeling,Breakout
sunburn rash,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout
treat sunburn,Breakout
vinegar sunburn,Breakout



