Web Search interest: sunburn
Missouri (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,45
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,27
2006-05,27
2006-06,44
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,19
2007-05,21
2007-06,30
2007-07,26
2007-08,18
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,18
2008-05,30
2008-06,56
2008-07,26
2008-08,15
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,15
2009-04,16
2009-05,35
2009-06,63
2009-07,27
2009-08,18
2009-09,9
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,10
2010-04,17
2010-05,35
2010-06,72
2010-07,40
2010-08,22
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,8
2011-03,7
2011-04,16
2011-05,43
2011-06,72
2011-07,51
2011-08,26
2011-09,11
2011-10,7
2011-11,7
2011-12,7
2012-01,7
2012-02,7
2012-03,16
2012-04,21
2012-05,67
2012-06,67
2012-07,44
2012-08,16
2012-09,9
2012-10,6
2012-11,5
2012-12,5
2013-01,6
2013-02,6
2013-03,12
2013-04,26
2013-05,53
2013-06,80
2013-07,59
2013-08,22
2013-09,14
2013-10,6
2013-11,4
2013-12,4
2014-01,5
2014-02,4
2014-03,12
2014-04,23
2014-05,60
2014-06,97
2014-07,68
2014-08,23
2014-09,9
2014-10,6
2014-11,6
2014-12,6
2015-01,6
2015-02,6
2015-03,15
2015-04,17
2015-05,41
2015-06,100
2015-07,70
2015-08,29
2015-09,13
2015-10,4
2015-11,5
2015-12,5
2016-01,5
2016-02,5
2016-03,0


Top metros for sunburn
Metro,sunburn
St. Louis MO,100
Kansas City MO,93
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Springfield MO,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
St. Joseph MO,0
Quincy IL-Hannibal MO-Keokuk IA,0


Top cities for sunburn
City,sunburn
St. Peters,100
Affton,99
Springfield,81
Independence,72
St. Louis,61
Kansas City,59
Columbia,56



Top searches for sunburn
peeling sunburn,100
sunburn remedies,95
sunburn relief,85
sunburn treatment,85
sunburn blisters,60
sunburn help,60
vinegar sunburn,60
treat sunburn,50
bad sunburn,50
sunburn itch,45
sunburn remedy,40
remedies for sunburn,35
sunburn home remedies,35
severe sunburn,35



Rising searches for sunburn
bad sunburn,Breakout
peeling sunburn,Breakout
remedies for sunburn,Breakout
severe sunburn,Breakout
sunburn blisters,Breakout
sunburn help,Breakout
sunburn home remedies,Breakout
sunburn itch,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout



