Web Search interest: sunburn
Mississippi (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,74
2008-06,94
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,91
2010-07,53
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,29
2011-04,50
2011-05,74
2011-06,67
2011-07,34
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,37
2012-04,35
2012-05,52
2012-06,47
2012-07,39
2012-08,17
2012-09,22
2012-10,21
2012-11,21
2012-12,22
2013-01,23
2013-02,24
2013-03,25
2013-04,55
2013-05,78
2013-06,80
2013-07,40
2013-08,21
2013-09,14
2013-10,10
2013-11,10
2013-12,10
2014-01,10
2014-02,10
2014-03,27
2014-04,57
2014-05,66
2014-06,100
2014-07,66
2014-08,24
2014-09,17
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,22
2015-04,29
2015-05,56
2015-06,79
2015-07,63
2015-08,27
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0


Top metros for sunburn
Metro,sunburn
Mobile AL-Pensacola (Ft. Walton Beach) FL,100
New Orleans LA,52
Memphis TN,36
Greenwood-Greenville MS,0
Columbus-Tupelo-West Point MS,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Jackson MS,0
Biloxi-Gulfport MS,0


Top cities for sunburn
City,sunburn
Tupelo,100
Hattiesburg,86
Jackson,53









