Web Search interest: sunburn
North Carolina (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,56
2005-07,50
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,28
2006-05,35
2006-06,36
2006-07,34
2006-08,23
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,20
2007-05,31
2007-06,36
2007-07,27
2007-08,17
2007-09,16
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,12
2008-04,25
2008-05,45
2008-06,51
2008-07,29
2008-08,17
2008-09,10
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,12
2009-04,34
2009-05,41
2009-06,60
2009-07,46
2009-08,24
2009-09,13
2009-10,9
2009-11,9
2009-12,9
2010-01,9
2010-02,9
2010-03,10
2010-04,26
2010-05,40
2010-06,66
2010-07,51
2010-08,22
2010-09,13
2010-10,9
2010-11,7
2010-12,7
2011-01,7
2011-02,7
2011-03,12
2011-04,46
2011-05,64
2011-06,69
2011-07,51
2011-08,30
2011-09,13
2011-10,7
2011-11,4
2011-12,4
2012-01,4
2012-02,6
2012-03,18
2012-04,39
2012-05,74
2012-06,66
2012-07,58
2012-08,28
2012-09,15
2012-10,5
2012-11,5
2012-12,5
2013-01,4
2013-02,6
2013-03,15
2013-04,46
2013-05,60
2013-06,100
2013-07,74
2013-08,31
2013-09,16
2013-10,7
2013-11,4
2013-12,4
2014-01,4
2014-02,5
2014-03,12
2014-04,40
2014-05,61
2014-06,93
2014-07,73
2014-08,29
2014-09,18
2014-10,7
2014-11,4
2014-12,3
2015-01,4
2015-02,5
2015-03,16
2015-04,29
2015-05,85
2015-06,87
2015-07,71
2015-08,35
2015-09,13
2015-10,5
2015-11,4
2015-12,4
2016-01,4
2016-02,4
2016-03,10


Top metros for sunburn
Metro,sunburn
Florence-Myrtle Beach SC,100
Greenville-New Bern-Washington NC,64
Norfolk-Portsmouth-Newport News VA,49
Charlotte NC,42
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40
Raleigh-Durham (Fayetteville) NC,36
Greensboro-High Point-Winston Salem NC,35
Wilmington NC,0
Chattanooga TN,0


Top cities for sunburn
City,sunburn
Wilmington,100
Jacksonville,100
Greenville,83
Hickory,78
Garner,77
Concord,69
Fayetteville,68
Asheville,63
Rocky Mount,59
Charlotte,59
Cary,55
Raleigh,53
Chapel Hill,51
Greensboro,47
Winston-Salem,43



Top searches for sunburn
peeling sunburn,100
sunburn remedies,100
sunburn treatment,80
sunburn relief,75
sunburn blisters,60
sunburn help,60
bad sunburn,55
treat sunburn,50
vinegar sunburn,50
remedies for sunburn,45
sunburn itch,45
sunburn remedy,40
sunburn home remedies,35
aloe,35
sun poisoning,35
severe sunburn,35
sunburn peeling skin,35
sunburn rash,30
cure sunburn,30
sunburn itching,25
sun burn,25
sunburn lyrics,25
itchy sunburn,25
vinegar for sunburn,20



Rising searches for sunburn
aloe,Breakout
bad sunburn,Breakout
peeling sunburn,Breakout
remedies for sunburn,Breakout
sunburn blisters,Breakout
sunburn help,Breakout
sunburn home remedies,Breakout
sunburn itch,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout



