Web Search interest: sunburn
New Jersey (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,46
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,61
2005-07,40
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,25
2006-06,24
2006-07,32
2006-08,20
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,11
2007-05,18
2007-06,39
2007-07,29
2007-08,17
2007-09,12
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,17
2008-05,29
2008-06,45
2008-07,35
2008-08,18
2008-09,11
2008-10,9
2008-11,9
2008-12,9
2009-01,9
2009-02,9
2009-03,9
2009-04,23
2009-05,25
2009-06,39
2009-07,49
2009-08,30
2009-09,7
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,9
2010-04,19
2010-05,32
2010-06,57
2010-07,48
2010-08,25
2010-09,10
2010-10,8
2010-11,6
2010-12,6
2011-01,6
2011-02,6
2011-03,6
2011-04,15
2011-05,49
2011-06,53
2011-07,70
2011-08,30
2011-09,10
2011-10,5
2011-11,5
2011-12,5
2012-01,6
2012-02,6
2012-03,11
2012-04,19
2012-05,51
2012-06,58
2012-07,57
2012-08,31
2012-09,11
2012-10,4
2012-11,4
2012-12,5
2013-01,4
2013-02,6
2013-03,9
2013-04,19
2013-05,31
2013-06,100
2013-07,80
2013-08,29
2013-09,11
2013-10,4
2013-11,4
2013-12,3
2014-01,3
2014-02,4
2014-03,7
2014-04,18
2014-05,33
2014-06,95
2014-07,64
2014-08,30
2014-09,11
2014-10,4
2014-11,3
2014-12,4
2015-01,4
2015-02,4
2015-03,8
2015-04,20
2015-05,45
2015-06,58
2015-07,63
2015-08,36
2015-09,10
2015-10,4
2015-11,4
2015-12,3
2016-01,4
2016-02,4
2016-03,0


Top metros for sunburn
Metro,sunburn
Philadelphia PA,100
New York NY,80


Top cities for sunburn
City,sunburn
Pitman,100
Egg Harbor Township,74
Toms River,68
Mount Laurel,33
Clifton,31
Livingston,31
Pennsauken Township,30
Newark,23
Jersey City,21



Top searches for sunburn
sunburn peeling,100
sunburn remedies,65
sunburn treatment,65
sunburn relief,55
treat sunburn,50
bad sunburn,50
sunburn blisters,40
skin peeling sunburn,40
heal sunburn,35
what is sunburn,35
sunburn itch,30
sunburn on face,30
sunburn lyrics,30
sun burn,30
sunburn vinegar,30
sunburn remedy,25
itchy sunburn,25
best for sunburn,25
remedies for sunburn,25
sun poisoning,25
sunburn rash,25
sunburn cure,20
severe sunburn,20
sunburn home remedies,20



Rising searches for sunburn
bad sunburn,Breakout
heal sunburn,Breakout
skin peeling sunburn,Breakout
sun burn,Breakout
sunburn blisters,Breakout
sunburn itch,Breakout
sunburn lyrics,Breakout
sunburn on face,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout



