Web Search interest: sunburn
Ohio (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,55
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,47
2005-07,39
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,20
2006-05,21
2006-06,31
2006-07,20
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,14
2007-05,15
2007-06,31
2007-07,23
2007-08,12
2007-09,11
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,9
2008-04,14
2008-05,19
2008-06,53
2008-07,29
2008-08,13
2008-09,10
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,9
2009-04,25
2009-05,24
2009-06,57
2009-07,25
2009-08,15
2009-09,8
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,8
2010-04,14
2010-05,28
2010-06,61
2010-07,39
2010-08,17
2010-09,9
2010-10,6
2010-11,5
2010-12,5
2011-01,5
2011-02,5
2011-03,8
2011-04,14
2011-05,46
2011-06,69
2011-07,56
2011-08,22
2011-09,8
2011-10,5
2011-11,4
2011-12,5
2012-01,5
2012-02,5
2012-03,14
2012-04,15
2012-05,54
2012-06,65
2012-07,40
2012-08,17
2012-09,9
2012-10,5
2012-11,4
2012-12,3
2013-01,5
2013-02,5
2013-03,10
2013-04,16
2013-05,44
2013-06,71
2013-07,46
2013-08,19
2013-09,9
2013-10,4
2013-11,3
2013-12,3
2014-01,4
2014-02,4
2014-03,10
2014-04,25
2014-05,51
2014-06,100
2014-07,43
2014-08,20
2014-09,10
2014-10,5
2014-11,3
2014-12,3
2015-01,4
2015-02,4
2015-03,9
2015-04,21
2015-05,48
2015-06,56
2015-07,59
2015-08,30
2015-09,7
2015-10,4
2015-11,4
2015-12,3
2016-01,4
2016-02,4
2016-03,9


Top metros for sunburn
Metro,sunburn
Charleston-Huntington WV,100
Cleveland-Akron (Canton) OH,63
Columbus OH,63
Cincinnati OH,61
Ft. Wayne IN,0
Youngstown OH,0
Dayton OH,0
Toledo OH,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Zanesville OH,0
Parkersburg WV,0


Top cities for sunburn
City,sunburn
Columbus,100
Toledo,93
Akron,91
Canton,90
Dublin,87
Dayton,84
Cincinnati,82
Cleveland,81



Top searches for sunburn
sunburn remedies,100
sunburn peeling,95
sunburn treatment,90
sunburn relief,80
bad sunburn,65
sunburn blisters,60
what is sunburn,50
treat sunburn,50
sunburn itch,50
vinegar sunburn,50
remedies for sunburn,40
sunburn remedy,40
home remedies sunburn,35
sunburn rash,35
severe sunburn,35
sunburn lyrics,35
sun poisoning,35
sun burn,30



Rising searches for sunburn
bad sunburn,Breakout
home remedies sunburn,Breakout
remedies for sunburn,Breakout
sunburn blisters,Breakout
sunburn itch,Breakout
sunburn peeling,Breakout
sunburn rash,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn remedy,Breakout



