Web Search interest: sunburn
Oklahoma (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,40
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,44
2008-06,45
2008-07,34
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,31
2009-06,65
2009-07,49
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,44
2010-06,79
2010-07,47
2010-08,26
2010-09,26
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,13
2011-04,24
2011-05,52
2011-06,75
2011-07,38
2011-08,18
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,25
2012-04,25
2012-05,54
2012-06,62
2012-07,38
2012-08,17
2012-09,13
2012-10,10
2012-11,11
2012-12,12
2013-01,13
2013-02,14
2013-03,14
2013-04,26
2013-05,48
2013-06,80
2013-07,48
2013-08,25
2013-09,12
2013-10,6
2013-11,8
2013-12,10
2014-01,13
2014-02,15
2014-03,17
2014-04,32
2014-05,53
2014-06,99
2014-07,76
2014-08,31
2014-09,13
2014-10,10
2014-11,6
2014-12,6
2015-01,6
2015-02,9
2015-03,57
2015-04,56
2015-05,47
2015-06,100
2015-07,83
2015-08,38
2015-09,13
2015-10,12
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0


Top metros for sunburn
Metro,sunburn
Oklahoma City OK,100
Tulsa OK,71
Shreveport LA,0
Wichita Falls TX & Lawton OK,0
Amarillo TX,0
Sherman TX-Ada OK,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0


Top cities for sunburn
City,sunburn
Goldsby,100
Broken Arrow,71
Edmond,62
Tuttle,59
Oklahoma City,43
Tulsa,41



Top searches for sunburn
sunburn remedies,100
sunburn peeling,85
sunburn relief,75
sunburn treatment,70
vinegar sunburn,60
sunburn blisters,55



Rising searches for sunburn
sunburn blisters,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout
vinegar sunburn,Breakout



