Web Search interest: sunburn
Oregon (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,62
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,56
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,40
2008-06,40
2008-07,43
2008-08,32
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,30
2009-05,51
2009-06,39
2009-07,56
2009-08,27
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,26
2010-06,64
2010-07,75
2010-08,29
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,16
2011-05,38
2011-06,48
2011-07,94
2011-08,47
2011-09,17
2011-10,12
2011-11,12
2011-12,12
2012-01,12
2012-02,12
2012-03,16
2012-04,51
2012-05,29
2012-06,57
2012-07,71
2012-08,47
2012-09,13
2012-10,10
2012-11,9
2012-12,9
2013-01,9
2013-02,9
2013-03,16
2013-04,27
2013-05,37
2013-06,100
2013-07,52
2013-08,17
2013-09,8
2013-10,4
2013-11,4
2013-12,5
2014-01,5
2014-02,4
2014-03,7
2014-04,11
2014-05,22
2014-06,22
2014-07,54
2014-08,18
2014-09,7
2014-10,3
2014-11,3
2014-12,3
2015-01,4
2015-02,8
2015-03,6
2015-04,11
2015-05,18
2015-06,77
2015-07,49
2015-08,19
2015-09,9
2015-10,5
2015-11,4
2015-12,10
2016-01,6
2016-02,5
2016-03,0


Top metros for sunburn
Metro,sunburn
Portland OR,100
Boise ID,0
Eugene OR,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for sunburn
City,sunburn
Bend,100
Eugene,97
Corvallis,96
Portland,87
Beaverton,82
Sheridan,22



Top searches for sunburn
sunburn treatment,100
sunburn remedies,100
sunburn peeling,85
sunburn relief,70
bad sunburn,65
sunburn blisters,60



Rising searches for sunburn
bad sunburn,Breakout
sunburn blisters,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout



