Web Search interest: sunburn
South Carolina (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,54
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,33
2008-05,37
2008-06,48
2008-07,32
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,26
2009-05,33
2009-06,53
2009-07,31
2009-08,26
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,46
2010-05,50
2010-06,67
2010-07,53
2010-08,27
2010-09,26
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,15
2011-04,51
2011-05,59
2011-06,71
2011-07,56
2011-08,26
2011-09,15
2011-10,8
2011-11,8
2011-12,8
2012-01,8
2012-02,8
2012-03,21
2012-04,46
2012-05,61
2012-06,69
2012-07,63
2012-08,28
2012-09,15
2012-10,7
2012-11,7
2012-12,8
2013-01,8
2013-02,8
2013-03,14
2013-04,54
2013-05,58
2013-06,100
2013-07,80
2013-08,41
2013-09,13
2013-10,7
2013-11,8
2013-12,10
2014-01,11
2014-02,12
2014-03,14
2014-04,49
2014-05,66
2014-06,95
2014-07,76
2014-08,33
2014-09,13
2014-10,7
2014-11,7
2014-12,7
2015-01,7
2015-02,7
2015-03,19
2015-04,44
2015-05,76
2015-06,92
2015-07,69
2015-08,36
2015-09,11
2015-10,6
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0


Top metros for sunburn
Metro,sunburn
Florence-Myrtle Beach SC,100
Savannah GA,70
Charleston SC,59
Augusta GA,42
Charlotte NC,42
Greenville-Spartanburg SC-Asheville NC-Anderson SC,39
Columbia SC,0


Top cities for sunburn
City,sunburn
Carolina Forest,100
Hilton Head Island,86
Myrtle Beach,49
Mount Pleasant,37
Summerville,26
Charleston,23
Spartanburg,17
Columbia,16
Greenville,15



Top searches for sunburn
sunburn remedies,100
sunburn peeling,90
sunburn relief,90
sunburn treatment,85
sunburn blisters,65
vinegar sunburn,65
bad sunburn,60
treat sunburn,55
remedies for sunburn,50



Rising searches for sunburn
bad sunburn,Breakout
remedies for sunburn,Breakout
sunburn blisters,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout
treat sunburn,Breakout
vinegar sunburn,Breakout



