Web Search interest: sunburn
Tennessee (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,66
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,32
2007-06,27
2007-07,27
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,44
2008-06,62
2008-07,28
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,26
2009-05,24
2009-06,54
2009-07,28
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,23
2010-05,35
2010-06,54
2010-07,31
2010-08,17
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,16
2011-04,30
2011-05,44
2011-06,63
2011-07,41
2011-08,19
2011-09,13
2011-10,7
2011-11,6
2011-12,6
2012-01,6
2012-02,6
2012-03,20
2012-04,27
2012-05,64
2012-06,53
2012-07,36
2012-08,19
2012-09,12
2012-10,7
2012-11,5
2012-12,6
2013-01,6
2013-02,8
2013-03,18
2013-04,43
2013-05,56
2013-06,75
2013-07,59
2013-08,27
2013-09,13
2013-10,7
2013-11,7
2013-12,4
2014-01,4
2014-02,5
2014-03,16
2014-04,33
2014-05,68
2014-06,92
2014-07,63
2014-08,21
2014-09,12
2014-10,8
2014-11,4
2014-12,4
2015-01,4
2015-02,6
2015-03,26
2015-04,36
2015-05,75
2015-06,100
2015-07,52
2015-08,22
2015-09,11
2015-10,6
2015-11,5
2015-12,5
2016-01,5
2016-02,8
2016-03,0


Top metros for sunburn
Metro,sunburn
Nashville TN,100
Knoxville TN,100
Memphis TN,79
Tri-Cities TN-VA,0
Chattanooga TN,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Jackson TN,0
Huntsville-Decatur (Florence) AL,0


Top cities for sunburn
City,sunburn
Franklin,100
Clarksville,81
Johnson City,75
Murfreesboro,72
Knoxville,64
Nashville,61
Chattanooga,46
Memphis,37



Top searches for sunburn
sunburn remedies,100
sunburn peeling,90
sunburn relief,85
sunburn treatment,80
sunburn blisters,70
bad sunburn,60
treat sunburn,50
sunburn remedy,40
remedies for sunburn,40
sunburn home remedies,40



Rising searches for sunburn
bad sunburn,Breakout
remedies for sunburn,Breakout
sunburn blisters,Breakout
sunburn home remedies,Breakout
sunburn peeling,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn remedy,Breakout
sunburn treatment,Breakout
treat sunburn,Breakout



