Web Search interest: sunburn
Washington (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,45
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,21
2006-06,26
2006-07,35
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,21
2007-06,24
2007-07,52
2007-08,17
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,13
2008-05,34
2008-06,32
2008-07,40
2008-08,16
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,23
2009-05,37
2009-06,40
2009-07,50
2009-08,20
2009-09,11
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,12
2010-04,12
2010-05,21
2010-06,39
2010-07,61
2010-08,25
2010-09,5
2010-10,5
2010-11,5
2010-12,5
2011-01,5
2011-02,6
2011-03,8
2011-04,14
2011-05,27
2011-06,48
2011-07,81
2011-08,44
2011-09,13
2011-10,6
2011-11,6
2011-12,5
2012-01,5
2012-02,9
2012-03,13
2012-04,33
2012-05,39
2012-06,35
2012-07,77
2012-08,46
2012-09,11
2012-10,7
2012-11,5
2012-12,5
2013-01,7
2013-02,6
2013-03,12
2013-04,21
2013-05,39
2013-06,72
2013-07,93
2013-08,25
2013-09,12
2013-10,5
2013-11,4
2013-12,4
2014-01,5
2014-02,5
2014-03,9
2014-04,14
2014-05,30
2014-06,55
2014-07,100
2014-08,35
2014-09,12
2014-10,5
2014-11,6
2014-12,5
2015-01,4
2015-02,6
2015-03,10
2015-04,19
2015-05,27
2015-06,90
2015-07,65
2015-08,25
2015-09,8
2015-10,6
2015-11,5
2015-12,5
2016-01,6
2016-02,6
2016-03,0


Top metros for sunburn
Metro,sunburn
Seattle-Tacoma WA,100
Portland OR,73
Yakima-Pasco-Richland-Kennewick WA,0
Spokane WA,0


Top cities for sunburn
City,sunburn
Spokane,100
SeaTac,94
Tacoma,86
Vancouver,86
Seattle,84
Kirkland,78
Everett,77
Redmond,64
Renton,64
Bellevue,60



Top searches for sunburn
sunburn treatment,100
sunburn remedies,90
peeling sunburn,85
sunburn relief,75
treat sunburn,65
vinegar sunburn,55
bad sunburn,55
sunburn blisters,50
heal sunburn,45
sunburn remedy,45
sunburn itch,30
sunburn rash,30
sunburns,20



Rising searches for sunburn
bad sunburn,Breakout
heal sunburn,Breakout
peeling sunburn,Breakout
sunburn blisters,Breakout
sunburn itch,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn remedy,Breakout
sunburn treatment,Breakout
treat sunburn,Breakout



