Web Search interest: sunburn
Wisconsin (United States) 2004 - present

Interest over time
Month,sunburn
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,86
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,46
2006-06,39
2006-07,42
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,22
2007-06,46
2007-07,40
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,18
2008-06,40
2008-07,45
2008-08,23
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,15
2009-04,17
2009-05,22
2009-06,70
2009-07,30
2009-08,21
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,18
2010-04,17
2010-05,54
2010-06,72
2010-07,72
2010-08,28
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,10
2011-04,13
2011-05,36
2011-06,88
2011-07,87
2011-08,31
2011-09,12
2011-10,7
2011-11,7
2011-12,7
2012-01,7
2012-02,8
2012-03,12
2012-04,15
2012-05,56
2012-06,88
2012-07,69
2012-08,20
2012-09,9
2012-10,7
2012-11,6
2012-12,6
2013-01,5
2013-02,7
2013-03,13
2013-04,22
2013-05,41
2013-06,77
2013-07,72
2013-08,25
2013-09,10
2013-10,5
2013-11,5
2013-12,5
2014-01,5
2014-02,5
2014-03,11
2014-04,16
2014-05,65
2014-06,100
2014-07,68
2014-08,28
2014-09,9
2014-10,5
2014-11,5
2014-12,5
2015-01,5
2015-02,8
2015-03,12
2015-04,19
2015-05,39
2015-06,86
2015-07,93
2015-08,36
2015-09,12
2015-10,5
2015-11,5
2015-12,5
2016-01,6
2016-02,8
2016-03,0


Top metros for sunburn
Metro,sunburn
Green Bay-Appleton WI,100
Madison WI,95
Minneapolis-St. Paul MN,76
Milwaukee WI,74
Duluth MN-Superior WI,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0


Top cities for sunburn
City,sunburn
Eau Claire,100
La Crosse,85
Madison,85
Green Bay,83
Appleton,74
Milwaukee,56



Top searches for sunburn
peeling sunburn,100
sunburn relief,90
sunburn remedies,85
sunburn treatment,85
sunburn blisters,65
treat sunburn,55
bad sunburn,55
vinegar sunburn,45
sunburn itch,40



Rising searches for sunburn
bad sunburn,Breakout
peeling sunburn,Breakout
sunburn blisters,Breakout
sunburn itch,Breakout
sunburn relief,Breakout
sunburn remedies,Breakout
sunburn treatment,Breakout
treat sunburn,Breakout
vinegar sunburn,Breakout



