 ABQ 20040101  2.54  2.07  0.21  0.41  0.29 296.2
 ABQ 20040102  3.10  2.15  0.00  0.39  0.37 250.2
 ABQ 20040103  3.23  2.15  0.00  0.33  0.39 243.8
 ABQ 20040104  2.96  2.55  0.44  0.32  0.15 265.1
 ABQ 20040105  2.87  2.50  0.19  0.59  0.21 274.1
 ABQ 20040106  2.92  2.54  0.33  0.47  0.14 271.4
 ABQ 20040107  3.10  2.33  0.06  0.46  0.31 259.2
 ABQ 20040108  3.06  2.84  0.48  0.41  0.12 264.2
 ABQ 20040109  3.20  3.09  0.77  0.22  0.01 255.9
 ABQ 20040110  3.17  2.96  0.56  0.37  0.06 259.8
 ABQ 20040111  3.11  2.61  0.28  0.44  0.19 265.9
 ABQ 20040112  3.31  2.63  0.27  0.33  0.26 254.2
 ABQ 20040113  3.19  2.98  0.56  0.35  0.09 265.7
 ABQ 20040114  3.16  3.02  0.74  0.22  0.03 270.3
 ABQ 20040115  3.31  1.47  0.00  0.06  0.23 262.6
 ABQ 20040116  3.16  2.34  0.18  0.31  0.30 274.8
 ABQ 20040117  2.92  2.13  0.17  0.32  0.28 298.5
 ABQ 20040118  3.04  2.87  0.64  0.27  0.09 290.7
 ABQ 20040119  3.39  2.77  0.24  0.44  0.21 267.3
 ABQ 20040120  3.26  1.97  0.00  0.26  0.33 278.1
 ABQ 20040121  3.18  2.16  0.12  0.27  0.31 287.9
 ABQ 20040122  3.04  2.54  0.36  0.35  0.18 303.4
 ABQ 20040123  3.26  2.78  0.47  0.30  0.11 289.1
 ABQ 20040124  3.53  2.60  0.14  0.34  0.31 272.4
 ABQ 20040125  3.25  2.50  0.25  0.25  0.34 297.1
 ABQ 20040126  2.61  2.40  0.49  0.38  0.13 366.7
 ABQ 20040127  3.18  2.64  0.23  0.42  0.28 310.5
 ABQ 20040128  3.08  2.41  0.16  0.42  0.28 322.8
 ABQ 20040129  2.93  2.72  0.54  0.34  0.12 342.0
 ABQ 20040130  3.81  3.55  0.60  0.31  0.07 274.0
 ABQ 20040131  3.78  2.67  0.00  0.41  0.37 279.4
 ABQ 20040201  3.20  2.68  0.32  0.38  0.21 328.8
 ABQ 20040202  3.51  3.22  0.42  0.46  0.12 306.8
 ABQ 20040203  3.56  2.29  0.00  0.33  0.33 308.1
 ABQ 20040204  2.86  1.88  0.06  0.25  0.38 379.6
 ABQ 20040205  2.99  2.18  0.16  0.30  0.32 369.5
 ABQ 20040206  3.11  2.87  0.57  0.31  0.10 361.9
