 ATL 20040101  3.50  3.31  0.60  0.34  0.07 228.9
 ATL 20040102  3.36  1.44  0.00  0.05  0.20 238.6
 ATL 20040103  3.33  1.65  0.03  0.09  0.26 242.2
 ATL 20040104  3.63  2.18  0.00  0.32  0.24 226.1
 ATL 20040105  3.68  1.37  0.00  0.00  0.14 224.8
 ATL 20040106  3.39  2.67  0.26  0.36  0.21 242.8
 ATL 20040107  2.91  2.74  0.59  0.35  0.06 279.2
 ATL 20040108  2.94  2.24  0.37  0.23  0.15 278.6
 ATL 20040109  2.98  1.28  0.00  0.07  0.18 276.7
 ATL 20040110  2.75  1.79  0.24  0.19  0.15 298.7
 ATL 20040111  3.04  2.68  0.50  0.32  0.10 275.7
 ATL 20040112  3.25  2.82  0.52  0.27  0.11 263.2
 ATL 20040113  3.10  2.12  0.23  0.20  0.23 276.0
 ATL 20040114  2.92  1.92  0.14  0.27  0.22 294.0
 ATL 20040115  3.01  2.72  0.67  0.20  0.05 289.2
 ATL 20040116  3.15  2.40  0.26  0.31  0.22 280.2
 ATL 20040117  3.27  1.77  0.11  0.11  0.21 273.2
 ATL 20040118  3.24  1.34  0.00  0.01  0.22 278.1
 ATL 20040119  3.08  2.74  0.66  0.19  0.04 294.2
 ATL 20040120  3.21  2.86  0.58  0.27  0.06 285.9
 ATL 20040121  3.56  2.69  0.20  0.38  0.21 264.2
 ATL 20040122  3.57  2.76  0.16  0.44  0.23 266.7
 ATL 20040123  3.20  3.00  0.60  0.31  0.09 297.3
 ATL 20040124  3.42  2.27  0.30  0.16  0.13 283.6
 ATL 20040125  3.94  1.40  0.01  0.00  0.08 253.4
 ATL 20040126  4.03  1.68  0.00  0.09  0.12 251.2
 ATL 20040127  3.76  2.66  0.12  0.38  0.22 270.3
 ATL 20040128  2.99  2.91  0.79  0.21  0.00 334.0
 ATL 20040129  3.13  2.76  0.59  0.26  0.04 324.7
 ATL 20040130  3.01  2.00  0.14  0.27  0.24 339.7
 ATL 20040131  3.45  3.13  0.52  0.34  0.10 303.7
 ATL 20040201  3.97  2.58  0.16  0.27  0.17 273.0
 ATL 20040202  3.97  1.65  0.00  0.05  0.17 276.3
 ATL 20040203  3.91  2.94  0.31  0.28  0.16 284.6
 ATL 20040204  4.30  3.33  0.19  0.42  0.21 265.3
 ATL 20040205  4.56  1.57  0.00  0.00  0.07 255.4
 ATL 20040206  4.90  1.85  0.00  0.00  0.15 243.9
 ATL 20040207  4.41  2.93  0.04  0.39  0.23 269.6
 ATL 20040208  4.43  4.02  0.53  0.36  0.06 272.0
 ATL 20040209  4.67  3.38  0.18  0.33  0.23 263.4
 ATL 20040210  4.41  1.39  0.00  0.00  0.00 280.6
 ATL 20040211  4.32  2.53  0.05  0.27  0.19 288.9
 ATL 20040212  4.74  2.02  0.02  0.06  0.15 270.5
 ATL 20040213  5.16  4.00  0.28  0.35  0.16 254.9
 ATL 20040214  4.84  1.63  0.00  0.00  0.05 272.9
 ATL 20040215  4.26  1.74  0.00  0.06  0.14 308.9
 ATL 20040216  4.68  2.83  0.00  0.33  0.24 288.7
 ATL 20040217  4.31  1.74  0.00  0.04  0.16 314.4
 ATL 20040218  3.88  3.82  0.85  0.16  0.00 348.0
 ATL 20040219  5.08  4.72  0.55  0.36  0.08 279.2
 ATL 20040220  5.10  3.75  0.28  0.27  0.18 282.0
 ATL 20040221  4.70  4.35  0.57  0.33  0.08 306.4
 ATL 20040222  5.01  4.23  0.46  0.31  0.09 293.8
 ATL 20040223  5.02  3.37  0.06  0.35  0.27 297.0
 ATL 20040224  5.19  1.89  0.03  0.00  0.07 292.8
 ATL 20040225  4.97  2.00  0.00  0.10  0.07 307.3
 ATL 20040226  4.49  1.48  0.02  0.00  0.00 340.2
 ATL 20040227  4.60  2.46  0.18  0.07  0.14 337.5
 ATL 20040228  5.31  5.12  0.71  0.29  0.00 301.9
 ATL 20040301  6.20  3.50  0.00  0.23  0.28 271.2
 ATL 20040302  5.90  3.11  0.00  0.16  0.29 286.2
 ATL 20040303  6.33  3.73  0.00  0.26  0.30 272.8
 ATL 20040304  6.42  4.73  0.06  0.45  0.29 272.7
 ATL 20040305  6.74  3.46  0.00  0.17  0.24 265.4
 ATL 20040306  7.35  5.15  0.13  0.32  0.27 249.5
 ATL 20040307  6.65  5.49  0.35  0.35  0.17 274.3
 ATL 20040308  5.35  5.03  0.65  0.27  0.07 334.4
 ATL 20040309  5.18  2.08  0.12  0.00  0.01 347.4
 ATL 20040310  4.71  3.90  0.44  0.29  0.11 381.9
 ATL 20040311  6.15  4.80  0.28  0.37  0.15 306.8
 ATL 20040312  6.19  5.89  0.66  0.30  0.04 308.7
 ATL 20040313  6.48  5.43  0.25  0.46  0.21 299.6
 ATL 20040314  6.75  3.74  0.00  0.22  0.27 293.2
 ATL 20040315  6.83  3.82  0.03  0.25  0.19 293.3
 ATL 20040316  6.80  3.09  0.02  0.06  0.22 297.0
 ATL 20040317  5.12  4.07  0.35  0.29  0.18 382.9
 ATL 20040318  6.89  4.40  0.24  0.17  0.15 299.7
 ATL 20040319  6.70  6.33  0.64  0.28  0.08 310.3
 ATL 20040320  6.52  4.32  0.25  0.15  0.22 320.6
 ATL 20040321  6.92  6.43  0.62  0.28  0.08 308.2
 ATL 20040322  7.14  5.80  0.47  0.21  0.14 302.8
 ATL 20040323  6.89  6.40  0.58  0.31  0.10 315.0
 ATL 20040324  7.43  6.00  0.34  0.33  0.17 298.0
 ATL 20040325  7.25  5.05  0.16  0.30  0.24 307.0
 ATL 20040326  7.05  5.29  0.20  0.36  0.22 317.3
 ATL 20040327  7.37  4.98  0.07  0.34  0.28 308.4
 ATL 20040328  7.61  5.35  0.10  0.36  0.27 302.7
 ATL 20040329  7.34  4.35  0.08  0.22  0.23 314.9
 ATL 20040330  7.38  4.96  0.14  0.31  0.20 316.3
 ATL 20040331  6.43  4.15  0.15  0.26  0.19 358.1
 ATL 20040401  6.12  4.38  0.32  0.21  0.15 375.6
 ATL 20040402  6.24  4.48  0.18  0.30  0.26 372.7
 ATL 20040403  6.97  5.86  0.30  0.49  0.09 341.9
 ATL 20040404  6.82  6.37  0.52  0.46  0.00 350.6
 ATL 20040405  7.08  6.56  0.55  0.41  0.00 342.2
 ATL 20040406  7.26  6.03  0.28  0.56  0.00 337.6
 ATL 20040407  7.91  5.81  0.18  0.32  0.27 316.3
 ATL 20040408  7.74  4.41  0.11  0.14  0.24 324.0
