 BDL 20040101  1.25  1.01  0.24  0.39  0.24 326.2
 BDL 20040102  1.29  0.67  0.07  0.12  0.21 320.6
 BDL 20040103  1.39  0.63  0.02  0.09  0.18 301.0
 BDL 20040104  1.51  0.53  0.00  0.02  0.05 281.0
 BDL 20040105  1.58  0.50  0.00  0.00  0.01 272.2
 BDL 20040106  1.50  1.12  0.08  0.38  0.37 287.0
 BDL 20040107  1.06  0.84  0.16  0.33  0.43 408.2
 BDL 20040108  1.09  0.93  0.21  0.44  0.34 398.5
 BDL 20040109  1.22  1.10  0.35  0.47  0.18 358.6
 BDL 20040110  1.15  1.03  0.36  0.44  0.19 384.6
 BDL 20040111  1.20  0.90  0.27  0.26  0.25 371.0
 BDL 20040112  1.37  0.60  0.01  0.07  0.19 332.4
 BDL 20040113  1.34  0.85  0.05  0.26  0.33 342.6
 BDL 20040114  1.39  1.11  0.25  0.40  0.21 337.0
 BDL 20040115  1.27  0.88  0.10  0.28  0.36 372.5
 BDL 20040116  1.14  0.81  0.21  0.20  0.33 418.4
 BDL 20040117  1.38  1.25  0.47  0.37  0.14 352.9
 BDL 20040118  1.46  0.59  0.02  0.05  0.11 339.1
 BDL 20040119  1.36  0.96  0.10  0.26  0.42 365.7
 BDL 20040120  1.33  1.14  0.25  0.41  0.33 378.4
 BDL 20040121  1.39  1.22  0.27  0.46  0.27 367.6
 BDL 20040122  1.45  0.90  0.03  0.26  0.32 359.7
 BDL 20040123  1.35  0.97  0.08  0.31  0.41 391.9
 BDL 20040124  1.37  0.94  0.05  0.31  0.39 394.8
 BDL 20040125  1.44  1.34  0.54  0.39  0.06 382.2
 BDL 20040126  1.86  1.33  0.25  0.30  0.14 305.5
 BDL 20040127  1.92  1.10  0.16  0.17  0.12 300.5
 BDL 20040128  1.54  0.61  0.05  0.00  0.11 375.4
 BDL 20040129  1.30  0.99  0.07  0.35  0.48 450.8
 BDL 20040130  1.31  1.00  0.09  0.39  0.39 454.9
 BDL 20040131  1.41  0.92  0.15  0.19  0.31 430.5
 BDL 20040201  1.63  1.37  0.29  0.35  0.30 381.2
 BDL 20040202  2.05  1.85  0.58  0.32  0.02 312.8
 BDL 20040203  2.22  1.33  0.04  0.29  0.22 296.3
 BDL 20040204  2.07  1.89  0.45  0.38  0.18 321.6
 BDL 20040205  2.03  1.87  0.60  0.34  0.01 333.7
 BDL 20040206  2.45  0.79  0.00  0.00  0.02 286.3
 BDL 20040207  2.36  1.27  0.00  0.10  0.40 301.2
 BDL 20040208  1.71  1.55  0.41  0.40  0.19 411.9
 BDL 20040209  2.12  1.70  0.12  0.51  0.26 342.2
 BDL 20040210  1.96  1.37  0.05  0.36  0.34 373.7
 BDL 20040211  1.91  1.56  0.19  0.39  0.35 391.7
 BDL 20040212  2.15  1.38  0.02  0.29  0.35 357.5
 BDL 20040213  2.11  1.89  0.32  0.45  0.24 370.0
 BDL 20040214  2.26  1.85  0.19  0.45  0.27 354.3
 BDL 20040215  2.16  1.95  0.43  0.39  0.17 375.8
 BDL 20040216  2.69  2.55  0.57  0.41  0.02 314.4
 BDL 20040217  2.67  2.25  0.28  0.47  0.16 321.4
 BDL 20040218  2.29  1.36  0.13  0.18  0.21 375.2
 BDL 20040219  2.12  1.82  0.25  0.41  0.33 412.0
 BDL 20040220  2.53  1.47  0.04  0.26  0.21 355.2
 BDL 20040221  2.33  1.19  0.00  0.11  0.32 390.2
 BDL 20040222  2.45  1.56  0.12  0.19  0.32 379.9
 BDL 20040223  2.61  2.26  0.28  0.44  0.26 365.8
 BDL 20040224  2.80  2.27  0.31  0.36  0.19 349.2
 BDL 20040225  2.46  2.27  0.50  0.37  0.13 399.7
 BDL 20040226  2.97  2.86  0.67  0.33  0.00 342.5
 BDL 20040227  3.13  3.00  0.59  0.41  0.01 332.1
 BDL 20040228  2.86  2.55  0.34  0.44  0.22 366.9
 BDL 20040301  3.32  2.30  0.14  0.36  0.18 330.9
 BDL 20040302  3.59  1.69  0.00  0.10  0.24 315.4
 BDL 20040303  3.42  2.68  0.21  0.38  0.26 334.4
 BDL 20040304  3.29  1.54  0.05  0.09  0.16 351.8
 BDL 20040305  3.66  1.44  0.00  0.04  0.13 325.1
