 BHM 20040101  3.49  3.10  0.54  0.30  0.08 229.1
 BHM 20040102  3.35  1.49  0.00  0.04  0.26 238.7
 BHM 20040103  3.41  1.61  0.00  0.07  0.28 236.7
 BHM 20040104  3.60  2.08  0.00  0.28  0.24 226.7
 BHM 20040105  3.58  1.31  0.00  0.00  0.12 229.6
 BHM 20040106  3.30  2.69  0.35  0.33  0.17 247.9
 BHM 20040107  2.92  2.76  0.62  0.32  0.06 277.6
 BHM 20040108  2.97  2.22  0.35  0.22  0.17 275.5
 BHM 20040109  2.96  1.39  0.03  0.11  0.17 277.6
 BHM 20040110  2.78  2.18  0.49  0.17  0.09 295.3
 BHM 20040111  3.10  2.76  0.56  0.29  0.07 270.4
 BHM 20040112  3.26  2.79  0.47  0.29  0.13 261.5
 BHM 20040113  3.14  2.06  0.22  0.17  0.23 272.9
 BHM 20040114  2.97  1.92  0.14  0.25  0.22 289.1
 BHM 20040115  3.04  2.79  0.67  0.22  0.05 285.8
 BHM 20040116  3.15  2.37  0.23  0.32  0.23 279.2
 BHM 20040117  3.26  1.67  0.08  0.13  0.16 273.3
 BHM 20040118  3.18  1.30  0.00  0.01  0.21 282.6
 BHM 20040119  3.00  2.76  0.73  0.18  0.01 299.7
 BHM 20040120  3.28  2.86  0.52  0.30  0.08 280.1
 BHM 20040121  3.59  2.75  0.17  0.43  0.21 261.6
 BHM 20040122  3.58  2.74  0.18  0.41  0.22 265.5
 BHM 20040123  3.24  3.05  0.61  0.31  0.08 293.0
 BHM 20040124  3.51  2.21  0.23  0.16  0.16 275.6
 BHM 20040125  3.97  1.57  0.07  0.00  0.08 250.6
 BHM 20040126  3.95  2.65  0.05  0.35  0.29 255.5
 BHM 20040127  3.50  2.65  0.30  0.30  0.16 287.1
 BHM 20040128  3.02  2.90  0.70  0.28  0.02 330.0
 BHM 20040129  3.10  2.69  0.54  0.27  0.07 326.4
 BHM 20040130  3.04  1.95  0.13  0.25  0.23 336.2
 BHM 20040131  3.49  3.13  0.56  0.30  0.07 299.8
 BHM 20040201  3.85  2.47  0.16  0.24  0.19 279.0
 BHM 20040202  3.89  1.59  0.00  0.04  0.17 280.6
 BHM 20040203  3.80  3.23  0.52  0.25  0.09 290.7
 BHM 20040204  4.20  3.31  0.19  0.44  0.22 270.2
 BHM 20040205  4.44  1.53  0.00  0.00  0.07 261.0
 BHM 20040206  4.66  1.65  0.00  0.00  0.09 253.3
 BHM 20040207  4.24  2.83  0.11  0.33  0.21 278.1
 BHM 20040208  4.39  3.80  0.46  0.37  0.06 273.1
 BHM 20040209  4.52  3.22  0.22  0.27  0.22 269.9
 BHM 20040210  4.17  1.33  0.00  0.00  0.01 293.3
 BHM 20040211  4.26  2.22  0.00  0.25  0.15 291.8
 BHM 20040212  4.61  2.35  0.07  0.14  0.16 276.2
 BHM 20040213  5.07  3.85  0.26  0.35  0.16 258.2
 BHM 20040214  4.71  1.62  0.00  0.00  0.07 278.7
 BHM 20040215  3.92  1.50  0.08  0.00  0.03 330.3
 BHM 20040216  4.60  2.79  0.00  0.33  0.24 291.9
 BHM 20040217  3.92  1.92  0.03  0.11  0.22 339.3
 BHM 20040218  4.14  4.05  0.82  0.18  0.01 327.7
 BHM 20040219  5.20  4.75  0.52  0.36  0.09 272.5
 BHM 20040220  4.93  3.16  0.05  0.31  0.27 289.0
 BHM 20040221  4.69  4.39  0.57  0.35  0.08 305.9
 BHM 20040222  5.05  4.05  0.34  0.35  0.13 290.8
 BHM 20040223  4.93  3.35  0.12  0.31  0.25 300.5
 BHM 20040224  4.99  2.06  0.02  0.03  0.16 301.4
 BHM 20040225  4.72  1.79  0.05  0.01  0.06 320.1
 BHM 20040226  4.41  1.69  0.10  0.00  0.00 344.1
 BHM 20040227  4.58  3.36  0.39  0.18  0.12 337.1
 BHM 20040228  5.52  5.13  0.63  0.30  0.03 290.8
 BHM 20040301  6.03  3.16  0.00  0.16  0.28 276.5
 BHM 20040302  5.86  2.54  0.02  0.03  0.21 286.7
 BHM 20040303  6.21  3.75  0.00  0.27  0.32 275.9
 BHM 20040304  6.37  4.30  0.00  0.40  0.31 273.5
 BHM 20040305  6.62  3.60  0.00  0.21  0.26 268.4
 BHM 20040306  6.92  5.50  0.27  0.37  0.20 261.7
 BHM 20040307  6.57  5.48  0.34  0.37  0.18 275.9
 BHM 20040308  5.58  5.42  0.84  0.15  0.00 320.7
 BHM 20040309  5.19  3.45  0.25  0.21  0.14 345.2
 BHM 20040310  5.46  5.02  0.69  0.21  0.04 334.4
 BHM 20040311  6.10  4.47  0.24  0.32  0.17 307.5
 BHM 20040312  6.14  5.85  0.65  0.31  0.04 309.1
 BHM 20040313  6.42  4.74  0.13  0.40  0.25 300.7
 BHM 20040314  6.65  3.70  0.02  0.25  0.20 295.7
 BHM 20040315  6.60  3.88  0.10  0.26  0.13 301.1
 BHM 20040316  6.61  3.94  0.12  0.20  0.20 302.8
 BHM 20040317  5.26  4.19  0.35  0.28  0.20 372.5
 BHM 20040318  6.87  4.49  0.22  0.17  0.22 299.2
 BHM 20040319  6.77  5.88  0.45  0.33  0.14 306.2
 BHM 20040320  6.63  4.73  0.30  0.18  0.22 314.7
 BHM 20040321  6.96  6.63  0.69  0.25  0.06 304.9
 BHM 20040322  7.24  5.90  0.49  0.19  0.14 297.7
 BHM 20040323  7.02  6.31  0.53  0.31  0.11 308.7
 BHM 20040324  7.48  5.86  0.28  0.33  0.21 295.1
 BHM 20040325  7.20  4.77  0.10  0.29  0.27 307.6
 BHM 20040326  7.19  5.19  0.15  0.35  0.25 310.8
 BHM 20040327  7.35  5.16  0.06  0.39  0.29 307.5
 BHM 20040328  7.61  5.46  0.09  0.39  0.28 300.9
 BHM 20040329  7.28  4.29  0.07  0.22  0.24 315.5
 BHM 20040330  6.88  5.87  0.39  0.38  0.13 334.0
 BHM 20040331  6.31  4.54  0.29  0.25  0.15 361.9
 BHM 20040401  6.07  4.75  0.41  0.24  0.12 376.5
 BHM 20040402  6.36  5.38  0.35  0.44  0.09 364.8
 BHM 20040403  6.94  6.44  0.63  0.32  0.00 341.4
 BHM 20040404  6.85  6.57  0.66  0.34  0.00 347.6
 BHM 20040405  7.23  6.74  0.56  0.41  0.00 334.6
