 BIL 20040101  0.81  0.59  0.06  0.42  0.30 374.0
 BIL 20040102  0.88  0.57  0.00  0.33  0.32 348.4
 BIL 20040103  0.88  0.63  0.21  0.30  0.20 355.5
 BIL 20040104  0.85  0.53  0.09  0.28  0.21 371.9
 BIL 20040105  0.77  0.64  0.24  0.46  0.22 416.7
 BIL 20040106  0.82  0.72  0.37  0.42  0.16 395.9
 BIL 20040107  1.00  0.72  0.00  0.43  0.37 324.8
 BIL 20040108  1.00  0.80  0.13  0.48  0.29 330.0
 BIL 20040109  1.11  0.90  0.15  0.49  0.27 298.9
 BIL 20040110  1.13  0.94  0.11  0.55  0.30 298.3
 BIL 20040111  1.12  0.92  0.16  0.50  0.25 302.9
 BIL 20040112  1.16  1.04  0.41  0.43  0.13 298.1
 BIL 20040113  1.16  0.98  0.10  0.57  0.31 302.1
 BIL 20040114  1.25  1.13  0.34  0.48  0.19 287.5
 BIL 20040115  1.31  1.17  0.30  0.50  0.20 279.0
 BIL 20040116  1.21  0.98  0.33  0.34  0.18 305.9
 BIL 20040117  1.29  1.17  0.36  0.47  0.17 290.6
 BIL 20040118  1.27  1.06  0.32  0.41  0.15 299.4
 BIL 20040119  1.24  0.81  0.04  0.32  0.30 312.8
 BIL 20040120  1.19  0.97  0.36  0.33  0.15 328.6
 BIL 20040121  1.31  1.07  0.19  0.48  0.23 304.7
 BIL 20040122  1.34  1.15  0.14  0.56  0.30 303.9
 BIL 20040123  1.45  1.17  0.03  0.56  0.35 287.6
 BIL 20040124  1.45  0.87  0.00  0.28  0.30 294.2
 BIL 20040125  1.13  0.79  0.12  0.33  0.27 382.4
 BIL 20040126  1.18  0.82  0.10  0.34  0.29 374.9
 BIL 20040127  1.22  0.82  0.00  0.37  0.35 368.6
 BIL 20040128  1.23  0.83  0.07  0.33  0.30 373.8
 BIL 20040129  1.39  0.86  0.00  0.29  0.34 337.7
 BIL 20040130  1.72  1.29  0.00  0.48  0.37 279.5
 BIL 20040131  1.41  1.08  0.12  0.43  0.29 344.8
 BIL 20040201  1.45  1.18  0.20  0.46  0.23 342.8
 BIL 20040202  1.42  1.22  0.38  0.40  0.12 357.3
 BIL 20040203  1.58  1.10  0.28  0.24  0.13 330.7
 BIL 20040204  1.43  1.01  0.25  0.25  0.18 372.3
 BIL 20040205  1.39  1.15  0.34  0.37  0.16 391.3
 BIL 20040206  1.49  1.41  0.63  0.34  0.02 373.3
 BIL 20040207  1.66  0.90  0.00  0.18  0.30 343.0
 BIL 20040208  1.54  1.10  0.09  0.38  0.28 375.3
