 BOS 20040101  1.18  1.03  0.39  0.41  0.13 331.6
 BOS 20040102  1.22  0.64  0.19  0.10  0.05 326.0
 BOS 20040103  1.30  0.53  0.02  0.09  0.06 308.0
 BOS 20040104  1.41  0.57  0.00  0.05  0.14 288.5
 BOS 20040105  1.48  0.50  0.00  0.00  0.05 278.3
 BOS 20040106  1.44  1.21  0.36  0.37  0.16 288.4
 BOS 20040107  1.02  0.95  0.55  0.33  0.12 406.1
 BOS 20040108  1.03  0.95  0.49  0.37  0.14 406.4
 BOS 20040109  1.13  1.05  0.51  0.38  0.11 374.3
 BOS 20040110  1.10  1.03  0.57  0.36  0.07 386.6
 BOS 20040111  1.14  0.90  0.45  0.28  0.03 378.1
 BOS 20040112  1.30  0.72  0.00  0.26  0.22 336.9
 BOS 20040113  1.29  0.87  0.17  0.30  0.18 344.7
 BOS 20040114  1.27  1.12  0.31  0.44  0.25 353.9
 BOS 20040115  1.24  0.88  0.26  0.26  0.17 368.4
 BOS 20040116  1.07  0.92  0.39  0.33  0.21 431.9
 BOS 20040117  1.27  1.20  0.64  0.30  0.06 369.9
 BOS 20040118  1.38  0.60  0.00  0.10  0.14 344.2
 BOS 20040119  1.31  1.10  0.39  0.34  0.16 368.2
 BOS 20040120  1.27  1.19  0.55  0.37  0.08 382.8
 BOS 20040121  1.30  1.16  0.49  0.36  0.08 378.6
 BOS 20040122  1.37  0.76  0.04  0.20  0.24 367.3
 BOS 20040123  1.30  1.04  0.24  0.39  0.24 395.6
 BOS 20040124  1.32  1.06  0.27  0.40  0.19 396.0
 BOS 20040125  1.28  1.20  0.61  0.30  0.09 415.7
 BOS 20040126  1.73  1.40  0.29  0.40  0.17 316.6
 BOS 20040127  1.83  1.16  0.20  0.25  0.10 304.9
 BOS 20040128  1.54  0.61  0.00  0.02  0.16 364.1
 BOS 20040129  1.25  1.03  0.24  0.42  0.25 454.0
 BOS 20040130  1.28  1.12  0.35  0.44  0.17 450.6
 BOS 20040131  1.38  1.00  0.18  0.33  0.23 424.6
 BOS 20040201  1.50  1.34  0.52  0.34  0.07 400.6
 BOS 20040202  1.85  1.74  0.76  0.19  0.00 333.1
 BOS 20040203  2.11  1.48  0.20  0.32  0.16 301.0
 BOS 20040204  1.97  1.78  0.45  0.37  0.17 326.9
 BOS 20040205  1.92  1.79  0.53  0.37  0.10 340.3
 BOS 20040206  2.31  0.85  0.00  0.00  0.13 292.7
 BOS 20040207  2.38  1.26  0.00  0.18  0.26 289.8
 BOS 20040208  1.65  1.53  0.56  0.33  0.10 415.4
 BOS 20040209  2.02  1.68  0.24  0.41  0.28 347.9
 BOS 20040210  1.91  1.53  0.25  0.39  0.22 372.6
 BOS 20040211  1.83  1.65  0.40  0.41  0.18 396.2
 BOS 20040212  2.05  1.48  0.09  0.43  0.23 362.9
 BOS 20040213  2.05  1.77  0.30  0.43  0.24 370.9
 BOS 20040214  2.15  1.81  0.20  0.51  0.23 361.6
 BOS 20040215  2.09  1.87  0.42  0.39  0.17 377.6
 BOS 20040216  2.54  2.40  0.65  0.30  0.04 323.0
 BOS 20040217  2.57  1.77  0.16  0.30  0.22 324.8
 BOS 20040218  2.24  1.30  0.20  0.17  0.08 373.6
 BOS 20040219  2.09  1.54  0.32  0.28  0.10 406.0
 BOS 20040220  2.32  1.56  0.10  0.35  0.21 374.6
 BOS 20040221  2.24  0.90  0.04  0.05  0.07 394.6
 BOS 20040222  2.32  1.51  0.10  0.30  0.23 390.3
 BOS 20040223  2.41  2.19  0.49  0.37  0.11 383.3
 BOS 20040224  2.63  2.39  0.49  0.37  0.11 360.3
 BOS 20040225  2.38  2.22  0.53  0.39  0.08 402.6
 BOS 20040226  2.79  2.72  0.79  0.21  0.00 353.8
 BOS 20040227  3.02  2.91  0.71  0.29  0.00 336.0
 BOS 20040228  2.78  2.51  0.51  0.37  0.06 367.4
 BOS 20040301  3.12  2.21  0.07  0.42  0.25 342.6
 BOS 20040302  3.44  1.75  0.07  0.14  0.16 320.3
 BOS 20040303  3.22  2.88  0.34  0.45  0.21 345.3
 BOS 20040304  3.14  2.09  0.13  0.33  0.17 359.4
 BOS 20040305  3.53  1.53  0.10  0.08  0.01 329.1
 BOS 20040306  4.12  1.51  0.00  0.03  0.08 292.5
 BOS 20040307  3.35  2.72  0.24  0.39  0.26 355.9
 BOS 20040308  3.05  1.38  0.09  0.05  0.11 393.1
 BOS 20040309  3.00  2.37  0.29  0.37  0.16 405.7
 BOS 20040310  2.99  2.68  0.60  0.28  0.03 413.3
 BOS 20040311  3.11  2.10  0.42  0.13  0.00 404.7
 BOS 20040312  2.96  1.61  0.07  0.15  0.23 430.8
 BOS 20040313  3.03  2.78  0.48  0.37  0.15 427.7
 BOS 20040314  3.90  3.39  0.35  0.42  0.18 346.5
 BOS 20040315  3.63  3.20  0.28  0.46  0.27 374.7
 BOS 20040316  4.01  2.09  0.00  0.21  0.20 348.4
 BOS 20040317  3.67  1.57  0.01  0.09  0.13 381.9
 BOS 20040318  3.20  2.04  0.26  0.15  0.14 438.9
 BOS 20040319  3.80  2.28  0.24  0.12  0.13 380.9
 BOS 20040320  4.43  2.57  0.07  0.23  0.20 337.9
 BOS 20040321  4.35  2.97  0.00  0.38  0.36 348.4
 BOS 20040322  3.03  2.88  0.70  0.23  0.07 488.3
 BOS 20040323  3.16  2.89  0.51  0.32  0.17 476.1
 BOS 20040324  3.65  3.34  0.42  0.45  0.13 422.9
 BOS 20040325  4.19  2.05  0.04  0.12  0.19 378.6
 BOS 20040326  4.59  3.46  0.48  0.16  0.05 353.8
 BOS 20040327  4.93  2.99  0.15  0.20  0.18 337.4
 BOS 20040328  4.43  2.98  0.46  0.08  0.00 374.4
 BOS 20040329  4.67  4.12  0.64  0.23  0.00 362.3
 BOS 20040330  4.90  4.10  0.52  0.25  0.06 351.2
 BOS 20040331  5.67  2.77  0.05  0.14  0.14 313.7
 BOS 20040401  5.24  2.02  0.03  0.00  0.12 339.4
 BOS 20040402  4.90  2.14  0.04  0.05  0.16 363.3
 BOS 20040403  4.92  2.57  0.05  0.13  0.24 366.0
 BOS 20040404  4.74  1.79  0.00  0.00  0.15 382.1
 BOS 20040405  4.16  2.45  0.16  0.15  0.19 432.9
 BOS 20040406  4.29  3.57  0.21  0.44  0.29 425.7
 BOS 20040407  4.50  3.72  0.21  0.46  0.25 412.4
 BOS 20040408  4.95  3.74  0.23  0.32  0.24 383.4
 BOS 20040409  5.13  3.47  0.05  0.35  0.30 375.4
 BOS 20040410  5.09  4.50  0.21  0.60  0.19 381.9
 BOS 20040411  5.48  3.40  0.07  0.31  0.19 361.6
 BOS 20040412  6.10  2.23  0.00  0.00  0.12 332.4
 BOS 20040413  6.54  2.24  0.04  0.00  0.00 316.4
 BOS 20040414  7.49  3.04  0.04  0.06  0.07 284.7
 BOS 20040415  5.81  4.23  0.07  0.36  0.38 355.2
 BOS 20040416  5.69  5.21  0.42  0.46  0.12 364.7
 BOS 20040417  5.74  4.80  0.26  0.49  0.15 365.4
 BOS 20040418  6.07  4.69  0.24  0.38  0.18 350.5
 BOS 20040419  6.84  6.15  0.28  0.58  0.14 319.6
 BOS 20040420  6.26  5.73  0.39  0.50  0.11 347.5
 BOS 20040421  6.98  4.23  0.16  0.25  0.09 319.0
 BOS 20040422  7.00  4.84  0.05  0.40  0.27 320.5
 BOS 20040423  6.84  2.47  0.00  0.00  0.11 328.7
 BOS 20040424  5.86  5.03  0.16  0.53  0.31 377.4
 BOS 20040425  7.08  5.81  0.37  0.36  0.11 323.4
 BOS 20040426  7.42  2.94  0.00  0.06  0.11 313.3
 BOS 20040427  7.05  3.70  0.00  0.19  0.24 328.9
 BOS 20040428  5.05  4.41  0.20  0.56  0.24 440.8
 BOS 20040429  6.43  5.07  0.29  0.37  0.15 360.0
 BOS 20040430  7.32  6.28  0.21  0.54  0.21 324.3
 BOS 20040501  7.49  5.91  0.15  0.47  0.24 319.9
 BOS 20040502  7.33  3.83  0.11  0.15  0.11 327.4
 BOS 20040503  7.93  3.39  0.07  0.11  0.00 308.3
 BOS 20040504  6.50  5.61  0.17  0.54  0.29 366.2
 BOS 20040505  6.61  3.87  0.11  0.28  0.08 363.0
 BOS 20040506  6.55  5.25  0.14  0.47  0.29 367.3
 BOS 20040507  7.20  6.49  0.23  0.67  0.10 340.6
 BOS 20040508  6.96  5.36  0.30  0.32  0.16 352.2
 BOS 20040509  7.01  4.44  0.10  0.31  0.17 351.4
