 BWI 20040101  1.80  1.63  0.48  0.39  0.09 284.8
 BWI 20040102  1.75  1.26  0.17  0.35  0.20 294.1
 BWI 20040103  1.87  1.23  0.08  0.33  0.23 279.4
 BWI 20040104  2.04  0.88  0.03  0.10  0.09 260.1
 BWI 20040105  2.13  0.91  0.03  0.13  0.04 252.0
 BWI 20040106  1.97  1.41  0.04  0.44  0.28 272.6
 BWI 20040107  1.37  1.26  0.48  0.36  0.16 386.1
 BWI 20040108  1.63  1.14  0.19  0.28  0.22 329.7
 BWI 20040109  1.75  1.00  0.07  0.23  0.19 312.4
 BWI 20040110  1.58  1.42  0.40  0.44  0.14 345.8
 BWI 20040111  1.65  1.29  0.40  0.25  0.12 333.0
 BWI 20040112  1.84  1.16  0.05  0.25  0.33 305.0
 BWI 20040113  1.75  1.38  0.15  0.44  0.28 323.3
 BWI 20040114  1.79  1.05  0.07  0.20  0.26 321.1
 BWI 20040115  1.64  1.13  0.21  0.21  0.27 353.0
 BWI 20040116  1.68  1.58  0.55  0.36  0.10 349.2
 BWI 20040117  1.93  1.30  0.23  0.20  0.21 310.2
 BWI 20040118  1.97  1.01  0.08  0.21  0.05 308.1
 BWI 20040119  1.79  1.50  0.26  0.42  0.25 342.2
 BWI 20040120  1.80  1.49  0.26  0.41  0.25 344.1
 BWI 20040121  1.84  1.49  0.25  0.39  0.23 339.8
 BWI 20040122  1.89  1.25  0.00  0.36  0.34 337.7
 BWI 20040123  1.75  1.47  0.37  0.31  0.23 368.7
 BWI 20040124  1.87  1.17  0.20  0.18  0.18 351.9
 BWI 20040125  2.26  1.49  0.18  0.25  0.19 299.4
 BWI 20040126  2.57  0.94  0.00  0.00  0.12 270.5
 BWI 20040127  2.54  0.83  0.00  0.00  0.03 277.8
 BWI 20040128  1.84  1.31  0.16  0.27  0.32 377.8
 BWI 20040129  1.76  1.27  0.23  0.29  0.21 401.3
 BWI 20040130  1.61  1.08  0.01  0.36  0.35 443.2
 BWI 20040131  1.73  1.52  0.37  0.39  0.21 419.6
 BWI 20040201  2.53  2.27  0.43  0.42  0.12 299.4
 BWI 20040202  2.75  2.19  0.28  0.38  0.17 282.1
 BWI 20040203  2.53  0.87  0.00  0.00  0.07 309.4
 BWI 20040204  2.58  2.22  0.37  0.40  0.16 309.4
 BWI 20040205  2.73  2.04  0.14  0.42  0.23 298.4
 BWI 20040206  3.19  1.14  0.00  0.00  0.10 264.3
 BWI 20040207  2.82  1.98  0.00  0.39  0.39 299.2
 BWI 20040208  2.25  2.15  0.58  0.40  0.03 372.0
 BWI 20040209  2.87  2.14  0.08  0.44  0.30 303.5
 BWI 20040210  2.35  1.72  0.07  0.43  0.29 368.6
 BWI 20040211  2.35  2.00  0.30  0.44  0.19 375.0
 BWI 20040212  2.72  1.38  0.00  0.20  0.18 333.9
 BWI 20040213  2.92  2.67  0.45  0.40  0.15 319.5
 BWI 20040214  3.02  2.65  0.38  0.40  0.18 315.8
 BWI 20040215  2.85  2.01  0.21  0.31  0.16 337.3
 BWI 20040216  3.18  2.96  0.66  0.29  0.00 310.6
 BWI 20040217  3.27  1.99  0.03  0.25  0.31 308.5
 BWI 20040218  2.61  2.24  0.33  0.39  0.23 382.7
 BWI 20040219  2.64  2.20  0.28  0.40  0.23 384.4
 BWI 20040220  3.21  2.01  0.05  0.32  0.22 327.9
 BWI 20040221  2.96  1.86  0.03  0.23  0.39 359.0
 BWI 20040222  3.20  2.92  0.45  0.40  0.15 340.7
 BWI 20040223  3.35  2.34  0.16  0.31  0.23 331.6
 BWI 20040224  3.55  1.28  0.00  0.00  0.11 320.4
 BWI 20040225  3.20  3.06  0.71  0.25  0.04 357.3
 BWI 20040226  3.49  3.15  0.49  0.36  0.11 335.8
 BWI 20040227  3.59  3.37  0.59  0.35  0.05 332.6
 BWI 20040228  3.62  3.48  0.69  0.31  0.00 335.5
 BWI 20040301  4.25  3.51  0.28  0.42  0.19 300.1
 BWI 20040302  4.34  2.59  0.00  0.27  0.30 299.1
 BWI 20040303  4.12  3.16  0.19  0.40  0.22 318.4
 BWI 20040304  4.24  1.83  0.17  0.00  0.00 315.0
 BWI 20040305  4.66  2.36  0.00  0.18  0.21 295.2
 BWI 20040306  5.00  2.48  0.00  0.17  0.20 281.9
 BWI 20040307  4.53  2.80  0.00  0.29  0.33 311.4
 BWI 20040308  3.26  1.92  0.11  0.15  0.27 420.8
 BWI 20040309  3.51  2.09  0.00  0.25  0.33 399.5
 BWI 20040310  3.35  2.08  0.06  0.25  0.29 423.3
 BWI 20040311  4.38  3.59  0.44  0.29  0.09 338.1
 BWI 20040312  3.68  3.27  0.35  0.42  0.23 399.7
 BWI 20040313  4.06  3.87  0.65  0.30  0.06 371.3
 BWI 20040314  4.73  2.82  0.09  0.21  0.24 329.6
 BWI 20040315  4.44  4.11  0.45  0.44  0.12 352.5
 BWI 20040316  4.81  1.52  0.00  0.00  0.00 333.7
 BWI 20040317  4.20  2.19  0.00  0.12  0.33 380.0
 BWI 20040318  4.22  2.43  0.01  0.21  0.32 383.4
 BWI 20040319  4.03  3.30  0.33  0.32  0.23 403.4
 BWI 20040320  5.51  3.62  0.21  0.23  0.16 312.3
 BWI 20040321  4.75  4.04  0.24  0.41  0.33 359.2
 BWI 20040322  3.61  3.20  0.31  0.46  0.23 462.7
 BWI 20040323  4.28  4.02  0.57  0.36  0.07 401.9
 BWI 20040324  4.91  3.76  0.31  0.28  0.19 360.8
 BWI 20040325  5.32  3.63  0.28  0.25  0.08 340.7
 BWI 20040326  5.45  3.57  0.09  0.27  0.30 337.6
 BWI 20040327  5.68  4.76  0.24  0.45  0.24 328.9
 BWI 20040328  5.21  4.54  0.61  0.19  0.08 358.5
 BWI 20040329  5.81  4.57  0.34  0.33  0.12 330.0
 BWI 20040330  6.00  4.11  0.12  0.34  0.22 324.1
 BWI 20040331  5.61  2.30  0.03  0.00  0.18 346.9
 BWI 20040401  5.24  2.86  0.03  0.12  0.34 371.4
 BWI 20040402  5.12  2.37  0.00  0.00  0.36 382.7
 BWI 20040403  5.20  3.12  0.05  0.15  0.40 381.1
 BWI 20040404  4.49  2.44  0.08  0.00  0.42 437.3
 BWI 20040405  4.16  3.61  0.26  0.43  0.31 472.5
 BWI 20040406  5.16  4.91  0.59  0.40  0.01 394.5
 BWI 20040407  5.70  4.33  0.12  0.42  0.29 365.8
 BWI 20040408  6.37  2.78  0.12  0.04  0.04 335.4
 BWI 20040409  6.05  4.75  0.16  0.43  0.27 353.1
 BWI 20040410  6.63  4.81  0.10  0.39  0.28 329.5
 BWI 20040411  6.69  2.31  0.00  0.00  0.07 329.8
 BWI 20040412  7.72  2.76  0.00  0.00  0.10 294.7
 BWI 20040413  7.57  2.73  0.00  0.00  0.11 301.6
 BWI 20040414  6.64  4.48  0.00  0.25  0.52 339.7
 BWI 20040415  6.00  5.76  0.60  0.41  0.00 372.4
 BWI 20040416  6.49  5.98  0.57  0.38  0.00 350.7
 BWI 20040417  6.43  5.75  0.25  0.60  0.15 356.7
 BWI 20040418  6.86  5.97  0.19  0.60  0.19 340.2
 BWI 20040419  7.53  6.65  0.20  0.61  0.19 316.7
 BWI 20040420  7.50  6.20  0.33  0.46  0.05 319.8
 BWI 20040421  7.97  5.56  0.01  0.42  0.32 305.5
 BWI 20040422  7.59  4.16  0.00  0.16  0.34 320.1
 BWI 20040423  7.85  3.42  0.04  0.06  0.14 313.1
 BWI 20040424  7.73  7.34  0.55  0.45  0.00 319.0
 BWI 20040425  8.27  3.94  0.04  0.06  0.24 302.9
 BWI 20040426  8.45  3.64  0.00  0.00  0.28 299.0
 BWI 20040427  6.94  5.79  0.14  0.49  0.34 355.6
 BWI 20040428  6.08  5.73  0.56  0.42  0.01 399.5
 BWI 20040429  7.38  6.19  0.25  0.49  0.17 341.1
 BWI 20040430  8.25  6.18  0.05  0.47  0.31 312.3
 BWI 20040501  8.30  5.51  0.04  0.30  0.36 312.1
