 CAE 20040101  3.33  3.14  0.62  0.36  0.00 231.7
 CAE 20040102  3.22  2.26  0.13  0.36  0.22 240.2
 CAE 20040103  3.05  2.02  0.14  0.27  0.23 252.4
 CAE 20040104  3.36  2.55  0.21  0.40  0.17 234.4
 CAE 20040105  3.53  1.85  0.00  0.17  0.27 225.6
 CAE 20040106  3.34  2.74  0.23  0.48  0.17 238.4
 CAE 20040107  2.78  2.67  0.68  0.32  0.00 282.0
 CAE 20040108  2.74  2.11  0.32  0.31  0.14 287.0
 CAE 20040109  2.86  1.21  0.03  0.08  0.10 278.0
 CAE 20040110  2.61  1.81  0.14  0.31  0.25 303.1
 CAE 20040111  2.79  2.63  0.59  0.38  0.02 288.1
 CAE 20040112  3.08  2.86  0.49  0.41  0.11 267.1
 CAE 20040113  2.93  2.43  0.18  0.49  0.26 281.2
 CAE 20040114  2.76  1.98  0.15  0.36  0.22 298.5
 CAE 20040115  2.75  2.54  0.48  0.41  0.11 302.9
 CAE 20040116  2.99  2.30  0.29  0.32  0.17 284.4
 CAE 20040117  3.14  1.95  0.05  0.27  0.28 274.5
 CAE 20040118  3.16  1.64  0.00  0.13  0.31 275.9
 CAE 20040119  3.08  2.71  0.39  0.41  0.15 284.8
 CAE 20040120  2.99  2.65  0.55  0.32  0.03 295.0
 CAE 20040121  3.33  2.48  0.22  0.35  0.19 271.0
 CAE 20040122  3.35  2.97  0.34  0.46  0.18 272.8
 CAE 20040123  2.96  2.72  0.59  0.30  0.07 308.3
 CAE 20040124  3.10  2.50  0.24  0.40  0.23 299.1
 CAE 20040125  3.67  1.16  0.00  0.00  0.00 261.8
 CAE 20040126  3.80  1.48  0.00  0.05  0.11 256.8
 CAE 20040127  3.89  2.39  0.00  0.31  0.29 254.6
 CAE 20040128  2.85  2.73  0.71  0.25  0.04 338.6
 CAE 20040129  3.01  2.82  0.57  0.36  0.06 325.5
 CAE 20040130  2.87  2.31  0.21  0.42  0.25 343.8
 CAE 20040131  3.21  2.97  0.59  0.36  0.01 315.4
 CAE 20040201  3.87  2.75  0.21  0.33  0.15 271.0
 CAE 20040202  3.89  1.89  0.02  0.10  0.24 273.3
 CAE 20040203  3.81  2.55  0.10  0.33  0.23 282.4
 CAE 20040204  4.12  3.34  0.26  0.43  0.17 267.7
 CAE 20040205  4.44  2.25  0.00  0.16  0.24 254.2
 CAE 20040206  4.88  2.10  0.00  0.04  0.22 238.0
 CAE 20040207  4.50  3.66  0.22  0.41  0.27 257.9
 CAE 20040208  4.14  3.99  0.71  0.29  0.00 280.7
 CAE 20040209  4.61  3.34  0.10  0.41  0.25 259.2
 CAE 20040210  4.38  2.28  0.04  0.18  0.18 273.6
 CAE 20040211  4.17  2.83  0.18  0.28  0.19 289.8
 CAE 20040212  4.68  1.57  0.03  0.00  0.00 266.6
 CAE 20040213  5.01  4.22  0.40  0.38  0.09 254.9
 CAE 20040214  4.79  1.79  0.00  0.00  0.14 268.4
 CAE 20040215  4.25  1.53  0.00  0.00  0.11 301.1
 CAE 20040216  4.57  2.94  0.09  0.29  0.24 286.8
 CAE 20040217  4.74  2.22  0.00  0.06  0.29 281.9
 CAE 20040218  3.40  3.29  0.75  0.24  0.02 381.2
 CAE 20040219  4.60  4.35  0.55  0.40  0.06 295.9
 CAE 20040220  4.93  4.47  0.56  0.34  0.04 283.0
 CAE 20040221  4.53  4.13  0.40  0.44  0.17 308.1
 CAE 20040222  4.72  4.26  0.56  0.33  0.04 300.9
 CAE 20040223  4.84  2.97  0.04  0.29  0.25 298.8
 CAE 20040224  5.11  1.66  0.00  0.00  0.02 289.5
 CAE 20040225  4.98  2.43  0.00  0.17  0.18 299.4
 CAE 20040226  4.64  1.52  0.00  0.00  0.03 322.2
 CAE 20040227  4.49  2.24  0.03  0.13  0.21 335.9
 CAE 20040228  4.56  4.42  0.76  0.24  0.00 335.6
 CAE 20040301  6.00  4.51  0.15  0.42  0.22 272.0
 CAE 20040302  5.73  3.99  0.08  0.37  0.27 286.5
 CAE 20040303  6.12  3.88  0.01  0.34  0.28 274.1
 CAE 20040304  6.18  5.11  0.20  0.50  0.21 275.1
 CAE 20040305  6.55  4.23  0.10  0.29  0.23 265.6
 CAE 20040306  7.10  4.38  0.05  0.29  0.24 250.9
 CAE 20040307  6.56  5.52  0.34  0.41  0.14 271.5
 CAE 20040308  4.77  4.33  0.45  0.36  0.19 360.8
 CAE 20040309  4.99  2.17  0.00  0.07  0.19 349.9
 CAE 20040310  4.04  3.25  0.32  0.32  0.21 426.1
 CAE 20040311  5.94  5.40  0.57  0.33  0.04 309.0
 CAE 20040312  5.97  5.62  0.59  0.36  0.04 311.0
 CAE 20040313  6.27  5.66  0.56  0.33  0.04 301.4
 CAE 20040314  6.45  3.87  0.06  0.25  0.24 297.5
 CAE 20040315  6.79  3.81  0.06  0.22  0.19 288.6
 CAE 20040316  6.62  2.90  0.00  0.11  0.14 297.3
 CAE 20040317  5.28  4.23  0.25  0.37  0.25 365.1
 CAE 20040318  6.58  4.02  0.15  0.22  0.16 305.4
 CAE 20040319  6.41  6.08  0.58  0.40  0.02 315.3
 CAE 20040320  6.22  4.28  0.19  0.28  0.20 326.6
 CAE 20040321  6.67  6.22  0.51  0.42  0.07 311.4
 CAE 20040322  6.78  5.57  0.33  0.38  0.15 309.9
 CAE 20040323  6.37  5.91  0.64  0.30  0.01 329.4
 CAE 20040324  6.99  5.98  0.41  0.38  0.10 307.5
 CAE 20040325  7.01  5.23  0.20  0.36  0.21 309.7
 CAE 20040326  6.69  5.32  0.28  0.38  0.17 324.6
 CAE 20040327  7.06  5.10  0.12  0.37  0.27 313.4
 CAE 20040328  7.16  5.23  0.23  0.29  0.22 312.5
 CAE 20040329  6.87  5.51  0.44  0.26  0.09 325.8
 CAE 20040330  7.37  3.46  0.06  0.09  0.15 310.5
 CAE 20040331  6.42  4.28  0.00  0.33  0.39 351.5
 CAE 20040401  5.87  4.51  0.17  0.34  0.34 382.0
 CAE 20040402  5.98  3.80  0.05  0.14  0.50 378.8
 CAE 20040403  6.50  5.72  0.23  0.54  0.23 355.6
 CAE 20040404  6.65  5.98  0.30  0.53  0.18 351.3
 CAE 20040405  6.31  6.00  0.57  0.43  0.00 369.9
 CAE 20040406  6.84  6.18  0.46  0.42  0.08 347.9
 CAE 20040407  7.61  6.40  0.15  0.56  0.24 320.4
 CAE 20040408  7.42  3.40  0.06  0.09  0.12 329.5
 CAE 20040409  7.42  6.98  0.50  0.48  0.02 332.2
 CAE 20040410  7.86  5.38  0.02  0.42  0.27 318.4
 CAE 20040411  8.57  3.77  0.00  0.08  0.19 298.0
 CAE 20040412  9.23  4.28  0.05  0.02  0.25 281.8
 CAE 20040413  8.57  5.96  0.00  0.35  0.43 301.3
