 CHS 20040101  3.61  3.40  0.57  0.37  0.06 228.5
 CHS 20040102  3.55  2.76  0.21  0.34  0.30 233.7
 CHS 20040103  3.38  2.84  0.32  0.39  0.20 245.1
 CHS 20040104  3.61  2.70  0.03  0.47  0.34 233.4
 CHS 20040105  3.79  2.61  0.10  0.30  0.32 224.4
 CHS 20040106  3.72  2.76  0.28  0.24  0.24 230.1
 CHS 20040107  3.10  2.97  0.69  0.29  0.02 271.2
 CHS 20040108  2.97  2.46  0.37  0.32  0.19 283.4
 CHS 20040109  3.06  1.13  0.08  0.00  0.00 277.4
 CHS 20040110  2.97  1.59  0.11  0.13  0.17 286.5
 CHS 20040111  3.02  2.86  0.77  0.19  0.00 284.2
 CHS 20040112  3.41  3.20  0.58  0.34  0.08 257.9
 CHS 20040113  3.20  2.36  0.20  0.31  0.26 274.6
 CHS 20040114  3.00  2.11  0.15  0.33  0.23 294.1
 CHS 20040115  2.97  2.62  0.53  0.30  0.08 298.6
 CHS 20040116  3.16  2.53  0.46  0.20  0.14 285.7
 CHS 20040117  3.37  2.20  0.16  0.20  0.27 272.5
 CHS 20040118  3.42  1.84  0.23  0.00  0.16 271.8
 CHS 20040119  3.43  2.35  0.26  0.19  0.20 273.1
 CHS 20040120  3.29  3.07  0.73  0.21  0.01 286.5
 CHS 20040121  3.57  2.65  0.26  0.30  0.19 269.0
 CHS 20040122  3.64  3.26  0.39  0.43  0.16 267.5
 CHS 20040123  3.43  3.25  0.78  0.17  0.01 285.1
 CHS 20040124  3.36  2.91  0.47  0.30  0.14 293.7
 CHS 20040125  3.90  1.50  0.10  0.00  0.00 261.2
 CHS 20040126  4.03  1.78  0.00  0.08  0.19 256.7
 CHS 20040127  4.30  2.84  0.15  0.25  0.24 245.6
 CHS 20040128  3.42  3.35  0.88  0.12  0.00 302.6
 CHS 20040129  3.31  3.08  0.51  0.38  0.12 315.0
 CHS 20040130  3.20  2.38  0.40  0.15  0.17 327.4
 CHS 20040131  3.43  3.05  0.64  0.20  0.06 312.1
 CHS 20040201  4.11  1.96  0.10  0.12  0.06 270.1
 CHS 20040202  4.21  1.99  0.04  0.06  0.23 268.0
 CHS 20040203  4.15  3.00  0.10  0.40  0.26 274.4
 CHS 20040204  4.41  3.46  0.29  0.35  0.17 264.5
 CHS 20040205  4.86  2.83  0.00  0.24  0.31 246.3
 CHS 20040206  5.24  2.99  0.00  0.19  0.35 234.2
 CHS 20040207  4.99  4.23  0.39  0.37  0.13 246.8
 CHS 20040208  4.62  4.08  0.70  0.16  0.00 266.7
 CHS 20040209  5.04  3.55  0.00  0.45  0.31 250.1
 CHS 20040210  4.92  2.40  0.08  0.06  0.20 258.7
 CHS 20040211  4.60  2.65  0.19  0.10  0.18 277.9
 CHS 20040212  4.94  1.91  0.08  0.00  0.04 265.3
 CHS 20040213  5.34  3.86  0.28  0.24  0.19 250.8
 CHS 20040214  5.23  1.76  0.00  0.00  0.05 259.5
 CHS 20040215  4.67  2.09  0.00  0.07  0.22 289.4
 CHS 20040216  4.97  2.72  0.00  0.25  0.21 277.4
 CHS 20040217  5.32  2.37  0.00  0.09  0.19 265.4
 CHS 20040218  3.73  3.53  0.75  0.21  0.00 364.5
 CHS 20040219  4.79  4.59  0.65  0.32  0.04 297.0
 CHS 20040220  5.25  4.89  0.55  0.35  0.10 277.9
 CHS 20040221  4.95  3.64  0.24  0.28  0.23 296.3
 CHS 20040222  4.97  4.24  0.54  0.24  0.08 298.8
 CHS 20040223  5.18  3.06  0.00  0.25  0.32 292.8
 CHS 20040224  5.38  1.81  0.00  0.00  0.05 286.9
 CHS 20040225  5.45  1.83  0.00  0.00  0.05 287.6
 CHS 20040226  5.11  1.62  0.00  0.00  0.00 307.0
 CHS 20040227  4.83  2.04  0.10  0.01  0.08 326.0
 CHS 20040228  4.73  4.57  0.72  0.28  0.00 336.3
 CHS 20040301  6.26  5.11  0.19  0.47  0.24 271.0
 CHS 20040302  6.09  4.61  0.16  0.37  0.29 280.9
 CHS 20040303  6.46  4.03  0.00  0.27  0.37 270.4
 CHS 20040304  6.52  5.46  0.11  0.55  0.31 271.3
 CHS 20040305  7.01  5.51  0.11  0.47  0.30 258.6
 CHS 20040306  7.44  5.10  0.17  0.22  0.31 248.4
 CHS 20040307  6.98  6.10  0.30  0.45  0.23 265.4
 CHS 20040308  5.47  5.16  0.71  0.24  0.02 330.1
 CHS 20040309  5.26  2.55  0.14  0.03  0.14 344.7
 CHS 20040310  4.26  2.55  0.35  0.05  0.04 418.5
 CHS 20040311  6.14  5.86  0.66  0.31  0.03 308.7
 CHS 20040312  6.56  6.03  0.50  0.36  0.14 295.1
 CHS 20040313  6.74  5.87  0.37  0.39  0.19 291.6
 CHS 20040314  7.19  4.31  0.00  0.27  0.31 278.8
 CHS 20040315  7.44  3.66  0.00  0.19  0.16 273.6
 CHS 20040316  7.05  2.68  0.01  0.05  0.07 289.5
 CHS 20040317  6.07  5.20  0.57  0.21  0.08 331.8
 CHS 20040318  6.73  5.06  0.29  0.25  0.23 307.0
 CHS 20040319  6.54  6.22  0.67  0.27  0.06 317.4
