 CLE 20040101  1.45  1.03  0.17  0.39  0.13 298.6
 CLE 20040102  1.40  0.73  0.13  0.17  0.04 312.0
 CLE 20040103  1.55  0.84  0.00  0.25  0.19 285.7
 CLE 20040104  1.64  0.53  0.00  0.00  0.02 275.0
 CLE 20040105  1.60  0.80  0.00  0.18  0.20 282.9
 CLE 20040106  1.31  0.87  0.11  0.24  0.34 346.2
 CLE 20040107  1.15  0.91  0.20  0.38  0.30 395.3
 CLE 20040108  1.41  0.86  0.02  0.29  0.27 325.4
 CLE 20040109  1.39  1.00  0.15  0.35  0.25 334.9
 CLE 20040110  1.26  1.02  0.31  0.34  0.21 370.6
 CLE 20040111  1.44  0.81  0.15  0.18  0.10 327.7
 CLE 20040112  1.52  0.65  0.00  0.07  0.17 316.1
 CLE 20040113  1.47  0.87  0.09  0.23  0.20 329.7
 CLE 20040114  1.54  0.59  0.00  0.05  0.10 321.3
 CLE 20040115  1.34  0.74  0.05  0.13  0.31 371.4
 CLE 20040116  1.51  1.09  0.23  0.30  0.19 336.8
 CLE 20040117  1.70  0.65  0.00  0.04  0.10 304.2
 CLE 20040118  1.59  1.06  0.16  0.26  0.23 328.5
 CLE 20040119  1.48  0.85  0.08  0.18  0.24 355.5
 CLE 20040120  1.56  1.00  0.07  0.27  0.30 342.5
 CLE 20040121  1.57  0.97  0.13  0.20  0.24 343.8
 CLE 20040122  1.55  1.03  0.06  0.28  0.35 353.9
 CLE 20040123  1.46  0.88  0.02  0.23  0.34 382.6
 CLE 20040124  1.62  1.11  0.15  0.27  0.26 351.9
 CLE 20040125  2.01  1.24  0.05  0.32  0.20 292.5
 CLE 20040126  2.12  0.83  0.00  0.05  0.11 284.0
 CLE 20040127  1.90  0.62  0.00  0.00  0.03 318.7
 CLE 20040128  1.49  0.81  0.06  0.15  0.24 407.0
 CLE 20040129  1.47  0.86  0.01  0.22  0.32 418.7
 CLE 20040130  1.33  0.86  0.07  0.26  0.33 472.7
 CLE 20040131  1.58  1.10  0.19  0.28  0.22 403.6
 CLE 20040201  2.08  1.41  0.13  0.34  0.18 316.5
 CLE 20040202  2.33  1.60  0.14  0.38  0.14 290.8
 CLE 20040203  2.03  0.70  0.00  0.00  0.07 335.0
 CLE 20040204  2.14  1.74  0.32  0.37  0.16 325.4
 CLE 20040205  2.27  1.42  0.04  0.34  0.21 314.6
 CLE 20040206  2.51  0.98  0.00  0.05  0.11 291.9
 CLE 20040207  1.95  0.90  0.13  0.02  0.11 374.3
 CLE 20040208  2.00  1.79  0.38  0.45  0.16 371.8
 CLE 20040209  2.31  0.98  0.01  0.03  0.20 329.9
 CLE 20040210  2.02  1.05  0.00  0.13  0.31 380.0
 CLE 20040211  2.05  1.31  0.07  0.28  0.27 381.6
 CLE 20040212  2.16  1.12  0.02  0.17  0.22 371.0
 CLE 20040213  2.33  1.81  0.30  0.33  0.16 352.3
 CLE 20040214  2.31  1.63  0.20  0.30  0.19 361.6
 CLE 20040215  2.41  2.07  0.38  0.38  0.16 354.5
 CLE 20040216  2.90  2.51  0.36  0.43  0.14 305.3
 CLE 20040217  2.51  1.60  0.10  0.26  0.25 354.0
 CLE 20040218  2.43  1.93  0.22  0.43  0.20 370.3
 CLE 20040219  2.53  1.44  0.00  0.27  0.23 362.7
 CLE 20040220  2.80  1.21  0.00  0.08  0.17 336.3
 CLE 20040221  2.31  0.97  0.09  0.00  0.11 409.7
 CLE 20040222  2.88  1.95  0.12  0.31  0.24 340.3
 CLE 20040223  2.94  1.41  0.09  0.08  0.14 340.7
 CLE 20040224  2.98  1.08  0.00  0.00  0.11 342.4
 CLE 20040225  2.93  2.33  0.37  0.31  0.12 353.2
 CLE 20040226  3.21  2.65  0.42  0.33  0.08 331.0
 CLE 20040227  3.28  3.08  0.52  0.44  0.04 330.8
 CLE 20040228  3.29  3.09  0.52  0.45  0.03 335.3
 CLE 20040301  3.93  1.96  0.09  0.14  0.10 295.8
 CLE 20040302  3.48  2.28  0.12  0.28  0.23 334.9
 CLE 20040303  3.55  1.87  0.00  0.22  0.20 334.9
 CLE 20040304  3.74  1.61  0.00  0.12  0.11 325.2
 CLE 20040305  3.99  2.01  0.07  0.12  0.17 312.0
 CLE 20040306  4.06  1.84  0.11  0.06  0.07 312.8
 CLE 20040307  3.60  1.54  0.00  0.03  0.23 352.5
 CLE 20040308  3.12  1.81  0.06  0.18  0.29 407.1
 CLE 20040309  3.10  2.11  0.15  0.27  0.26 415.4
 CLE 20040310  3.24  2.93  0.44  0.41  0.13 405.3
 CLE 20040311  4.05  2.59  0.21  0.23  0.12 337.7
 CLE 20040312  3.29  2.23  0.12  0.25  0.33 411.9
 CLE 20040313  3.84  3.47  0.37  0.46  0.17 364.2
 CLE 20040314  4.15  2.28  0.21  0.13  0.04 345.1
 CLE 20040315  3.86  2.87  0.10  0.41  0.30 373.1
 CLE 20040316  4.11  1.50  0.00  0.00  0.12 358.1
 CLE 20040317  3.34  1.61  0.00  0.08  0.29 437.8
 CLE 20040318  4.06  2.24  0.00  0.18  0.32 372.2
 CLE 20040319  4.30  3.12  0.18  0.32  0.25 358.6
 CLE 20040320  5.00  3.13  0.20  0.21  0.13 318.9
 CLE 20040321  3.40  2.56  0.21  0.29  0.31 454.7
 CLE 20040322  3.38  3.04  0.40  0.40  0.20 463.0
 CLE 20040323  4.31  3.83  0.33  0.44  0.23 377.2
 CLE 20040324  4.81  2.16  0.08  0.08  0.08 347.0
 CLE 20040325  4.96  2.81  0.18  0.13  0.13 342.0
 CLE 20040326  5.32  2.43  0.09  0.09  0.07 325.7
 CLE 20040327  5.48  3.65  0.29  0.25  0.02 321.4
 CLE 20040328  5.73  4.76  0.46  0.35  0.00 313.2
 CLE 20040329  5.66  3.38  0.24  0.17  0.05 320.1
 CLE 20040330  5.63  2.17  0.06  0.03  0.03 325.3
 CLE 20040331  4.99  2.41  0.00  0.13  0.22 364.6
 CLE 20040401  5.05  2.03  0.07  0.03  0.05 365.0
 CLE 20040402  5.31  2.37  0.17  0.00  0.04 353.1
 CLE 20040403  5.68  3.73  0.05  0.31  0.31 336.9
 CLE 20040404  4.43  2.47  0.03  0.17  0.30 422.3
 CLE 20040405  4.55  4.21  0.49  0.41  0.10 416.5
 CLE 20040406  5.17  3.28  0.14  0.30  0.12 376.2
 CLE 20040407  5.52  4.48  0.26  0.41  0.20 359.4
 CLE 20040408  5.80  2.90  0.00  0.12  0.28 347.7
 CLE 20040409  5.68  4.85  0.15  0.57  0.26 357.5
 CLE 20040410  6.11  3.99  0.01  0.35  0.31 339.1
 CLE 20040411  5.82  2.35  0.00  0.08  0.10 356.1
 CLE 20040412  6.62  3.67  0.00  0.27  0.20 322.5
 CLE 20040413  6.50  2.43  0.00  0.00  0.14 329.5
 CLE 20040414  5.70  4.89  0.36  0.41  0.15 371.6
 CLE 20040415  5.97  5.50  0.38  0.56  0.06 360.3
 CLE 20040416  6.16  3.94  0.14  0.29  0.15 353.4
 CLE 20040417  6.28  4.50  0.00  0.43  0.37 350.4
 CLE 20040418  6.99  5.38  0.06  0.50  0.30 322.6
 CLE 20040419  7.55  4.71  0.00  0.29  0.34 304.5
 CLE 20040420  7.23  5.47  0.29  0.33  0.13 318.5
 CLE 20040421  7.20  2.70  0.03  0.01  0.08 321.7
 CLE 20040422  6.70  3.32  0.00  0.16  0.21 344.0
 CLE 20040423  6.95  3.85  0.00  0.17  0.34 335.6
 CLE 20040424  6.84  6.37  0.57  0.39  0.01 342.4
 CLE 20040425  7.80  3.03  0.00  0.04  0.12 308.7
 CLE 20040426  7.15  5.19  0.07  0.42  0.29 333.8
 CLE 20040427  5.42  3.54  0.00  0.30  0.40 425.3
 CLE 20040428  6.20  4.35  0.23  0.31  0.12 380.9
 CLE 20040429  7.11  6.38  0.29  0.55  0.16 341.5
 CLE 20040430  7.56  4.30  0.13  0.25  0.05 325.9
 CLE 20040501  7.60  3.46  0.02  0.09  0.18 326.5
 CLE 20040502  8.20  3.13  0.00  0.00  0.16 307.8
 CLE 20040503  6.27  4.84  0.15  0.40  0.30 387.9
 CLE 20040504  6.81  4.68  0.15  0.31  0.22 363.2
 CLE 20040505  6.63  5.46  0.31  0.35  0.23 372.9
 CLE 20040506  7.61  6.58  0.20  0.55  0.23 333.5
 CLE 20040507  8.29  6.74  0.26  0.44  0.16 311.9
 CLE 20040508  7.87  4.60  0.02  0.29  0.21 327.1
 CLE 20040509  8.19  5.50  0.06  0.33  0.30 317.9
 CLE 20040510  8.33  6.71  0.12  0.50  0.29 315.0
 CLE 20040511  8.90  6.45  0.13  0.39  0.23 298.6
 CLE 20040512  8.83  6.93  0.13  0.48  0.25 301.6
 CLE 20040513  9.21  6.79  0.10  0.42  0.27 292.6
 CLE 20040514  8.69  4.63  0.04  0.13  0.28 308.1
 CLE 20040515  8.63  4.09  0.06  0.11  0.13 310.9
 CLE 20040516  8.02  7.19  0.43  0.43  0.10 331.6
 CLE 20040517  8.32  7.01  0.14  0.59  0.22 322.3
 CLE 20040518  8.49  5.33  0.00  0.29  0.35 318.2
 CLE 20040519  8.01  5.08  0.07  0.29  0.25 335.2
 CLE 20040520  8.37  5.94  0.02  0.40  0.36 323.7
 CLE 20040521  8.59  4.65  0.00  0.17  0.31 317.7
 CLE 20040522  8.64  7.23  0.14  0.55  0.26 316.7
 CLE 20040523  8.49  4.92  0.00  0.27  0.26 321.9
 CLE 20040524  7.77  5.68  0.03  0.44  0.34 347.5
 CLE 20040525  7.94  5.71  0.04  0.45  0.28 342.1
 CLE 20040526  7.60  4.22  0.00  0.20  0.30 355.8
 CLE 20040527  7.45  3.86  0.00  0.13  0.31 362.7
 CLE 20040528  7.91  6.36  0.12  0.51  0.27 345.7
 CLE 20040529  7.68  6.40  0.23  0.49  0.19 354.6
 CLE 20040530  7.96  4.49  0.06  0.26  0.14 345.1
 CLE 20040531  8.50  3.35  0.04  0.06  0.04 326.5
 CLE 20040601  7.06  5.35  0.16  0.37  0.29 382.4
 CLE 20040602  7.18  4.72  0.10  0.23  0.34 377.1
 CLE 20040603  7.24  6.51  0.28  0.58  0.14 375.0
 CLE 20040604  7.68  6.80  0.33  0.49  0.15 357.5
 CLE 20040605  8.35  5.28  0.05  0.31  0.25 333.9
 CLE 20040606  8.47  6.10  0.04  0.43  0.31 330.1
 CLE 20040607  8.47  7.60  0.27  0.59  0.14 330.7
 CLE 20040608  8.87  7.91  0.23  0.61  0.16 318.3
 CLE 20040609  9.14  7.32  0.11  0.51  0.28 311.1
 CLE 20040610  9.35  4.79  0.06  0.19  0.11 305.0
 CLE 20040611  9.96  4.17  0.00  0.05  0.18 289.9
 CLE 20040612  9.31  5.48  0.02  0.27  0.25 306.6
 CLE 20040613  9.61  4.68  0.00  0.14  0.22 298.4
 CLE 20040614  8.65  6.06  0.02  0.40  0.34 325.9
 CLE 20040615  8.96  7.17  0.16  0.52  0.18 316.8
 CLE 20040616  9.29  5.07  0.00  0.17  0.32 307.6
 CLE 20040617  9.95  5.07  0.00  0.15  0.26 290.7
 CLE 20040618 10.33  6.71  0.00  0.37  0.29 281.7
 CLE 20040619  9.28  7.85  0.25  0.46  0.23 308.1
 CLE 20040620  8.54  7.09  0.14  0.54  0.26 330.1
 CLE 20040621  8.51  6.04  0.11  0.36  0.27 330.7
 CLE 20040622  8.87  6.05  0.00  0.39  0.34 319.6
 CLE 20040623  8.77  7.75  0.27  0.53  0.19 322.6
 CLE 20040624  8.33  6.88  0.19  0.53  0.18 336.4
 CLE 20040625  8.76  6.25  0.09  0.39  0.27 322.6
 CLE 20040626  8.35  7.19  0.21  0.54  0.22 335.6
 CLE 20040627  8.11  6.58  0.10  0.54  0.28 343.6
 CLE 20040628  8.47  3.89  0.01  0.13  0.15 331.2
 CLE 20040629  7.74  6.47  0.17  0.52  0.25 356.8
