 CON 20040101  1.10  0.86  0.23  0.35  0.26 333.3
 CON 20040102  1.12  0.49  0.05  0.05  0.15 330.6
 CON 20040103  1.21  0.43  0.01  0.00  0.09 311.0
 CON 20040104  1.28  0.61  0.00  0.17  0.15 296.7
 CON 20040105  1.34  0.45  0.00  0.00  0.06 288.1
 CON 20040106  1.26  0.90  0.06  0.33  0.40 306.8
 CON 20040107  0.94  0.69  0.13  0.28  0.41 414.1
 CON 20040108  0.96  0.85  0.33  0.39  0.28 408.0
 CON 20040109  1.02  0.90  0.34  0.43  0.22 390.4
 CON 20040110  1.02  0.91  0.36  0.42  0.22 392.8
 CON 20040111  1.03  0.72  0.12  0.27  0.34 390.8
 CON 20040112  1.21  0.49  0.05  0.03  0.10 340.2
 CON 20040113  1.18  0.66  0.00  0.18  0.33 351.8
 CON 20040114  1.17  1.05  0.33  0.46  0.21 360.5
 CON 20040115  1.12  0.90  0.18  0.39  0.35 383.0
 CON 20040116  1.01  0.70  0.22  0.16  0.34 432.0
 CON 20040117  1.18  1.09  0.51  0.35  0.14 374.3
 CON 20040118  1.29  0.49  0.00  0.03  0.12 346.8
 CON 20040119  1.20  0.77  0.07  0.19  0.41 376.9
 CON 20040120  1.19  0.98  0.26  0.38  0.28 387.3
 CON 20040121  1.22  1.03  0.25  0.42  0.28 380.8
 CON 20040122  1.27  0.73  0.03  0.23  0.25 372.8
 CON 20040123  1.20  0.84  0.09  0.31  0.36 403.4
 CON 20040124  1.24  1.00  0.22  0.36  0.33 397.1
 CON 20040125  1.20  1.11  0.49  0.39  0.12 418.5
 CON 20040126  1.61  1.44  0.47  0.40  0.07 320.0
 CON 20040127  1.69  1.35  0.33  0.34  0.15 310.5
 CON 20040128  1.45  0.62  0.11  0.03  0.05 365.7
 CON 20040129  1.17  0.78  0.06  0.23  0.43 461.9
 CON 20040130  1.22  0.88  0.10  0.32  0.36 447.9
 CON 20040131  1.34  0.85  0.19  0.19  0.20 414.8
 CON 20040201  1.41  1.16  0.32  0.32  0.26 404.1
 CON 20040202  1.73  1.64  0.60  0.37  0.02 337.6
 CON 20040203  1.98  1.46  0.15  0.42  0.18 303.5
 CON 20040204  1.85  1.59  0.31  0.37  0.28 328.8
 CON 20040205  1.78  1.65  0.53  0.38  0.08 347.8
 CON 20040206  2.16  0.72  0.00  0.00  0.04 296.2
 CON 20040207  2.11  0.93  0.00  0.01  0.29 309.5
 CON 20040208  1.55  1.38  0.37  0.36  0.28 419.5
 CON 20040209  1.91  1.45  0.10  0.46  0.26 350.0
 CON 20040210  1.77  1.15  0.00  0.32  0.36 383.0
 CON 20040211  1.73  1.28  0.12  0.31  0.40 400.1
 CON 20040212  1.92  1.26  0.05  0.29  0.33 369.9
 CON 20040213  1.99  1.58  0.19  0.40  0.29 364.6
 CON 20040214  1.98  1.41  0.08  0.39  0.28 373.2
 CON 20040215  1.99  1.78  0.39  0.39  0.22 379.9
 CON 20040216  2.32  2.17  0.52  0.43  0.05 336.2
 CON 20040217  2.31  1.93  0.29  0.45  0.15 344.1
 CON 20040218  2.18  1.44  0.17  0.25  0.21 368.1
 CON 20040219  2.03  1.54  0.21  0.33  0.27 401.3
 CON 20040220  2.19  1.49  0.13  0.33  0.21 380.6
 CON 20040221  2.15  0.84  0.00  0.00  0.18 394.4
 CON 20040222  2.21  1.03  0.06  0.03  0.22 392.1
 CON 20040223  2.24  1.88  0.26  0.39  0.29 395.1
 CON 20040224  2.45  2.24  0.47  0.39  0.14 371.9
 CON 20040225  2.26  2.06  0.42  0.42  0.17 407.3
 CON 20040226  2.64  2.53  0.65  0.35  0.00 359.7
 CON 20040227  2.87  2.67  0.49  0.44  0.07 339.3
 CON 20040228  2.63  2.27  0.30  0.42  0.25 373.4
 CON 20040301  2.98  1.93  0.12  0.31  0.17 345.0
 CON 20040302  3.20  1.34  0.00  0.04  0.19 329.6
 CON 20040303  2.99  2.39  0.22  0.37  0.29 356.6
