 CRW 20040101  2.06  1.52  0.37  0.22  0.11 271.1
 CRW 20040102  1.97  0.95  0.11  0.08  0.11 285.0
 CRW 20040103  2.16  1.10  0.00  0.21  0.17 264.2
 CRW 20040104  2.34  1.06  0.00  0.13  0.15 248.3
 CRW 20040105  2.38  1.09  0.00  0.17  0.11 246.7
 CRW 20040106  2.07  1.29  0.00  0.35  0.25 280.9
 CRW 20040107  1.67  1.48  0.37  0.43  0.18 346.3
 CRW 20040108  1.93  0.84  0.11  0.03  0.07 304.1
 CRW 20040109  1.96  0.75  0.04  0.00  0.10 301.9
 CRW 20040110  1.76  1.47  0.42  0.32  0.12 336.7
 CRW 20040111  1.93  1.56  0.26  0.39  0.22 310.6
 CRW 20040112  2.07  0.90  0.00  0.08  0.18 294.5
 CRW 20040113  1.98  1.09  0.12  0.16  0.14 310.7
 CRW 20040114  1.96  1.16  0.07  0.23  0.24 318.1
 CRW 20040115  1.90  1.08  0.11  0.15  0.22 330.8
 CRW 20040116  2.10  1.42  0.21  0.25  0.18 305.2
 CRW 20040117  2.22  0.88  0.11  0.00  0.02 294.0
 CRW 20040118  2.18  1.07  0.14  0.10  0.05 301.1
 CRW 20040119  1.95  1.39  0.25  0.27  0.17 338.6
 CRW 20040120  2.10  1.48  0.13  0.34  0.25 319.5
 CRW 20040121  2.11  1.45  0.15  0.30  0.23 321.6
 CRW 20040122  2.09  1.10  0.02  0.18  0.22 329.1
 CRW 20040123  1.95  1.18  0.16  0.17  0.20 356.4
 CRW 20040124  2.27  1.09  0.04  0.12  0.17 315.0
 CRW 20040125  2.66  1.13  0.00  0.10  0.12 276.3
 CRW 20040126  2.83  1.33  0.00  0.11  0.22 265.8
 CRW 20040127  2.58  0.95  0.00  0.00  0.13 291.9
 CRW 20040128  1.89  1.24  0.18  0.23  0.21 394.9
 CRW 20040129  1.98  1.22  0.09  0.25  0.23 383.1
 CRW 20040130  1.75  0.97  0.00  0.20  0.29 435.8
 CRW 20040131  2.29  1.97  0.36  0.40  0.17 343.1
 CRW 20040201  2.89  2.37  0.38  0.35  0.11 282.9
 CRW 20040202  2.92  2.00  0.12  0.31  0.26 284.8
 CRW 20040203  2.43  0.94  0.00  0.00  0.17 340.9
 CRW 20040204  2.86  2.11  0.25  0.32  0.16 299.0
 CRW 20040205  3.04  1.91  0.00  0.31  0.32 288.5
 CRW 20040206  3.42  1.29  0.00  0.04  0.09 264.1
 CRW 20040207  2.69  1.07  0.00  0.00  0.20 331.7
 CRW 20040208  2.60  2.38  0.55  0.35  0.06 345.9
 CRW 20040209  3.09  2.04  0.00  0.36  0.33 301.9
 CRW 20040210  2.49  1.40  0.01  0.25  0.23 371.5
 CRW 20040211  2.70  1.93  0.14  0.36  0.23 351.1
 CRW 20040212  2.94  1.13  0.00  0.04  0.11 330.7
 CRW 20040213  3.20  2.63  0.35  0.34  0.18 311.8
 CRW 20040214  3.16  2.56  0.22  0.44  0.22 320.8
 CRW 20040215  2.99  2.08  0.22  0.29  0.15 341.9
 CRW 20040216  3.42  3.20  0.55  0.37  0.08 307.7
 CRW 20040217  3.10  1.59  0.09  0.12  0.16 341.2
 CRW 20040218  2.84  2.62  0.64  0.27  0.04 373.7
 CRW 20040219  3.23  2.25  0.20  0.29  0.19 339.5
 CRW 20040220  3.60  2.65  0.02  0.46  0.34 312.6
 CRW 20040221  3.08  1.60  0.07  0.13  0.20 365.0
 CRW 20040222  3.73  3.07  0.21  0.47  0.23 313.5
 CRW 20040223  3.65  2.23  0.01  0.29  0.29 323.8
 CRW 20040224  3.84  1.38  0.04  0.00  0.04 315.3
 CRW 20040225  3.57  3.33  0.59  0.31  0.09 340.7
 CRW 20040226  3.76  2.89  0.27  0.33  0.19 330.4
 CRW 20040227  3.82  3.39  0.47  0.35  0.12 330.6
 CRW 20040228  3.89  3.72  0.63  0.37  0.00 330.7
 CRW 20040301  4.67  2.63  0.00  0.25  0.25 290.7
 CRW 20040302  4.51  2.63  0.00  0.29  0.24 303.8
 CRW 20040303  4.49  3.11  0.06  0.38  0.28 309.5
 CRW 20040304  4.87  1.69  0.02  0.00  0.04 292.8
 CRW 20040305  5.05  2.57  0.00  0.20  0.19 288.3
 CRW 20040306  5.31  2.34  0.00  0.06  0.22 280.0
 CRW 20040307  4.80  2.84  0.00  0.27  0.29 309.5
 CRW 20040308  3.62  1.74  0.08  0.04  0.21 401.0
 CRW 20040309  3.59  2.02  0.10  0.16  0.21 409.5
 CRW 20040310  3.40  2.88  0.40  0.33  0.17 436.6
 CRW 20040311  4.78  3.54  0.06  0.45  0.30 326.9
 CRW 20040312  4.12  3.31  0.23  0.41  0.23 377.1
 CRW 20040313  4.46  4.21  0.60  0.34  0.06 356.7
 CRW 20040314  4.91  2.76  0.10  0.21  0.14 332.8
 CRW 20040315  4.73  4.21  0.37  0.44  0.17 348.2
 CRW 20040316  5.09  1.92  0.07  0.01  0.02 330.9
 CRW 20040317  4.12  2.14  0.00  0.14  0.30 402.8
 CRW 20040318  4.92  1.92  0.00  0.02  0.15 348.8
 CRW 20040319  5.11  4.39  0.35  0.43  0.14 342.2
 CRW 20040320  5.74  3.57  0.20  0.19  0.15 313.4
 CRW 20040321  4.72  3.11  0.15  0.26  0.22 376.2
 CRW 20040322  3.94  3.29  0.38  0.31  0.20 445.8
 CRW 20040323  4.83  4.41  0.44  0.41  0.15 375.9
 CRW 20040324  5.94  3.63  0.23  0.17  0.10 318.3
 CRW 20040325  6.12  4.02  0.15  0.25  0.23 313.9
 CRW 20040326  5.95  3.58  0.17  0.19  0.15 324.5
 CRW 20040327  6.22  3.24  0.26  0.05  0.00 315.9
 CRW 20040328  6.42  4.98  0.40  0.27  0.08 311.0
 CRW 20040329  6.31  4.50  0.28  0.28  0.11 318.8
 CRW 20040330  6.36  2.75  0.10  0.04  0.06 319.7
 CRW 20040331  5.48  2.82  0.06  0.11  0.23 367.0
 CRW 20040401  5.34  2.18  0.13  0.00  0.01 378.2
 CRW 20040402  5.39  1.85  0.04  0.00  0.00 379.1
 CRW 20040403  5.88  3.55  0.00  0.25  0.35 355.0
 CRW 20040404  4.83  2.58  0.00  0.20  0.25 424.7
 CRW 20040405  5.08  4.60  0.55  0.34  0.05 410.1
 CRW 20040406  5.98  4.60  0.27  0.31  0.22 359.1
 CRW 20040407  6.43  4.89  0.11  0.47  0.24 341.0
 CRW 20040408  6.64  4.35  0.13  0.30  0.19 334.5
 CRW 20040409  6.47  5.14  0.14  0.50  0.23 344.7
 CRW 20040410  6.76  3.42  0.04  0.02  0.37 334.8
 CRW 20040411  7.30  3.02  0.00  0.00  0.24 316.4
 CRW 20040412  7.92  2.83  0.00  0.00  0.10 297.2
 CRW 20040413  7.22  3.23  0.00  0.00  0.32 323.4
 CRW 20040414  6.14  3.39  0.17  0.21  0.00 374.0
 CRW 20040415  6.54  6.13  0.45  0.54  0.01 357.1
 CRW 20040416  6.66  4.57  0.15  0.30  0.23 353.9
 CRW 20040417  6.91  5.08  0.06  0.44  0.30 345.4
 CRW 20040418  7.45  6.25  0.14  0.59  0.21 326.3
 CRW 20040419  8.01  5.63  0.11  0.34  0.28 309.5
 CRW 20040420  8.11  4.20  0.02  0.12  0.29 308.4
 CRW 20040421  7.97  4.70  0.04  0.22  0.29 314.7
 CRW 20040422  7.76  3.50  0.03  0.05  0.21 323.3
 CRW 20040423  8.13  3.49  0.01  0.07  0.16 313.0
 CRW 20040424  8.35  7.61  0.36  0.55  0.08 307.5
 CRW 20040425  8.97  4.27  0.00  0.00  0.39 291.3
 CRW 20040426  8.62  4.75  0.05  0.17  0.25 302.7
 CRW 20040427  6.36  4.35  0.02  0.37  0.34 393.0
 CRW 20040428  6.97  5.84  0.30  0.43  0.17 365.7
 CRW 20040429  7.93  7.27  0.35  0.57  0.08 329.4
 CRW 20040430  8.63  4.32  0.01  0.15  0.22 308.7
 CRW 20040501  8.68  4.35  0.02  0.09  0.29 308.6
 CRW 20040502  9.25  3.68  0.00  0.00  0.20 293.7
 CRW 20040503  7.35  5.52  0.23  0.32  0.23 357.6
 CRW 20040504  7.44  5.89  0.25  0.36  0.24 355.2
 CRW 20040505  7.43  5.54  0.06  0.46  0.30 357.1
 CRW 20040506  8.13  6.56  0.11  0.54  0.25 332.2
 CRW 20040507  8.81  6.13  0.04  0.36  0.35 311.9
 CRW 20040508  8.53  6.49  0.05  0.49  0.31 321.6
 CRW 20040509  8.52  7.13  0.13  0.57  0.25 323.0
 CRW 20040510  8.58  6.90  0.08  0.55  0.28 322.3
 CRW 20040511  9.02  5.59  0.05  0.24  0.32 310.4
 CRW 20040512  9.20  6.80  0.02  0.46  0.35 306.0
 CRW 20040513  9.76  6.28  0.00  0.29  0.39 292.2
 CRW 20040514  9.26  4.95  0.00  0.13  0.35 305.9
 CRW 20040515  9.22  4.57  0.00  0.12  0.27 308.0
 CRW 20040516  8.82  6.39  0.06  0.43  0.29 320.4
 CRW 20040517  8.85  5.72  0.06  0.26  0.34 320.3
 CRW 20040518  9.32  5.66  0.00  0.22  0.40 307.6
 CRW 20040519  9.14  4.37  0.00  0.06  0.31 313.6
 CRW 20040520  8.87  6.40  0.00  0.43  0.38 321.9
 CRW 20040521  8.89  6.83  0.04  0.50  0.33 321.9
 CRW 20040522  9.24  7.46  0.05  0.57  0.31 312.5
 CRW 20040523  9.12  6.85  0.00  0.49  0.37 316.7
 CRW 20040524  8.67  6.53  0.01  0.51  0.33 330.8
 CRW 20040525  8.60  5.71  0.00  0.31  0.41 333.6
 CRW 20040526  9.06  4.42  0.00  0.00  0.42 320.0
 CRW 20040527  8.52  4.93  0.00  0.19  0.37 337.5
 CRW 20040528  9.64  6.75  0.00  0.38  0.40 304.7
 CRW 20040529  8.80  7.33  0.16  0.55  0.22 329.4
 CRW 20040530  8.63  3.78  0.00  0.09  0.17 335.5
 CRW 20040531  9.58  4.68  0.02  0.19  0.12 307.9
 CRW 20040601  8.19  6.48  0.23  0.36  0.27 351.1
 CRW 20040602  8.03  6.17  0.21  0.33  0.29 357.3
 CRW 20040603  7.72  6.18  0.09  0.56  0.24 369.5
 CRW 20040604  8.39  3.67  0.00  0.09  0.17 345.0
 CRW 20040605  8.68  5.41  0.00  0.31  0.31 335.9
 CRW 20040606  9.12  7.62  0.12  0.60  0.22 322.1
 CRW 20040607  8.83  7.70  0.15  0.65  0.19 331.6
 CRW 20040608  8.91  7.02  0.08  0.53  0.27 329.2
 CRW 20040609  9.22  7.44  0.07  0.56  0.29 320.2
 CRW 20040610  9.94  5.85  0.01  0.24  0.31 300.8
 CRW 20040611 10.24  4.73  0.00  0.11  0.20 293.7
 CRW 20040612 10.03  5.71  0.00  0.14  0.42 298.6
 CRW 20040613  9.74  5.56  0.00  0.17  0.38 306.2
 CRW 20040614  9.52  5.53  0.00  0.16  0.42 312.5
 CRW 20040615 10.05  7.04  0.00  0.43  0.33 298.6
 CRW 20040616 10.64  6.86  0.00  0.27  0.42 285.0
 CRW 20040617 10.77  7.74  0.00  0.39  0.43 282.2
 CRW 20040618 11.16  7.65  0.00  0.34  0.42 273.8
 CRW 20040619 10.45  7.64  0.00  0.44  0.39 289.7
 CRW 20040620  9.56  8.02  0.26  0.45  0.21 311.8
 CRW 20040621  9.65  7.23  0.00  0.47  0.39 309.0
 CRW 20040622 10.12  6.43  0.00  0.24  0.44 296.7
 CRW 20040623 10.33  7.41  0.10  0.42  0.22 292.0
 CRW 20040624  9.53  8.44  0.17  0.67  0.16 311.9
 CRW 20040625  9.94  6.41  0.00  0.34  0.32 301.0
 CRW 20040626  9.83  8.44  0.11  0.63  0.25 303.5
 CRW 20040627  9.59  8.15  0.23  0.49  0.23 310.0
 CRW 20040628  9.50  6.09  0.02  0.29  0.35 312.4
 CRW 20040629  8.92  7.39  0.07  0.61  0.27 328.8
 CRW 20040630  8.63  7.16  0.09  0.59  0.27 338.0
 CRW 20040701  8.90  7.31  0.11  0.56  0.26 328.9
 CRW 20040702  9.24  6.93  0.03  0.48  0.33 318.5
 CRW 20040703  9.25  7.10  0.03  0.51  0.33 317.9
 CRW 20040704  9.60  6.11  0.00  0.27  0.40 307.8
 CRW 20040705  9.66  7.50  0.02  0.53  0.34 305.8
 CRW 20040706  9.59  7.46  0.03  0.50  0.37 307.4
 CRW 20040707  9.50  7.00  0.00  0.45  0.39 309.7
 CRW 20040708  9.00  6.84  0.01  0.50  0.36 323.3
 CRW 20040709  9.71  8.13  0.07  0.62  0.28 303.1
 CRW 20040710  9.98  7.29  0.00  0.44  0.39 295.9
 CRW 20040711 10.03  6.14  0.00  0.25  0.37 294.2
 CRW 20040712  9.98  6.32  0.00  0.25  0.42 294.9
 CRW 20040713  9.59  6.71  0.00  0.40  0.37 304.3
 CRW 20040714  8.88  6.22  0.01  0.39  0.37 323.6
 CRW 20040715  8.57  6.39  0.03  0.48  0.32 333.0
 CRW 20040716  8.52  6.96  0.23  0.44  0.22 334.0
 CRW 20040717  8.85  4.89  0.09  0.12  0.26 322.8
 CRW 20040718  8.80  5.39  0.00  0.25  0.37 323.8
 CRW 20040719  8.70  6.15  0.00  0.42  0.36 325.9
 CRW 20040720  8.68  6.15  0.06  0.38  0.32 325.8
 CRW 20040721  9.43  7.87  0.10  0.60  0.25 303.5
 CRW 20040722  9.75  5.71  0.04  0.22  0.28 294.4
 CRW 20040723  9.47  6.43  0.00  0.35  0.39 300.5
 CRW 20040724  9.35  7.58  0.15  0.53  0.21 303.2
 CRW 20040725  9.74  7.10  0.00  0.45  0.37 292.5
 CRW 20040726  9.58  4.62  0.00  0.11  0.25 295.5
 CRW 20040727  9.84  4.82  0.00  0.18  0.17 288.5
 CRW 20040728  8.51  6.38  0.03  0.50  0.30 324.2
 CRW 20040729  8.94  7.38  0.10  0.60  0.23 310.8
 CRW 20040730  9.55  5.55  0.00  0.23  0.32 292.9
 CRW 20040731  9.76  5.75  0.01  0.29  0.24 286.8
 CRW 20040801  8.95  6.72  0.00  0.51  0.34 306.8
 CRW 20040802  8.90  6.35  0.00  0.43  0.36 306.9
 CRW 20040803  8.76  7.45  0.12  0.62  0.23 310.1
 CRW 20040804  9.19  7.13  0.03  0.51  0.35 296.5
 CRW 20040805  9.11  5.08  0.00  0.19  0.32 297.5
 CRW 20040806  7.74  6.64  0.18  0.61  0.16 339.7
 CRW 20040807  7.89  6.57  0.12  0.61  0.20 332.9
 CRW 20040808  8.13  6.15  0.07  0.46  0.31 323.4
 CRW 20040809  8.26  6.51  0.07  0.52  0.30 317.6
 CRW 20040810  8.21  5.92  0.00  0.43  0.38 317.6
 CRW 20040811  8.07  5.82  0.00  0.43  0.38 320.5
 CRW 20040812  8.41  4.53  0.00  0.20  0.26 308.0
 CRW 20040813  8.12  5.26  0.00  0.29  0.40 315.6
 CRW 20040814  8.57  5.75  0.01  0.38  0.31 299.9
 CRW 20040815  7.94  6.33  0.07  0.55  0.28 318.1
 CRW 20040816  7.60  6.42  0.11  0.62  0.23 328.2
 CRW 20040817  7.81  6.38  0.10  0.57  0.25 319.2
 CRW 20040818  8.03  6.37  0.07  0.53  0.30 310.3
 CRW 20040819  8.33  6.23  0.01  0.48  0.36 298.5
 CRW 20040820  8.43  6.39  0.02  0.47  0.38 294.0
 CRW 20040821  8.28  4.91  0.02  0.27  0.26 296.2
 CRW 20040822  7.97  7.22  0.32  0.56  0.12 303.7
 CRW 20040823  7.90  6.76  0.13  0.63  0.21 303.8
 CRW 20040824  7.84  6.40  0.09  0.58  0.25 303.6
 CRW 20040825  8.07  5.17  0.06  0.27  0.31 294.6
 CRW 20040826  8.23  5.05  0.05  0.23  0.32 288.1
 CRW 20040827  8.25  6.40  0.02  0.55  0.31 285.2
 CRW 20040828  8.01  5.86  0.00  0.47  0.35 290.5
 CRW 20040829  7.96  5.37  0.00  0.35  0.38 289.5
 CRW 20040830  8.34  4.54  0.03  0.21  0.21 275.9
 CRW 20040831  7.85  6.83  0.25  0.58  0.12 288.3
 CRW 20040901  7.78  6.97  0.23  0.64  0.13 288.1
 CRW 20040902  7.74  6.07  0.10  0.55  0.20 286.7
 CRW 20040903  7.51  5.38  0.05  0.42  0.30 291.5
 CRW 20040904  7.30  5.67  0.06  0.52  0.29 295.7
 CRW 20040905  7.40  6.31  0.13  0.64  0.19 289.9
 CRW 20040906  7.59  5.95  0.11  0.53  0.21 281.1
 CRW 20040907  7.48  4.33  0.04  0.18  0.32 282.4
 CRW 20040908  7.47  2.88  0.02  0.04  0.08 279.6
 CRW 20040909  6.96  3.50  0.01  0.12  0.27 293.9
 CRW 20040910  6.74  5.66  0.31  0.47  0.10 298.4
 CRW 20040911  6.81  5.83  0.16  0.63  0.16 293.2
 CRW 20040912  6.99  5.95  0.16  0.61  0.18 284.2
 CRW 20040913  6.79  5.69  0.12  0.62  0.20 288.2
 CRW 20040914  6.35  4.90  0.07  0.52  0.26 301.3
 CRW 20040915  6.60  5.03  0.07  0.49  0.28 288.8
 CRW 20040916  7.19  3.94  0.06  0.19  0.20 266.3
 CRW 20040917  7.29  2.70  0.02  0.00  0.10 260.2
 CRW 20040918  6.40  5.00  0.20  0.45  0.17 286.9
 CRW 20040919  6.32  6.05  0.64  0.36  0.00 286.8
 CRW 20040920  6.19  5.94  0.60  0.41  0.00 288.4
 CRW 20040921  6.21  5.87  0.52  0.48  0.00 284.2
 CRW 20040922  6.20  5.85  0.50  0.50  0.00 281.2
 CRW 20040923  5.97  5.62  0.47  0.53  0.00 286.7
 CRW 20040924  5.92  5.32  0.26  0.64  0.09 285.5
 CRW 20040925  6.04  4.56  0.12  0.44  0.25 276.4
 CRW 20040926  5.92  4.64  0.17  0.48  0.18 277.8
 CRW 20040927  5.71  4.42  0.11  0.49  0.24 283.0
 CRW 20040928  5.88  3.12  0.05  0.19  0.17 272.3
 CRW 20040929  5.47  3.62  0.05  0.31  0.32 286.1
 CRW 20040930  5.38  4.31  0.19  0.51  0.15 286.6
 CRW 20041001  5.22  4.10  0.15  0.50  0.19 290.0
 CRW 20041002  5.14  2.97  0.11  0.19  0.19 289.8
 CRW 20041003  4.75  3.86  0.35  0.35  0.14 305.7
 CRW 20041004  4.75  3.75  0.30  0.36  0.15 301.2
 CRW 20041005  4.66  3.91  0.32  0.41  0.17 302.2
 CRW 20041006  4.66  4.29  0.50  0.39  0.10 297.6
 CRW 20041007  4.71  4.32  0.53  0.36  0.08 290.6
 CRW 20041008  4.60  4.25  0.47  0.43  0.10 292.6
 CRW 20041009  4.72  2.71  0.03  0.24  0.24 282.4
 CRW 20041010  4.42  3.80  0.47  0.32  0.10 294.6
 CRW 20041011  4.61  4.33  0.66  0.30  0.01 280.0
 CRW 20041012  4.58  3.90  0.39  0.37  0.14 277.0
 CRW 20041013  4.38  1.72  0.07  0.00  0.07 284.3
 CRW 20041014  4.11  1.76  0.03  0.05  0.15 295.2
 CRW 20041015  3.50  1.42  0.00  0.00  0.22 334.3
 CRW 20041016  3.53  1.82  0.00  0.14  0.29 326.9
 CRW 20041017  3.63  3.22  0.37  0.41  0.20 314.0
 CRW 20041018  3.96  2.15  0.06  0.20  0.17 287.2
 CRW 20041019  4.11  1.68  0.00  0.02  0.20 273.5
 CRW 20041020  3.89  1.79  0.07  0.06  0.15 283.4
 CRW 20041021  3.70  1.99  0.15  0.13  0.11 291.2
 CRW 20041022  3.68  2.46  0.24  0.25  0.11 288.2
 CRW 20041023  3.89  2.65  0.17  0.29  0.20 270.2
 CRW 20041024  3.62  2.05  0.14  0.16  0.15 283.1
 CRW 20041025  3.78  3.09  0.42  0.31  0.09 268.2
 CRW 20041026  3.75  3.09  0.31  0.42  0.13 265.7
 CRW 20041027  3.60  1.69  0.15  0.04  0.07 270.8
 CRW 20041028  3.63  2.38  0.21  0.25  0.13 264.9
 CRW 20041029  3.89  2.07  0.15  0.10  0.14 246.1
 CRW 20041030  3.76  2.13  0.02  0.27  0.20 250.0
 CRW 20041031  3.77  3.13  0.36  0.35  0.17 246.0
