 DEN 20040101  1.62  1.35  0.09  0.57  0.31 327.4
 DEN 20040102  1.92  1.35  0.00  0.46  0.30 282.7
 DEN 20040103  1.89  1.10  0.00  0.29  0.24 289.9
 DEN 20040104  1.57  1.42  0.45  0.41  0.11 346.5
 DEN 20040105  1.47  1.24  0.37  0.39  0.13 372.7
 DEN 20040106  1.78  1.48  0.24  0.47  0.20 312.8
 DEN 20040107  1.99  1.57  0.04  0.52  0.35 284.7
 DEN 20040108  1.96  1.69  0.24  0.49  0.24 290.4
 DEN 20040109  2.13  1.83  0.27  0.48  0.20 271.7
 DEN 20040110  2.11  2.00  0.58  0.37  0.06 276.5
 DEN 20040111  2.00  1.89  0.59  0.36  0.05 292.0
 DEN 20040112  2.09  1.96  0.61  0.34  0.03 284.4
 DEN 20040113  2.14  2.04  0.62  0.35  0.03 281.7
 DEN 20040114  2.10  1.97  0.56  0.38  0.05 289.9
 DEN 20040115  2.27  1.95  0.31  0.46  0.17 274.1
 DEN 20040116  2.25  1.79  0.23  0.43  0.18 279.5
 DEN 20040117  2.23  1.86  0.41  0.35  0.09 285.4
 DEN 20040118  2.17  2.05  0.58  0.37  0.05 294.9
 DEN 20040119  2.24  1.82  0.19  0.48  0.22 291.2
 DEN 20040120  2.29  1.29  0.11  0.15  0.21 288.8
 DEN 20040121  2.09  1.93  0.51  0.41  0.06 317.2
 DEN 20040122  2.19  2.04  0.53  0.40  0.07 308.9
 DEN 20040123  2.40  2.22  0.50  0.40  0.10 288.5
 DEN 20040124  2.65  2.43  0.47  0.41  0.11 267.5
 DEN 20040125  2.40  1.88  0.21  0.41  0.22 297.2
 DEN 20040126  1.85  1.64  0.30  0.50  0.19 384.3
 DEN 20040127  2.09  1.82  0.26  0.50  0.22 347.0
 DEN 20040128  2.08  1.56  0.25  0.30  0.22 353.5
 DEN 20040129  2.14  1.82  0.17  0.54  0.26 349.4
 DEN 20040130  2.79  2.48  0.28  0.51  0.21 278.5
 DEN 20040131  2.68  1.86  0.17  0.31  0.20 292.4
 DEN 20040201  2.32  1.17  0.07  0.08  0.23 339.8
 DEN 20040202  2.29  1.93  0.31  0.44  0.15 349.2
 DEN 20040203  2.50  1.63  0.02  0.36  0.28 328.5
 DEN 20040204  2.24  1.04  0.05  0.04  0.22 369.1
 DEN 20040205  2.15  1.15  0.07  0.12  0.25 391.9
 DEN 20040206  2.18  1.98  0.50  0.38  0.08 392.5
 DEN 20040207  2.74  2.42  0.24  0.55  0.21 322.8
 DEN 20040208  2.34  1.40  0.02  0.26  0.29 378.3
 DEN 20040209  2.47  1.97  0.15  0.49  0.23 365.1
 DEN 20040210  2.50  2.31  0.47  0.42  0.11 366.3
 DEN 20040211  2.48  1.59  0.11  0.30  0.19 377.3
 DEN 20040212  2.36  2.14  0.58  0.33  0.02 402.1
 DEN 20040213  2.64  2.26  0.50  0.31  0.05 368.3
 DEN 20040214  3.10  2.92  0.62  0.34  0.02 324.3
 DEN 20040215  3.25  2.71  0.30  0.43  0.16 316.1
 DEN 20040216  2.89  2.52  0.40  0.40  0.13 357.8
 DEN 20040217  3.39  2.96  0.24  0.52  0.23 315.4
 DEN 20040218  4.23  3.26  0.00  0.55  0.33 264.0
 DEN 20040219  3.46  1.56  0.00  0.04  0.27 318.8
 DEN 20040220  3.31  3.06  0.54  0.38  0.05 336.8
 DEN 20040221  3.84  2.63  0.11  0.33  0.25 301.2
 DEN 20040222  3.67  2.42  0.11  0.30  0.23 318.2
 DEN 20040223  3.67  2.19  0.09  0.23  0.21 323.7
 DEN 20040224  3.75  2.74  0.25  0.30  0.18 323.2
 DEN 20040225  3.71  3.22  0.34  0.45  0.15 331.9
 DEN 20040226  4.12  3.64  0.36  0.46  0.14 307.3
 DEN 20040227  3.96  2.78  0.00  0.47  0.28 323.2
 DEN 20040228  3.81  2.76  0.22  0.34  0.15 339.6
 DEN 20040301  3.52  2.91  0.25  0.45  0.20 375.4
 DEN 20040302  3.52  2.48  0.11  0.38  0.23 381.3
 DEN 20040303  3.64  2.44  0.14  0.30  0.21 376.4
 DEN 20040304  3.82  2.55  0.11  0.31  0.24 366.1
 DEN 20040305  3.89  2.93  0.28  0.30  0.18 365.6
 DEN 20040306  4.48  3.84  0.16  0.54  0.29 328.0
 DEN 20040307  4.71  4.26  0.40  0.45  0.14 319.1
 DEN 20040308  4.95  4.47  0.42  0.43  0.13 310.1
 DEN 20040309  5.75  5.48  0.62  0.37  0.01 276.3
 DEN 20040310  5.74  4.30  0.16  0.41  0.21 280.7
 DEN 20040311  4.86  4.44  0.58  0.34  0.02 327.9
 DEN 20040312  4.87  4.41  0.46  0.40  0.11 332.2
 DEN 20040313  4.86  4.13  0.34  0.42  0.15 338.0
 DEN 20040314  4.97  4.18  0.28  0.46  0.17 335.7
 DEN 20040315  4.96  4.30  0.38  0.41  0.14 341.1
 DEN 20040316  4.71  3.92  0.17  0.51  0.26 361.5
 DEN 20040317  5.83  5.23  0.37  0.45  0.17 304.3
 DEN 20040318  5.96  5.21  0.29  0.49  0.19 302.5
 DEN 20040319  6.04  5.45  0.37  0.46  0.17 302.8
 DEN 20040320  6.85  5.79  0.38  0.40  0.10 275.8
 DEN 20040321  7.26  6.32  0.39  0.41  0.13 266.0
 DEN 20040322  7.27  6.23  0.32  0.44  0.17 268.9
 DEN 20040323  7.34  5.94  0.05  0.56  0.33 269.8
 DEN 20040324  6.70  5.80  0.32  0.46  0.16 294.6
 DEN 20040325  6.62  5.79  0.35  0.45  0.15 301.3
 DEN 20040326  6.72  5.88  0.30  0.48  0.19 300.3
 DEN 20040327  5.92  4.97  0.28  0.45  0.18 338.7
 DEN 20040328  5.43  4.78  0.41  0.41  0.12 368.7
 DEN 20040329  5.60  5.27  0.57  0.38  0.05 363.5
 DEN 20040330  6.24  5.99  0.67  0.33  0.00 334.8
 DEN 20040331  6.36  5.87  0.55  0.37  0.05 332.4
 DEN 20040401  6.53  5.28  0.25  0.43  0.18 328.3
 DEN 20040402  6.93  5.27  0.22  0.34  0.24 315.5
 DEN 20040403  7.16  4.30  0.07  0.26  0.21 309.8
 DEN 20040404  6.52  4.23  0.14  0.27  0.20 338.8
 DEN 20040405  7.04  4.80  0.13  0.31  0.24 320.2
 DEN 20040406  7.12  4.78  0.03  0.31  0.38 320.0
 DEN 20040407  7.40  5.60  0.09  0.45  0.29 312.9
 DEN 20040408  7.53  4.39  0.12  0.23  0.13 311.2
 DEN 20040409  7.04  4.60  0.00  0.30  0.40 332.2
 DEN 20040410  6.55  2.86  0.04  0.09  0.10 356.1
 DEN 20040411  6.13  4.10  0.03  0.37  0.29 380.2
 DEN 20040412  5.99  4.90  0.26  0.45  0.16 390.6
 DEN 20040413  6.98  6.62  0.53  0.46  0.02 345.4
 DEN 20040414  6.98  6.22  0.27  0.55  0.18 347.7
 DEN 20040415  7.62  6.93  0.42  0.42  0.16 325.3
 DEN 20040416  8.35  7.77  0.46  0.46  0.09 303.6
 DEN 20040417  8.43  7.24  0.25  0.53  0.16 303.4
 DEN 20040418  8.20  6.84  0.14  0.54  0.27 313.1
 DEN 20040419  7.90  5.98  0.06  0.50  0.27 325.1
 DEN 20040420  7.50  6.24  0.09  0.58  0.29 342.6
 DEN 20040421  6.83  3.87  0.04  0.16  0.32 372.6
 DEN 20040422  6.85  3.56  0.00  0.16  0.27 373.9
 DEN 20040423  7.71  3.43  0.00  0.08  0.20 340.5
 DEN 20040424  7.66  5.37  0.11  0.26  0.39 344.2
 DEN 20040425  6.97  5.95  0.27  0.50  0.16 374.7
 DEN 20040426  7.27  6.53  0.35  0.51  0.12 363.9
 DEN 20040427  7.72  7.25  0.59  0.33  0.08 347.6
 DEN 20040428  7.63  6.58  0.07  0.69  0.24 353.2
 DEN 20040429  7.57  4.30  0.00  0.20  0.33 357.7
 DEN 20040430  6.86  2.67  0.00  0.00  0.18 391.0
 DEN 20040501  7.29  6.00  0.22  0.49  0.18 372.4
 DEN 20040502  7.78  7.19  0.41  0.50  0.10 354.5
 DEN 20040503  8.55  7.57  0.21  0.61  0.18 328.6
 DEN 20040504  9.05  7.93  0.20  0.62  0.16 315.1
 DEN 20040505  9.31  8.42  0.30  0.58  0.12 308.8
 DEN 20040506  9.32  8.64  0.48  0.43  0.09 309.9
 DEN 20040507  9.61  8.95  0.51  0.41  0.08 303.1
 DEN 20040508  9.91  8.73  0.20  0.62  0.17 296.6
 DEN 20040509  9.39  8.54  0.30  0.61  0.09 311.8
 DEN 20040510  9.29  8.68  0.45  0.52  0.03 315.9
 DEN 20040511  9.43  8.40  0.27  0.55  0.18 313.0
 DEN 20040512  8.75  7.10  0.09  0.58  0.24 334.3
 DEN 20040513  8.93  6.59  0.14  0.41  0.22 329.4
 DEN 20040514  8.54  7.49  0.27  0.56  0.13 342.9
 DEN 20040515  8.52  7.25  0.06  0.67  0.26 344.7
 DEN 20040516  8.69  7.63  0.16  0.64  0.20 340.0
 DEN 20040517  8.85  6.69  0.08  0.44  0.32 335.9
 DEN 20040518  8.70  7.45  0.16  0.59  0.22 341.8
 DEN 20040519  9.57  8.58  0.32  0.50  0.18 316.4
 DEN 20040520  9.48  8.56  0.33  0.55  0.11 319.8
 DEN 20040521  9.53  8.71  0.39  0.49  0.12 318.9
 DEN 20040522  9.17  7.79  0.22  0.55  0.16 330.0
 DEN 20040523  8.68  7.61  0.31  0.50  0.15 346.2
 DEN 20040524  8.47  7.32  0.22  0.56  0.18 354.0
 DEN 20040525  8.22  5.88  0.04  0.48  0.23 363.9
 DEN 20040526  8.38  7.03  0.14  0.59  0.21 359.2
 DEN 20040527  8.81  7.77  0.19  0.62  0.19 344.4
 DEN 20040528  9.25  8.08  0.19  0.62  0.17 331.5
 DEN 20040529  8.33  7.11  0.12  0.61  0.25 362.5
 DEN 20040530  7.70  6.47  0.13  0.59  0.23 388.2
 DEN 20040531  8.63  7.37  0.20  0.56  0.19 353.0
 DEN 20040601  9.12  7.66  0.08  0.64  0.24 337.6
 DEN 20040602  9.20  7.59  0.13  0.57  0.22 335.3
 DEN 20040603  9.45  8.24  0.19  0.59  0.21 328.2
 DEN 20040604  9.59  8.45  0.19  0.64  0.16 324.1
