 DOV 20040101  1.79  1.62  0.49  0.38  0.09 286.4
 DOV 20040102  1.75  1.29  0.20  0.34  0.21 295.0
 DOV 20040103  1.86  1.24  0.08  0.34  0.24 281.8
 DOV 20040104  2.02  0.92  0.04  0.12  0.10 262.7
 DOV 20040105  2.13  0.89  0.00  0.11  0.09 252.2
 DOV 20040106  2.02  1.49  0.09  0.44  0.26 267.9
 DOV 20040107  1.37  1.25  0.45  0.37  0.18 386.5
 DOV 20040108  1.59  1.18  0.26  0.31  0.18 338.7
 DOV 20040109  1.75  1.03  0.09  0.23  0.19 312.8
 DOV 20040110  1.60  1.39  0.33  0.45  0.16 341.2
 DOV 20040111  1.63  1.32  0.44  0.26  0.11 337.6
 DOV 20040112  1.84  1.18  0.07  0.25  0.32 305.3
 DOV 20040113  1.76  1.39  0.15  0.45  0.28 323.4
 DOV 20040114  1.78  1.15  0.14  0.24  0.23 322.6
 DOV 20040115  1.67  1.08  0.09  0.24  0.32 347.5
 DOV 20040116  1.65  1.52  0.51  0.36  0.13 356.7
 DOV 20040117  1.91  1.42  0.29  0.26  0.20 314.4
 DOV 20040118  1.97  0.93  0.05  0.18  0.05 309.4
 DOV 20040119  1.81  1.51  0.25  0.42  0.26 338.7
 DOV 20040120  1.78  1.51  0.26  0.43  0.26 347.2
 DOV 20040121  1.83  1.52  0.26  0.42  0.23 342.8
 DOV 20040122  1.88  1.26  0.00  0.37  0.34 338.9
 DOV 20040123  1.74  1.48  0.33  0.36  0.26 370.4
 DOV 20040124  1.82  1.13  0.17  0.18  0.21 361.1
 DOV 20040125  2.21  1.61  0.25  0.30  0.17 306.0
 DOV 20040126  2.54  0.89  0.00  0.00  0.08 273.6
 DOV 20040127  2.56  0.83  0.00  0.00  0.02 275.2
 DOV 20040128  1.88  1.28  0.10  0.27  0.34 370.3
 DOV 20040129  1.76  1.35  0.25  0.33  0.22 401.3
 DOV 20040130  1.64  1.10  0.00  0.35  0.36 433.8
 DOV 20040131  1.68  1.45  0.34  0.38  0.24 430.3
 DOV 20040201  2.50  2.28  0.48  0.39  0.11 302.0
 DOV 20040202  2.75  2.24  0.33  0.37  0.15 282.8
 DOV 20040203  2.56  1.02  0.00  0.00  0.20 306.2
 DOV 20040204  2.58  2.26  0.34  0.44  0.18 309.2
 DOV 20040205  2.71  2.16  0.18  0.46  0.22 300.0
 DOV 20040206  3.19  1.15  0.00  0.00  0.11 264.9
 DOV 20040207  2.97  2.15  0.00  0.42  0.40 286.0
 DOV 20040208  2.24  2.12  0.59  0.38  0.03 373.7
 DOV 20040209  2.88  2.32  0.16  0.47  0.26 302.0
 DOV 20040210  2.38  1.61  0.11  0.31  0.26 364.1
 DOV 20040211  2.34  2.05  0.32  0.46  0.19 376.8
 DOV 20040212  2.75  1.39  0.00  0.18  0.21 331.1
 DOV 20040213  2.94  2.69  0.45  0.40  0.15 317.7
 DOV 20040214  3.08  2.69  0.38  0.39  0.18 310.4
 DOV 20040215  2.91  2.03  0.18  0.33  0.17 331.0
 DOV 20040216  3.17  2.93  0.65  0.29  0.00 311.7
 DOV 20040217  3.39  2.09  0.04  0.26  0.30 298.7
 DOV 20040218  2.60  1.81  0.07  0.35  0.32 384.2
 DOV 20040219  2.56  2.28  0.34  0.44  0.22 396.1
 DOV 20040220  3.15  1.98  0.04  0.33  0.23 333.3
 DOV 20040221  3.02  1.87  0.00  0.24  0.40 352.4
 DOV 20040222  3.18  2.89  0.45  0.39  0.15 341.9
 DOV 20040223  3.33  2.50  0.21  0.35  0.22 334.0
 DOV 20040224  3.55  1.50  0.00  0.09  0.13 320.6
 DOV 20040225  3.19  3.03  0.68  0.26  0.06 358.5
 DOV 20040226  3.49  3.21  0.52  0.37  0.09 336.1
 DOV 20040227  3.59  3.39  0.60  0.35  0.05 332.8
 DOV 20040228  3.57  3.42  0.67  0.31  0.02 339.5
 DOV 20040301  4.16  3.71  0.36  0.46  0.16 306.0
 DOV 20040302  4.35  2.58  0.01  0.26  0.29 298.6
 DOV 20040303  4.15  3.32  0.22  0.43  0.21 316.1
 DOV 20040304  4.19  1.86  0.19  0.00  0.00 318.4
 DOV 20040305  4.64  2.39  0.00  0.18  0.23 295.9
 DOV 20040306  5.05  2.55  0.09  0.18  0.06 279.1
 DOV 20040307  4.55  2.98  0.00  0.35  0.33 309.8
 DOV 20040308  3.27  1.54  0.10  0.01  0.20 419.5
 DOV 20040309  3.50  1.85  0.02  0.14  0.29 400.1
 DOV 20040310  3.45  1.82  0.01  0.17  0.26 411.8
 DOV 20040311  4.33  3.54  0.40  0.32  0.11 341.5
