 FSD 20040101  1.08  0.72  0.03  0.39  0.26 335.9
 FSD 20040102  1.18  1.06  0.39  0.43  0.16 309.7
 FSD 20040103  1.05  0.63  0.05  0.28  0.22 352.5
 FSD 20040104  0.98  0.39  0.05  0.02  0.08 378.5
 FSD 20040105  0.96  0.76  0.43  0.24  0.12 393.3
 FSD 20040106  0.92  0.85  0.47  0.39  0.15 413.4
 FSD 20040107  1.15  0.97  0.24  0.45  0.25 333.9
 FSD 20040108  1.24  0.50  0.08  0.00  0.09 313.9
 FSD 20040109  1.20  0.77  0.16  0.23  0.21 327.6
 FSD 20040110  1.26  0.96  0.17  0.41  0.22 315.1
 FSD 20040111  1.31  0.80  0.11  0.27  0.15 306.2
 FSD 20040112  1.29  0.94  0.39  0.20  0.07 314.4
 FSD 20040113  1.32  0.90  0.25  0.28  0.08 313.3
 FSD 20040114  1.29  0.81  0.18  0.21  0.16 324.4
 FSD 20040115  1.53  1.08  0.07  0.41  0.26 281.3
 FSD 20040116  1.52  0.71  0.00  0.15  0.15 285.9
 FSD 20040117  1.43  0.95  0.28  0.21  0.08 306.5
 FSD 20040118  1.46  1.21  0.29  0.41  0.19 305.8
 FSD 20040119  1.45  1.01  0.18  0.27  0.24 311.5
 FSD 20040120  1.43  0.90  0.24  0.13  0.18 321.0
 FSD 20040121  1.45  1.18  0.17  0.47  0.26 319.7
 FSD 20040122  1.39  1.15  0.30  0.38  0.23 341.2
 FSD 20040123  1.52  0.85  0.22  0.09  0.10 317.4
 FSD 20040124  1.68  0.74  0.10  0.05  0.07 294.4
 FSD 20040125  1.72  0.63  0.00  0.02  0.09 293.4
 FSD 20040126  1.49  0.68  0.06  0.08  0.12 341.1
 FSD 20040127  1.36  1.09  0.26  0.39  0.21 381.2
 FSD 20040128  1.38  0.88  0.26  0.18  0.10 382.1
 FSD 20040129  1.28  0.58  0.05  0.08  0.14 418.5
 FSD 20040130  1.56  1.00  0.31  0.13  0.10 350.6
 FSD 20040131  1.73  0.75  0.03  0.10  0.09 321.5
 FSD 20040201  1.72  0.70  0.06  0.02  0.09 330.7
 FSD 20040202  1.79  0.91  0.11  0.12  0.11 324.3
 FSD 20040203  1.73  1.37  0.27  0.38  0.18 342.3
 FSD 20040204  1.83  1.02  0.08  0.19  0.18 330.5
 FSD 20040205  1.72  0.67  0.00  0.04  0.12 357.5
 FSD 20040206  1.61  0.93  0.24  0.13  0.06 389.9
 FSD 20040207  1.60  1.45  0.50  0.39  0.07 399.6
 FSD 20040208  1.81  1.08  0.00  0.28  0.29 360.6
 FSD 20040209  1.70  1.10  0.15  0.26  0.19 390.6
 FSD 20040210  1.73  1.19  0.15  0.33  0.19 390.6
 FSD 20040211  1.75  0.94  0.10  0.15  0.16 395.6
 FSD 20040212  1.77  1.46  0.36  0.36  0.13 397.8
 FSD 20040213  2.07  1.92  0.46  0.45  0.09 350.2
 FSD 20040214  2.16  1.67  0.26  0.38  0.15 343.9
 FSD 20040215  2.43  2.13  0.41  0.39  0.14 314.9
 FSD 20040216  2.21  1.58  0.10  0.40  0.25 350.9
 FSD 20040217  2.14  1.92  0.62  0.27  0.02 367.4
 FSD 20040218  2.53  1.62  0.09  0.31  0.20 320.3
 FSD 20040219  2.60  1.08  0.00  0.05  0.17 319.0
 FSD 20040220  2.14  1.25  0.20  0.13  0.14 387.6
 FSD 20040221  2.44  1.82  0.42  0.21  0.06 351.4
 FSD 20040222  2.51  1.49  0.03  0.27  0.24 348.4
 FSD 20040223  2.49  1.64  0.39  0.12  0.02 358.8
 FSD 20040224  2.66  1.92  0.47  0.15  0.00 344.3
 FSD 20040225  2.90  2.19  0.43  0.21  0.06 323.4
 FSD 20040226  2.84  2.35  0.48  0.26  0.09 336.5
 FSD 20040227  3.17  2.59  0.40  0.34  0.08 310.8
 FSD 20040228  3.16  1.71  0.00  0.23  0.22 316.8
 FSD 20040301  2.68  0.94  0.00  0.00  0.09 380.8
 FSD 20040302  2.69  1.44  0.11  0.12  0.18 386.2
 FSD 20040303  2.84  1.71  0.18  0.19  0.13 375.0
 FSD 20040304  2.91  1.69  0.07  0.26  0.16 373.5
