 HOU 20040101  4.59  2.42  0.00  0.10  0.37 219.9
 HOU 20040102  4.42  2.57  0.00  0.11  0.49 228.3
 HOU 20040103  4.54  2.71  0.00  0.19  0.42 224.3
 HOU 20040104  4.51  2.32  0.00  0.09  0.36 227.0
 HOU 20040105  4.53  2.27  0.05  0.05  0.30 227.3
 HOU 20040106  4.11  2.24  0.21  0.04  0.16 248.7
 HOU 20040107  3.96  2.07  0.17  0.08  0.11 258.1
 HOU 20040108  4.04  1.48  0.05  0.00  0.04 255.1
 HOU 20040109  4.10  3.53  0.60  0.17  0.10 253.0
 HOU 20040110  4.15  3.59  0.75  0.07  0.00 251.6
 HOU 20040111  4.38  3.53  0.38  0.31  0.13 242.3
 HOU 20040112  4.41  3.10  0.00  0.35  0.45 242.7
 HOU 20040113  4.62  2.19  0.04  0.10  0.18 235.6
 HOU 20040114  4.64  2.68  0.15  0.13  0.21 236.9
 HOU 20040115  4.31  1.56  0.00  0.00  0.11 253.7
 HOU 20040116  4.23  1.58  0.00  0.07  0.04 260.3
 HOU 20040117  3.99  1.43  0.00  0.00  0.10 275.4
 HOU 20040118  4.33  2.82  0.13  0.20  0.32 259.1
 HOU 20040119  4.34  3.83  0.59  0.22  0.10 260.9
 HOU 20040120  4.57  3.34  0.26  0.27  0.20 250.7
 HOU 20040121  4.63  3.07  0.20  0.23  0.19 250.0
 HOU 20040122  4.76  3.00  0.19  0.20  0.17 247.1
 HOU 20040123  4.64  2.85  0.19  0.16  0.19 255.5
 HOU 20040124  4.97  1.67  0.00  0.00  0.05 243.4
 HOU 20040125  4.71  3.29  0.30  0.22  0.13 257.5
 HOU 20040126  4.81  3.08  0.16  0.21  0.23 255.1
 HOU 20040127  4.30  3.92  0.66  0.23  0.04 283.8
 HOU 20040128  4.43  3.51  0.38  0.27  0.15 278.8
 HOU 20040129  4.09  1.76  0.07  0.03  0.12 302.2
 HOU 20040130  3.99  2.11  0.05  0.16  0.21 311.7
 HOU 20040131  4.23  2.88  0.03  0.32  0.39 298.8
 HOU 20040201  4.62  2.53  0.00  0.16  0.34 280.6
 HOU 20040202  4.41  3.44  0.41  0.23  0.13 295.5
 HOU 20040203  5.05  4.19  0.41  0.29  0.17 266.5
 HOU 20040204  5.00  1.91  0.05  0.00  0.08 271.2
 HOU 20040205  5.39  2.30  0.00  0.05  0.20 257.9
 HOU 20040206  5.41  3.37  0.21  0.15  0.19 259.8
 HOU 20040207  5.43  4.86  0.76  0.11  0.00 261.7
 HOU 20040208  5.60  4.24  0.35  0.26  0.13 257.9
 HOU 20040209  5.57  2.52  0.04  0.02  0.24 262.1
 HOU 20040210  5.62  2.02  0.00  0.02  0.08 262.7
 HOU 20040211  5.32  1.86  0.00  0.00  0.08 278.1
 HOU 20040212  5.56  2.94  0.10  0.10  0.21 271.0
 HOU 20040213  5.82  1.89  0.00  0.00  0.02 264.3
 HOU 20040214  4.96  2.28  0.13  0.09  0.01 306.1
 HOU 20040215  5.47  4.10  0.24  0.34  0.18 285.0
 HOU 20040216  5.74  4.65  0.27  0.39  0.21 276.5
 HOU 20040217  5.06  3.94  0.54  0.17  0.00 311.3
 HOU 20040218  6.05  5.72  0.81  0.10  0.06 270.3
 HOU 20040219  6.43  4.88  0.34  0.24  0.18 259.7
 HOU 20040220  6.19  4.06  0.13  0.25  0.26 270.8
 HOU 20040221  5.93  4.21  0.09  0.41  0.23 284.2
 HOU 20040222  6.06  3.26  0.00  0.12  0.37 282.3
 HOU 20040223  5.73  3.15  0.00  0.17  0.33 299.5
 HOU 20040224  5.42  2.89  0.04  0.18  0.21 317.1
 HOU 20040225  5.19  2.94  0.32  0.06  0.00 332.6
 HOU 20040226  5.64  4.68  0.41  0.31  0.14 313.8
 HOU 20040227  6.31  5.64  0.42  0.40  0.15 288.6
 HOU 20040228  7.19  5.16  0.10  0.35  0.32 261.3
 HOU 20040301  6.96  3.43  0.07  0.04  0.26 274.0
 HOU 20040302  6.96  3.52  0.00  0.10  0.32 276.9
 HOU 20040303  7.12  3.36  0.00  0.00  0.38 274.3
 HOU 20040304  7.35  2.80  0.00  0.00  0.16 270.1
 HOU 20040305  7.70  3.26  0.11  0.00  0.08 262.5
 HOU 20040306  7.31  6.20  0.49  0.29  0.08 276.7
 HOU 20040307  7.56  6.43  0.53  0.24  0.09 271.9
 HOU 20040308  7.68  7.40  0.74  0.24  0.02 270.8
 HOU 20040309  7.30  6.28  0.58  0.22  0.06 285.7
 HOU 20040310  7.07  6.48  0.50  0.36  0.13 295.9
 HOU 20040311  7.54  4.75  0.12  0.29  0.16 283.5
 HOU 20040312  7.52  3.99  0.01  0.21  0.21 286.6
 HOU 20040313  7.17  3.39  0.00  0.15  0.17 300.8
 HOU 20040314  7.60  3.21  0.05  0.06  0.09 289.3
 HOU 20040315  7.59  2.92  0.03  0.02  0.09 292.2
 HOU 20040316  7.92  7.19  0.56  0.29  0.11 284.5
 HOU 20040317  7.16  4.81  0.24  0.20  0.19 312.7
 HOU 20040318  7.44  6.08  0.23  0.32  0.39 304.9
 HOU 20040319  7.80  5.56  0.04  0.34  0.42 295.6
 HOU 20040320  7.77  6.06  0.16  0.38  0.33 299.0
 HOU 20040321  8.16  5.50  0.36  0.12  0.11 289.9
 HOU 20040322  8.26  5.87  0.27  0.26  0.15 289.0
 HOU 20040323  8.13  5.48  0.11  0.32  0.24 294.9
 HOU 20040324  8.42  5.09  0.02  0.22  0.36 288.9
 HOU 20040325  7.97  4.92  0.06  0.18  0.38 304.5
 HOU 20040326  8.57  5.29  0.08  0.15  0.39 289.0
 HOU 20040327  8.51  5.58  0.01  0.27  0.43 292.6
 HOU 20040328  8.11  5.23  0.01  0.28  0.39 306.9
 HOU 20040329  8.22  5.07  0.16  0.14  0.27 305.5
 HOU 20040330  8.12  7.61  0.74  0.21  0.00 311.3
