 ICT 20040101  2.03  1.54  0.24  0.36  0.18 291.7
 ICT 20040102  2.21  1.78  0.24  0.41  0.22 271.7
 ICT 20040103  2.37  1.48  0.00  0.35  0.25 256.6
 ICT 20040104  2.25  1.48  0.32  0.15  0.09 271.7
 ICT 20040105  2.00  1.45  0.30  0.25  0.15 305.3
 ICT 20040106  1.92  1.72  0.41  0.43  0.14 319.1
 ICT 20040107  2.12  1.68  0.21  0.41  0.24 292.8
 ICT 20040108  2.26  1.90  0.35  0.38  0.17 278.6
 ICT 20040109  2.20  1.63  0.36  0.26  0.08 287.5
 ICT 20040110  2.21  2.05  0.64  0.28  0.04 288.7
 ICT 20040111  2.26  2.08  0.66  0.24  0.05 285.1
 ICT 20040112  2.24  1.90  0.55  0.23  0.06 290.0
 ICT 20040113  2.39  2.01  0.63  0.15  0.03 276.8
 ICT 20040114  2.21  2.01  0.57  0.27  0.12 299.9
 ICT 20040115  2.43  2.19  0.62  0.24  0.06 278.7
 ICT 20040116  2.44  1.62  0.08  0.32  0.26 281.0
 ICT 20040117  2.47  0.98  0.06  0.00  0.10 281.3
 ICT 20040118  2.37  2.07  0.49  0.33  0.09 295.0
 ICT 20040119  2.36  2.05  0.58  0.23  0.06 298.3
 ICT 20040120  2.58  1.64  0.00  0.34  0.30 279.3
 ICT 20040121  2.35  1.95  0.40  0.32  0.14 306.6
 ICT 20040122  2.30  1.85  0.51  0.18  0.10 317.7
 ICT 20040123  2.39  2.28  0.70  0.26  0.04 311.4
 ICT 20040124  2.79  1.91  0.22  0.28  0.14 274.1
 ICT 20040125  2.79  1.48  0.14  0.16  0.07 278.2
 ICT 20040126  2.29  0.95  0.04  0.04  0.12 336.9
 ICT 20040127  2.07  1.97  0.64  0.32  0.04 374.5
 ICT 20040128  2.24  1.90  0.29  0.44  0.20 353.1
 ICT 20040129  2.13  1.55  0.18  0.35  0.21 375.4
 ICT 20040130  2.44  1.92  0.40  0.26  0.12 335.4
 ICT 20040131  3.01  1.61  0.00  0.24  0.19 280.9
 ICT 20040201  2.70  0.98  0.00  0.00  0.11 315.0
 ICT 20040202  2.44  1.65  0.29  0.20  0.12 350.4
 ICT 20040203  2.77  2.33  0.40  0.35  0.13 318.0
 ICT 20040204  2.70  0.98  0.00  0.00  0.11 329.5
 ICT 20040205  2.48  0.94  0.06  0.00  0.05 361.5
 ICT 20040206  2.31  1.45  0.20  0.18  0.17 391.9
 ICT 20040207  2.61  2.54  0.80  0.20  0.00 356.1
 ICT 20040208  2.96  1.98  0.07  0.36  0.24 322.5
 ICT 20040209  2.51  2.08  0.49  0.24  0.11 379.5
 ICT 20040210  2.53  2.23  0.62  0.21  0.06 382.3
