 ILG 20040101  1.69  1.50  0.44  0.40  0.11 290.6
 ILG 20040102  1.66  1.22  0.19  0.36  0.21 297.9
 ILG 20040103  1.76  1.11  0.04  0.32  0.25 283.5
 ILG 20040104  1.92  0.75  0.02  0.06  0.06 264.2
 ILG 20040105  2.02  0.82  0.00  0.11  0.06 254.8
 ILG 20040106  1.89  1.35  0.05  0.43  0.28 273.3
 ILG 20040107  1.30  1.17  0.42  0.37  0.21 392.3
 ILG 20040108  1.49  1.10  0.25  0.30  0.19 344.9
 ILG 20040109  1.61  1.06  0.15  0.29  0.18 323.3
 ILG 20040110  1.48  1.31  0.36  0.45  0.16 354.9
 ILG 20040111  1.56  1.20  0.40  0.23  0.13 339.3
 ILG 20040112  1.73  1.06  0.05  0.22  0.32 310.7
 ILG 20040113  1.67  1.29  0.13  0.43  0.29 326.6
 ILG 20040114  1.71  1.04  0.11  0.20  0.24 322.2
 ILG 20040115  1.57  1.03  0.11  0.24  0.31 354.8
 ILG 20040116  1.54  1.42  0.50  0.36  0.14 365.6
 ILG 20040117  1.83  1.37  0.28  0.27  0.21 315.6
 ILG 20040118  1.86  0.94  0.07  0.21  0.05 313.5
 ILG 20040119  1.70  1.38  0.21  0.41  0.29 346.4
 ILG 20040120  1.68  1.42  0.25  0.43  0.27 353.1
 ILG 20040121  1.74  1.44  0.26  0.42  0.23 345.7
 ILG 20040122  1.81  1.22  0.00  0.37  0.34 338.3
 ILG 20040123  1.66  1.40  0.32  0.35  0.27 372.9
 ILG 20040124  1.70  1.03  0.15  0.17  0.22 371.0
 ILG 20040125  2.09  1.58  0.28  0.32  0.16 310.6
 ILG 20040126  2.42  0.84  0.00  0.00  0.08 276.5
 ILG 20040127  2.41  0.77  0.00  0.00  0.01 281.3
 ILG 20040128  1.78  1.14  0.08  0.24  0.32 377.4
 ILG 20040129  1.67  1.29  0.26  0.33  0.22 407.5
 ILG 20040130  1.54  1.08  0.04  0.37  0.35 446.6
 ILG 20040131  1.58  1.30  0.29  0.35  0.26 441.2
 ILG 20040201  2.34  2.16  0.49  0.39  0.12 311.2
 ILG 20040202  2.64  2.14  0.31  0.38  0.16 283.6
 ILG 20040203  2.47  0.99  0.00  0.00  0.20 305.5
 ILG 20040204  2.46  2.20  0.40  0.42  0.15 312.3
 ILG 20040205  2.57  2.08  0.21  0.46  0.21 306.0
 ILG 20040206  3.04  1.07  0.00  0.00  0.09 267.9
 ILG 20040207  2.74  1.94  0.00  0.39  0.40 298.1
 ILG 20040208  2.12  2.01  0.59  0.38  0.03 382.7
 ILG 20040209  2.70  2.08  0.10  0.46  0.29 310.8
 ILG 20040210  2.27  1.58  0.13  0.33  0.25 369.9
 ILG 20040211  2.25  1.92  0.29  0.45  0.20 379.1
 ILG 20040212  2.58  1.36  0.00  0.20  0.23 341.3
 ILG 20040213  2.71  2.46  0.42  0.41  0.17 332.6
 ILG 20040214  2.86  2.50  0.38  0.39  0.18 322.1
 ILG 20040215  2.70  2.03  0.27  0.34  0.14 345.4
 ILG 20040216  3.11  2.86  0.64  0.30  0.00 309.3
 ILG 20040217  3.20  2.06  0.06  0.29  0.29 306.6
 ILG 20040218  2.53  1.88  0.14  0.37  0.29 383.8
 ILG 20040219  2.46  2.17  0.32  0.44  0.23 399.4
 ILG 20040220  3.03  1.78  0.02  0.30  0.21 337.0
 ILG 20040221  2.85  1.72  0.00  0.21  0.40 361.6
 ILG 20040222  3.09  2.78  0.41  0.41  0.17 342.4
 ILG 20040223  3.21  2.38  0.20  0.34  0.23 336.8
 ILG 20040224  3.40  1.28  0.03  0.00  0.10 324.7
 ILG 20040225  3.05  2.90  0.68  0.26  0.06 364.2
 ILG 20040226  3.42  3.22  0.59  0.35  0.06 334.3
 ILG 20040227  3.50  3.34  0.65  0.33  0.02 332.3
 ILG 20040228  3.47  3.28  0.63  0.33  0.03 340.1
 ILG 20040301  4.04  3.43  0.28  0.46  0.19 307.1
 ILG 20040302  4.24  2.52  0.00  0.27  0.30 298.9
 ILG 20040303  3.99  3.10  0.19  0.41  0.23 319.9
 ILG 20040304  3.99  1.72  0.17  0.00  0.00 325.1
 ILG 20040305  4.45  2.19  0.00  0.15  0.22 300.7
 ILG 20040306  4.87  2.29  0.05  0.16  0.07 282.5
 ILG 20040307  4.31  2.74  0.00  0.31  0.34 318.3
 ILG 20040308  3.21  1.41  0.07  0.00  0.19 419.0
 ILG 20040309  3.42  1.78  0.04  0.13  0.25 400.8
 ILG 20040310  3.32  1.98  0.05  0.23  0.28 418.2
 ILG 20040311  4.23  3.39  0.41  0.29  0.10 342.0
 ILG 20040312  3.46  3.01  0.30  0.41  0.28 414.8
 ILG 20040313  3.85  3.61  0.60  0.31  0.09 382.1
 ILG 20040314  4.58  2.89  0.10  0.25  0.25 333.0
 ILG 20040315  4.31  3.94  0.42  0.45  0.13 355.4
 ILG 20040316  4.70  1.49  0.00  0.00  0.00 334.2
 ILG 20040317  4.13  2.09  0.00  0.10  0.32 378.4
 ILG 20040318  3.99  2.39  0.00  0.25  0.34 396.0
 ILG 20040319  4.01  2.74  0.29  0.16  0.19 398.3
 ILG 20040320  5.35  3.38  0.16  0.23  0.18 314.8
 ILG 20040321  4.68  3.87  0.18  0.41  0.37 357.9
 ILG 20040322  3.51  3.12  0.33  0.45  0.22 467.0
 ILG 20040323  4.09  3.82  0.54  0.37  0.09 411.4
 ILG 20040324  4.66  3.93  0.39  0.34  0.16 371.2
 ILG 20040325  5.06  3.27  0.25  0.23  0.07 350.1
 ILG 20040326  5.30  3.46  0.11  0.26  0.27 340.0
 ILG 20040327  5.52  4.47  0.32  0.35  0.18 332.3
 ILG 20040328  5.03  4.13  0.55  0.15  0.11 363.7
 ILG 20040329  5.64  4.45  0.35  0.33  0.11 333.4
 ILG 20040330  5.80  3.99  0.14  0.33  0.21 329.0
 ILG 20040331  5.69  2.19  0.00  0.00  0.17 338.2
 ILG 20040401  5.29  2.54  0.12  0.00  0.20 363.1
 ILG 20040402  5.09  2.49  0.00  0.00  0.42 379.0
 ILG 20040403  5.10  2.83  0.05  0.10  0.36 382.2
 ILG 20040404  4.58  2.31  0.05  0.00  0.38 424.3
 ILG 20040405  4.20  3.36  0.23  0.32  0.35 462.2
 ILG 20040406  4.92  4.69  0.61  0.39  0.00 406.0
 ILG 20040407  5.34  3.93  0.10  0.39  0.31 382.1
 ILG 20040408  6.21  3.18  0.15  0.10  0.09 338.2
 ILG 20040409  5.89  4.51  0.14  0.40  0.30 357.0
 ILG 20040410  6.55  5.02  0.16  0.42  0.24 329.0
 ILG 20040411  6.45  2.22  0.00  0.00  0.07 336.3
 ILG 20040412  7.62  2.75  0.00  0.00  0.11 294.4
 ILG 20040413  7.45  2.69  0.00  0.00  0.11 302.4
 ILG 20040414  7.14  4.84  0.00  0.27  0.50 315.6
 ILG 20040415  5.90  5.55  0.55  0.38  0.08 373.7
 ILG 20040416  6.37  6.09  0.62  0.38  0.00 352.5
