 IND 20040101  1.74  1.00  0.02  0.25  0.24 284.5
 IND 20040102  1.68  0.80  0.09  0.09  0.12 296.4
 IND 20040103  1.89  1.06  0.00  0.29  0.19 268.8
 IND 20040104  1.98  0.63  0.00  0.00  0.00 259.6
 IND 20040105  1.89  0.98  0.00  0.17  0.26 273.0
 IND 20040106  1.51  1.30  0.31  0.43  0.22 340.6
 IND 20040107  1.50  1.29  0.35  0.44  0.13 344.6
 IND 20040108  1.75  0.70  0.04  0.05  0.07 298.9
 IND 20040109  1.71  1.06  0.05  0.31  0.22 308.5
 IND 20040110  1.56  1.10  0.21  0.28  0.20 338.2
 IND 20040111  1.77  1.11  0.13  0.22  0.23 303.5
 IND 20040112  1.84  1.05  0.06  0.23  0.20 296.4
 IND 20040113  1.74  1.24  0.16  0.33  0.23 316.0
 IND 20040114  1.75  0.87  0.07  0.11  0.17 319.7
 IND 20040115  1.84  1.05  0.15  0.20  0.09 308.0
 IND 20040116  1.96  1.10  0.05  0.21  0.22 294.5
 IND 20040117  2.03  0.64  0.00  0.00  0.00 288.9
 IND 20040118  1.89  1.57  0.23  0.46  0.23 312.1
 IND 20040119  1.78  1.22  0.10  0.35  0.24 333.4
 IND 20040120  1.92  1.28  0.06  0.37  0.23 314.8
 IND 20040121  1.84  1.28  0.16  0.27  0.28 331.3
 IND 20040122  1.82  1.53  0.16  0.46  0.36 340.0
 IND 20040123  1.77  1.03  0.19  0.18  0.08 353.5
 IND 20040124  2.13  1.16  0.02  0.21  0.23 303.2
 IND 20040125  2.42  0.84  0.00  0.00  0.07 274.1
 IND 20040126  2.40  1.08  0.00  0.09  0.20 280.4
 IND 20040127  1.88  0.70  0.00  0.00  0.14 355.0
 IND 20040128  1.67  1.25  0.23  0.39  0.12 404.1
 IND 20040129  1.76  1.00  0.10  0.21  0.15 390.5
 IND 20040130  1.54  1.12  0.10  0.36  0.33 449.9
 IND 20040131  2.23  1.89  0.26  0.50  0.16 322.5
 IND 20040201  2.52  2.13  0.24  0.51  0.17 293.0
 IND 20040202  2.48  0.94  0.00  0.03  0.11 302.4
 IND 20040203  2.08  0.82  0.00  0.01  0.18 362.5
 IND 20040204  2.53  1.95  0.12  0.46  0.26 307.4
 IND 20040205  2.53  0.94  0.00  0.05  0.06 312.5
 IND 20040206  2.40  1.20  0.00  0.14  0.25 334.1
 IND 20040207  2.15  0.79  0.07  0.00  0.01 375.7
 IND 20040208  2.33  1.74  0.35  0.31  0.03 352.9
 IND 20040209  2.61  1.11  0.00  0.06  0.18 323.1
 IND 20040210  2.20  1.24  0.04  0.17  0.30 383.9
 IND 20040211  2.31  1.27  0.00  0.20  0.28 373.2
 IND 20040212  2.35  1.18  0.00  0.13  0.27 374.2
 IND 20040213  2.60  2.19  0.38  0.34  0.18 348.1
 IND 20040214  2.54  1.98  0.25  0.38  0.18 362.3
 IND 20040215  2.75  2.59  0.49  0.47  0.05 341.9
 IND 20040216  3.12  2.77  0.28  0.52  0.20 311.4
 IND 20040217  2.67  2.16  0.26  0.41  0.19 363.1
 IND 20040218  2.81  2.11  0.26  0.34  0.15 352.6
 IND 20040219  3.11  1.61  0.05  0.17  0.17 327.0
 IND 20040220  3.04  1.17  0.00  0.00  0.17 339.2
 IND 20040221  2.80  1.51  0.07  0.15  0.22 371.8
 IND 20040222  3.38  2.18  0.08  0.34  0.19 319.4
 IND 20040223  3.31  1.84  0.04  0.23  0.19 330.5
 IND 20040224  3.37  1.85  0.06  0.16  0.24 331.0
 IND 20040225  3.32  2.89  0.41  0.40  0.11 341.2
 IND 20040226  3.51  3.04  0.43  0.39  0.08 329.9
 IND 20040227  3.51  3.19  0.41  0.44  0.15 335.2
 IND 20040228  3.78  3.55  0.51  0.45  0.04 318.8
 IND 20040301  4.13  1.58  0.02  0.00  0.13 303.8
 IND 20040302  3.74  2.58  0.06  0.37  0.29 336.9
 IND 20040303  3.99  2.16  0.00  0.26  0.18 323.4
 IND 20040304  4.36  1.45  0.00  0.00  0.04 304.5
 IND 20040305  4.40  2.21  0.00  0.13  0.27 307.0
 IND 20040306  4.18  2.25  0.00  0.15  0.33 324.9
 IND 20040307  3.81  2.22  0.00  0.17  0.41 358.2
 IND 20040308  3.58  2.46  0.09  0.33  0.29 383.3
 IND 20040309  3.32  2.26  0.12  0.25  0.34 416.9
