 JAN 20040101  3.86  3.08  0.27  0.37  0.21 224.3
 JAN 20040102  3.69  1.86  0.00  0.14  0.26 234.4
 JAN 20040103  3.82  2.04  0.00  0.17  0.29 228.8
 JAN 20040104  3.85  2.15  0.00  0.24  0.25 228.5
 JAN 20040105  3.82  2.08  0.00  0.21  0.26 232.1
 JAN 20040106  3.54  2.91  0.37  0.33  0.16 249.1
 JAN 20040107  3.27  3.15  0.72  0.26  0.02 268.0
 JAN 20040108  3.36  2.25  0.28  0.17  0.16 263.6
 JAN 20040109  3.27  2.15  0.32  0.15  0.09 271.5
 JAN 20040110  3.22  2.85  0.61  0.22  0.07 276.9
 JAN 20040111  3.54  3.19  0.62  0.26  0.04 256.7
 JAN 20040112  3.69  3.08  0.38  0.33  0.17 249.8
 JAN 20040113  3.61  1.95  0.00  0.18  0.29 257.2
 JAN 20040114  3.40  2.05  0.21  0.15  0.14 272.7
 JAN 20040115  3.41  3.10  0.57  0.30  0.08 274.3
 JAN 20040116  3.54  2.10  0.13  0.20  0.18 268.5
 JAN 20040117  3.57  1.55  0.00  0.10  0.15 269.1
 JAN 20040118  3.53  1.60  0.00  0.08  0.22 274.1
 JAN 20040119  3.35  3.11  0.76  0.17  0.00 289.1
 JAN 20040120  3.70  3.24  0.48  0.34  0.09 267.6
 JAN 20040121  3.95  3.33  0.38  0.38  0.12 255.2
 JAN 20040122  4.00  3.23  0.23  0.44  0.20 255.5
 JAN 20040123  3.80  3.53  0.56  0.35  0.08 270.3
 JAN 20040124  4.06  2.28  0.04  0.18  0.28 258.2
 JAN 20040125  4.23  2.35  0.07  0.17  0.23 251.1
 JAN 20040126  4.09  3.50  0.35  0.38  0.20 261.8
 JAN 20040127  3.65  3.35  0.68  0.21  0.05 292.4
 JAN 20040128  3.49  3.34  0.62  0.36  0.03 307.1
 JAN 20040129  3.39  2.91  0.40  0.37  0.14 318.7
 JAN 20040130  3.38  1.61  0.15  0.03  0.10 322.3
 JAN 20040131  3.72  2.76  0.30  0.27  0.16 298.9
 JAN 20040201  4.20  2.62  0.10  0.26  0.22 273.3
 JAN 20040202  3.98  1.80  0.00  0.10  0.19 289.9
 JAN 20040203  4.15  3.94  0.70  0.25  0.04 283.8
 JAN 20040204  4.32  3.28  0.14  0.44  0.23 276.8
 JAN 20040205  4.75  1.75  0.04  0.00  0.06 258.9
 JAN 20040206  4.81  1.96  0.00  0.06  0.14 259.6
 JAN 20040207  4.60  4.18  0.65  0.23  0.05 272.6
 JAN 20040208  4.73  4.09  0.41  0.41  0.08 269.2
 JAN 20040209  4.74  3.13  0.13  0.26  0.26 272.1
 JAN 20040210  4.52  1.54  0.00  0.02  0.03 286.7
 JAN 20040211  4.57  1.66  0.00  0.01  0.10 287.8
 JAN 20040212  4.79  2.36  0.03  0.14  0.18 279.6
 JAN 20040213  5.28  3.57  0.08  0.35  0.25 261.1
 JAN 20040214  4.83  1.64  0.00  0.00  0.06 285.5
 JAN 20040215  4.11  2.25  0.34  0.00  0.00 331.3
 JAN 20040216  4.90  3.89  0.29  0.37  0.16 288.7
 JAN 20040217  4.00  3.03  0.40  0.21  0.12 348.5
 JAN 20040218  4.76  4.61  0.81  0.18  0.00 303.0
 JAN 20040219  5.72  5.16  0.46  0.39  0.12 262.8
 JAN 20040220  5.24  3.49  0.09  0.31  0.27 286.3
 JAN 20040221  5.25  4.80  0.45  0.40  0.15 289.2
 JAN 20040222  5.41  4.29  0.28  0.39  0.15 285.6
 JAN 20040223  5.21  3.08  0.04  0.26  0.24 298.6
 JAN 20040224  5.14  2.36  0.00  0.07  0.25 305.7
 JAN 20040225  4.82  1.75  0.07  0.00  0.00 327.0
 JAN 20040226  4.72  2.37  0.22  0.00  0.09 337.1
 JAN 20040227  5.17  4.89  0.77  0.18  0.01 315.2
 JAN 20040228  6.09  5.45  0.53  0.33  0.07 277.4
 JAN 20040301  6.18  3.41  0.00  0.20  0.29 280.5
 JAN 20040302  6.18  2.79  0.00  0.07  0.23 284.0
 JAN 20040303  6.48  3.58  0.00  0.21  0.28 275.8
 JAN 20040304  6.69  3.64  0.00  0.21  0.26 271.7
 JAN 20040305  7.02  3.66  0.01  0.20  0.20 264.2
 JAN 20040306  6.86  6.13  0.55  0.29  0.09 271.9
 JAN 20040307  6.84  6.24  0.48  0.37  0.14 275.4
 JAN 20040308  6.44  6.29  0.85  0.15  0.00 293.6
 JAN 20040309  5.92  5.51  0.66  0.25  0.06 318.7
 JAN 20040310  5.97  5.76  0.73  0.26  0.01 319.4
