 LAS 20040101  2.34  1.67  0.09  0.34  0.34 286.9
 LAS 20040102  2.67  1.86  0.03  0.38  0.34 256.7
 LAS 20040103  2.51  2.14  0.39  0.36  0.16 273.8
 LAS 20040104  2.31  2.06  0.44  0.38  0.14 296.1
 LAS 20040105  2.58  2.31  0.50  0.32  0.13 270.2
 LAS 20040106  2.68  2.08  0.19  0.37  0.29 263.8
 LAS 20040107  2.71  2.07  0.12  0.41  0.31 262.5
 LAS 20040108  2.68  2.15  0.23  0.38  0.27 267.3
 LAS 20040109  2.79  2.52  0.56  0.26  0.14 259.9
 LAS 20040110  2.66  2.45  0.65  0.22  0.10 272.9
 LAS 20040111  2.67  2.50  0.68  0.22  0.08 273.7
 LAS 20040112  2.88  2.59  0.45  0.38  0.15 259.2
 LAS 20040113  2.72  2.31  0.38  0.31  0.23 274.6
 LAS 20040114  2.73  2.58  0.74  0.18  0.06 276.4
 LAS 20040115  2.80  2.30  0.31  0.35  0.23 273.8
 LAS 20040116  2.67  2.60  0.85  0.14  0.00 288.1
 LAS 20040117  2.91  2.77  0.71  0.23  0.05 269.8
 LAS 20040118  2.90  2.53  0.37  0.39  0.20 273.3
 LAS 20040119  3.06  2.55  0.31  0.38  0.21 263.9
 LAS 20040120  2.55  1.97  0.21  0.36  0.26 313.2
 LAS 20040121  2.45  2.21  0.58  0.26  0.11 327.4
 LAS 20040122  2.72  2.58  0.72  0.21  0.06 302.2
 LAS 20040123  2.98  2.81  0.62  0.29  0.09 282.3
 LAS 20040124  3.30  2.30  0.08  0.31  0.36 262.5
 LAS 20040125  2.58  2.27  0.42  0.37  0.16 330.4
 LAS 20040126  2.76  2.32  0.38  0.32  0.20 314.5
 LAS 20040127  2.89  2.10  0.19  0.26  0.32 305.4
 LAS 20040128  2.58  2.24  0.43  0.33  0.17 342.5
 LAS 20040129  3.17  2.95  0.62  0.28  0.08 289.2
 LAS 20040130  3.79  2.96  0.14  0.44  0.28 250.2
 LAS 20040131  3.07  2.44  0.19  0.44  0.23 304.1
 LAS 20040201  2.88  2.69  0.67  0.26  0.04 327.3
 LAS 20040202  3.33  2.11  0.00  0.24  0.43 291.7
 LAS 20040203  2.61  1.83  0.10  0.31  0.33 367.6
 LAS 20040204  2.57  2.02  0.24  0.37  0.23 379.3
 LAS 20040205  2.83  2.75  0.77  0.23  0.00 352.0
 LAS 20040206  3.45  3.08  0.44  0.37  0.16 299.8
 LAS 20040207  3.39  3.01  0.53  0.30  0.10 309.1
 LAS 20040208  2.86  2.61  0.55  0.31  0.11 364.0
 LAS 20040209  2.90  2.55  0.46  0.33  0.15 363.8
 LAS 20040210  2.72  2.63  0.82  0.15  0.02 391.2
 LAS 20040211  3.44  3.26  0.76  0.18  0.03 321.5
 LAS 20040212  3.36  3.28  0.82  0.18  0.00 333.7
 LAS 20040213  3.75  3.57  0.76  0.18  0.04 307.6
 LAS 20040214  3.92  3.10  0.29  0.31  0.24 300.1
 LAS 20040215  3.67  3.13  0.34  0.41  0.17 323.0
 LAS 20040216  4.16  3.04  0.12  0.34  0.33 293.7
 LAS 20040217  4.91  3.75  0.10  0.40  0.36 258.8
 LAS 20040218  4.97  3.21  0.00  0.25  0.45 259.5
 LAS 20040219  3.99  3.61  0.56  0.30  0.09 317.8
 LAS 20040220  4.56  3.12  0.03  0.33  0.38 286.7
 LAS 20040221  3.93  1.68  0.05  0.00  0.19 331.1
 LAS 20040222  4.08  1.66  0.00  0.00  0.22 324.8
 LAS 20040223  3.87  1.61  0.04  0.00  0.18 345.6
 LAS 20040224  3.98  3.21  0.26  0.37  0.24 341.9
 LAS 20040225  4.69  3.33  0.06  0.34  0.38 300.5
 LAS 20040226  4.55  2.57  0.00  0.11  0.45 313.3
 LAS 20040227  3.95  3.22  0.22  0.43  0.25 359.4
 LAS 20040228  3.69  3.00  0.34  0.31  0.21 386.4
 LAS 20040301  4.25  2.79  0.01  0.30  0.39 349.9
 LAS 20040302  3.59  2.02  0.00  0.13  0.42 412.2
 LAS 20040303  3.78  3.42  0.61  0.24  0.09 399.4
 LAS 20040304  5.28  4.64  0.43  0.37  0.14 302.2
 LAS 20040305  4.91  4.20  0.33  0.41  0.19 325.8
 LAS 20040306  5.39  4.73  0.41  0.37  0.17 305.0
 LAS 20040307  6.18  5.57  0.51  0.31  0.15 274.9
 LAS 20040308  6.44  6.07  0.69  0.24  0.05 269.3
 LAS 20040309  6.80  6.42  0.66  0.27  0.06 260.6
 LAS 20040310  6.41  5.97  0.57  0.34  0.08 276.6
 LAS 20040311  5.71  5.43  0.67  0.28  0.05 309.2
 LAS 20040312  5.56  4.88  0.35  0.44  0.17 319.8
 LAS 20040313  5.43  5.25  0.77  0.21  0.02 330.5
 LAS 20040314  6.07  5.51  0.47  0.38  0.13 304.1
 LAS 20040315  7.06  6.27  0.35  0.48  0.14 271.0
 LAS 20040316  6.02  5.66  0.59  0.34  0.07 313.6
 LAS 20040317  6.11  5.78  0.67  0.27  0.05 313.3
 LAS 20040318  6.46  5.82  0.47  0.36  0.14 301.6
 LAS 20040319  7.10  6.54  0.47  0.41  0.12 282.0
 LAS 20040320  7.84  7.42  0.70  0.22  0.07 262.5
 LAS 20040321  7.86  7.42  0.66  0.27  0.06 264.7
 LAS 20040322  7.92  6.78  0.29  0.45  0.20 265.7
 LAS 20040323  7.82  6.93  0.42  0.41  0.12 271.2
 LAS 20040324  7.62  6.38  0.26  0.44  0.22 279.9
 LAS 20040325  7.02  6.37  0.55  0.30  0.11 302.6
 LAS 20040326  6.66  5.53  0.22  0.46  0.24 319.9
 LAS 20040327  6.62  6.28  0.71  0.24  0.03 324.0
 LAS 20040328  7.21  7.02  0.82  0.18  0.00 304.9
 LAS 20040329  7.64  7.30  0.77  0.17  0.05 293.1
 LAS 20040330  7.37  6.64  0.42  0.42  0.14 304.7
 LAS 20040331  7.41  6.22  0.24  0.46  0.23 306.5
 LAS 20040401  6.97  6.24  0.44  0.38  0.15 325.2
 LAS 20040402  5.65  4.26  0.11  0.33  0.42 392.3
 LAS 20040403  6.10  4.71  0.21  0.28  0.37 370.3
 LAS 20040404  6.68  5.54  0.30  0.31  0.32 345.6
 LAS 20040405  7.41  6.51  0.30  0.48  0.20 319.1
 LAS 20040406  7.68  6.95  0.36  0.51  0.12 312.1
 LAS 20040407  6.75  6.23  0.41  0.51  0.08 350.3
 LAS 20040408  7.39  6.51  0.30  0.49  0.19 326.9
 LAS 20040409  7.01  6.33  0.35  0.52  0.12 345.0
 LAS 20040410  6.84  6.51  0.70  0.24  0.06 355.1
 LAS 20040411  6.60  6.37  0.77  0.20  0.03 368.0
 LAS 20040412  7.18  6.78  0.56  0.38  0.07 345.1
 LAS 20040413  7.21  6.41  0.40  0.40  0.17 345.8
 LAS 20040414  7.13  6.20  0.29  0.44  0.25 351.3
 LAS 20040415  7.58  6.74  0.41  0.39  0.17 336.2
 LAS 20040416  8.05  6.70  0.16  0.47  0.33 321.2
 LAS 20040417  8.39  6.45  0.08  0.42  0.38 312.6
 LAS 20040418  7.21  6.10  0.25  0.41  0.30 357.0
 LAS 20040419  7.03  6.25  0.41  0.36  0.21 367.1
 LAS 20040420  7.64  6.84  0.35  0.47  0.17 344.2
 LAS 20040421  8.21  7.90  0.65  0.35  0.01 325.1
 LAS 20040422  8.16  7.76  0.61  0.37  0.02 328.8
 LAS 20040423  7.96  7.54  0.60  0.36  0.04 337.5
 LAS 20040424  7.99  7.63  0.61  0.37  0.03 338.3
 LAS 20040425  7.67  7.31  0.60  0.40  0.00 351.3
 LAS 20040426  7.94  7.66  0.71  0.29  0.00 343.0
 LAS 20040427  7.91  7.10  0.32  0.53  0.14 345.6
 LAS 20040428  8.28  7.73  0.54  0.37  0.09 334.3
 LAS 20040429  6.58  6.35  0.76  0.22  0.02 407.9
 LAS 20040430  7.45  7.04  0.59  0.36  0.05 368.6
 LAS 20040501  8.15  7.84  0.69  0.31  0.00 343.3
 LAS 20040502  8.76  8.15  0.44  0.51  0.05 323.9
 LAS 20040503  8.82  8.36  0.55  0.42  0.04 323.3
 LAS 20040504  9.28  8.82  0.57  0.43  0.00 311.2
 LAS 20040505  9.54  9.07  0.72  0.22  0.05 305.0
 LAS 20040506  9.68  9.05  0.61  0.30  0.08 302.1
 LAS 20040507  9.81  7.84  0.08  0.45  0.41 299.7
 LAS 20040508  9.74  8.82  0.41  0.46  0.11 302.5
 LAS 20040509  9.50  8.91  0.56  0.37  0.07 310.5
 LAS 20040510  9.48  8.68  0.47  0.40  0.12 311.9
 LAS 20040511  8.59  8.10  0.63  0.29  0.08 339.4
 LAS 20040512  8.26  8.00  0.76  0.24  0.00 351.2
 LAS 20040513  8.31  8.07  0.73  0.28  0.00 350.3
 LAS 20040514  8.90  8.55  0.68  0.32  0.00 331.8
 LAS 20040515  9.07  8.65  0.64  0.34  0.02 327.0
