 LAX 20040101  2.69  1.88  0.04  0.38  0.33 278.6
 LAX 20040102  3.08  1.85  0.00  0.18  0.44 248.4
 LAX 20040103  2.95  2.60  0.38  0.40  0.19 260.4
 LAX 20040104  2.72  2.43  0.40  0.42  0.15 280.9
 LAX 20040105  2.96  2.77  0.56  0.36  0.08 263.2
 LAX 20040106  3.14  2.86  0.41  0.44  0.15 250.8
 LAX 20040107  3.09  2.31  0.30  0.20  0.27 256.2
 LAX 20040108  3.07  2.33  0.14  0.39  0.30 259.8
 LAX 20040109  3.14  2.62  0.27  0.42  0.22 255.9
 LAX 20040110  3.01  2.59  0.31  0.45  0.18 267.4
 LAX 20040111  3.07  2.77  0.42  0.42  0.14 264.8
 LAX 20040112  3.13  2.57  0.14  0.51  0.28 263.1
 LAX 20040113  3.00  2.67  0.36  0.45  0.17 274.9
 LAX 20040114  3.23  2.80  0.33  0.42  0.20 260.6
 LAX 20040115  3.13  2.71  0.40  0.38  0.14 270.3
 LAX 20040116  3.10  2.78  0.51  0.35  0.08 275.2
 LAX 20040117  3.24  3.05  0.60  0.32  0.08 267.3
 LAX 20040118  3.25  2.61  0.12  0.49  0.30 269.3
 LAX 20040119  3.23  2.75  0.38  0.38  0.14 273.0
 LAX 20040120  2.91  2.50  0.46  0.33  0.10 301.9
 LAX 20040121  2.67  2.56  0.69  0.28  0.04 329.4
 LAX 20040122  2.91  2.83  0.78  0.22  0.01 309.1
 LAX 20040123  3.27  2.98  0.58  0.32  0.04 281.6
 LAX 20040124  3.34  2.10  0.13  0.15  0.34 280.2
 LAX 20040125  2.90  2.54  0.24  0.52  0.23 320.7
 LAX 20040126  3.19  2.82  0.50  0.31  0.12 298.6
 LAX 20040127  3.41  2.44  0.20  0.26  0.28 285.3
 LAX 20040128  3.08  2.82  0.46  0.40  0.14 315.8
 LAX 20040129  3.49  3.33  0.65  0.30  0.06 286.2
 LAX 20040130  4.01  3.06  0.12  0.47  0.23 256.3
 LAX 20040131  3.52  3.19  0.43  0.42  0.14 290.5
 LAX 20040201  3.44  3.29  0.68  0.29  0.03 299.9
 LAX 20040202  3.80  1.94  0.08  0.08  0.23 278.7
 LAX 20040203  2.70  2.16  0.36  0.29  0.18 383.0
 LAX 20040204  3.17  2.71  0.33  0.43  0.16 335.9
 LAX 20040205  3.47  3.34  0.75  0.24  0.00 314.4
 LAX 20040206  4.01  3.72  0.52  0.37  0.11 281.1
 LAX 20040207  3.69  3.22  0.59  0.23  0.06 305.6
 LAX 20040208  3.22  2.94  0.49  0.38  0.11 348.7
 LAX 20040209  3.06  2.84  0.56  0.35  0.08 370.0
 LAX 20040210  3.00  2.91  0.78  0.22  0.00 381.0
 LAX 20040211  3.95  3.72  0.59  0.35  0.06 303.4
