 LIT 20040101  2.94  1.30  0.00  0.12  0.14 245.6
 LIT 20040102  2.88  1.88  0.24  0.18  0.17 252.0
 LIT 20040103  3.14  1.66  0.06  0.19  0.15 235.4
 LIT 20040104  3.16  1.53  0.03  0.15  0.15 235.6
 LIT 20040105  2.94  2.17  0.25  0.32  0.16 252.1
 LIT 20040106  2.66  2.37  0.48  0.36  0.10 277.7
 LIT 20040107  2.63  2.43  0.50  0.38  0.12 282.3
 LIT 20040108  2.74  1.92  0.10  0.37  0.25 273.7
 LIT 20040109  2.65  1.80  0.26  0.22  0.15 284.0
 LIT 20040110  2.55  2.20  0.54  0.24  0.10 295.5
 LIT 20040111  2.85  2.46  0.42  0.35  0.14 269.6
 LIT 20040112  2.85  1.88  0.14  0.29  0.20 272.8
 LIT 20040113  2.85  1.48  0.13  0.08  0.17 275.3
 LIT 20040114  2.76  1.81  0.22  0.22  0.16 286.8
 LIT 20040115  2.86  2.43  0.54  0.25  0.06 280.5
 LIT 20040116  2.93  1.43  0.15  0.05  0.10 276.6
 LIT 20040117  2.92  0.98  0.00  0.00  0.05 280.7
 LIT 20040118  2.72  1.27  0.10  0.03  0.16 301.9
 LIT 20040119  2.67  2.43  0.64  0.25  0.04 309.1
 LIT 20040120  3.13  2.44  0.30  0.34  0.16 271.7
 LIT 20040121  3.25  2.49  0.27  0.35  0.16 265.5
 LIT 20040122  3.16  2.37  0.22  0.37  0.17 275.3
 LIT 20040123  2.91  2.76  0.63  0.31  0.06 300.0
 LIT 20040124  3.34  1.68  0.00  0.21  0.16 269.3
 LIT 20040125  3.47  2.33  0.17  0.27  0.20 263.5
 LIT 20040126  3.25  2.36  0.19  0.33  0.22 282.3
 LIT 20040127  2.69  2.26  0.42  0.34  0.10 338.4
 LIT 20040128  2.75  2.58  0.58  0.34  0.08 335.3
 LIT 20040129  2.72  2.09  0.20  0.39  0.22 343.1
 LIT 20040130  2.56  1.89  0.33  0.24  0.15 366.8
 LIT 20040131  3.55  2.79  0.33  0.31  0.16 276.6
 LIT 20040201  3.53  2.13  0.03  0.28  0.26 283.0
 LIT 20040202  3.25  1.25  0.06  0.02  0.04 308.6
 LIT 20040203  3.37  2.80  0.40  0.34  0.12 303.1
 LIT 20040204  3.53  2.37  0.05  0.37  0.26 294.8
 LIT 20040205  3.65  1.21  0.00  0.00  0.04 290.7
 LIT 20040206  3.29  1.75  0.00  0.21  0.23 323.0
 LIT 20040207  3.27  2.69  0.41  0.32  0.11 329.1
 LIT 20040208  3.95  3.43  0.48  0.32  0.10 281.9
 LIT 20040209  3.68  1.54  0.08  0.05  0.05 304.2
 LIT 20040210  3.34  2.30  0.14  0.36  0.17 335.4
 LIT 20040211  3.73  1.62  0.00  0.09  0.16 308.4
 LIT 20040212  3.92  2.18  0.01  0.26  0.20 300.0
 LIT 20040213  4.31  3.33  0.31  0.32  0.15 280.3
 LIT 20040214  3.14  1.47  0.00  0.13  0.19 375.2
 LIT 20040215  3.67  2.76  0.31  0.29  0.14 331.2
 LIT 20040216  3.92  3.17  0.32  0.37  0.15 317.0
 LIT 20040217  3.13  2.65  0.40  0.35  0.14 392.4
 LIT 20040218  4.29  3.92  0.60  0.27  0.09 301.1
