 MEM 20040101  2.88  1.61  0.01  0.22  0.26 244.8
 MEM 20040102  2.81  1.62  0.20  0.15  0.09 251.5
 MEM 20040103  3.01  1.42  0.01  0.15  0.15 239.5
 MEM 20040104  3.14  1.46  0.01  0.13  0.16 232.3
 MEM 20040105  2.94  2.02  0.19  0.30  0.17 247.3
 MEM 20040106  2.62  2.33  0.47  0.37  0.10 275.5
 MEM 20040107  2.51  2.32  0.49  0.40  0.11 288.4
 MEM 20040108  2.64  2.03  0.26  0.33  0.21 277.7
 MEM 20040109  2.55  1.30  0.14  0.06  0.16 288.1
 MEM 20040110  2.43  2.08  0.51  0.26  0.11 302.4
 MEM 20040111  2.73  2.42  0.43  0.38  0.14 274.5
 MEM 20040112  2.73  1.92  0.22  0.29  0.17 277.5
 MEM 20040113  2.77  1.76  0.22  0.19  0.15 277.2
 MEM 20040114  2.61  1.70  0.23  0.25  0.08 294.9
 MEM 20040115  2.74  2.31  0.44  0.32  0.11 285.6
 MEM 20040116  2.81  1.72  0.12  0.25  0.17 281.9
 MEM 20040117  2.86  1.01  0.00  0.02  0.06 280.2
 MEM 20040118  2.70  1.27  0.05  0.08  0.18 297.7
 MEM 20040119  2.58  2.32  0.53  0.33  0.09 314.1
 MEM 20040120  2.97  2.42  0.36  0.34  0.14 279.2
 MEM 20040121  3.16  2.38  0.22  0.38  0.17 267.5
 MEM 20040122  3.05  2.20  0.18  0.36  0.18 278.6
 MEM 20040123  2.72  2.56  0.61  0.32  0.07 313.5
 MEM 20040124  3.17  1.62  0.00  0.22  0.16 276.2
 MEM 20040125  3.53  1.89  0.09  0.19  0.12 255.6
 MEM 20040126  3.30  2.54  0.24  0.35  0.21 273.3
 MEM 20040127  2.69  1.89  0.27  0.25  0.14 332.6
 MEM 20040128  2.67  2.51  0.58  0.35  0.07 338.7
 MEM 20040129  2.64  2.09  0.32  0.32  0.18 346.2
 MEM 20040130  2.46  1.79  0.28  0.26  0.17 373.0
 MEM 20040131  3.41  2.88  0.49  0.27  0.10 282.7
 MEM 20040201  3.52  2.44  0.13  0.34  0.23 279.0
 MEM 20040202  3.30  1.16  0.03  0.00  0.04 299.4
 MEM 20040203  3.25  2.65  0.39  0.32  0.12 307.8
 MEM 20040204  3.53  2.60  0.16  0.39  0.21 290.6
 MEM 20040205  3.70  1.29  0.00  0.00  0.08 282.7
 MEM 20040206  3.58  1.83  0.00  0.18  0.22 295.1
 MEM 20040207  3.21  2.08  0.18  0.24  0.17 328.1
 MEM 20040208  3.83  3.33  0.41  0.39  0.12 285.4
 MEM 20040209  3.72  1.67  0.00  0.08  0.21 296.7
 MEM 20040210  3.24  2.06  0.10  0.32  0.16 338.6
 MEM 20040211  3.66  2.04  0.00  0.26  0.22 309.2
 MEM 20040212  3.80  2.09  0.02  0.24  0.20 303.5
 MEM 20040213  4.29  3.38  0.36  0.31  0.12 277.2
 MEM 20040214  3.38  1.84  0.00  0.24  0.22 346.5
 MEM 20040215  3.51  2.34  0.31  0.18  0.09 340.2
 MEM 20040216  3.95  3.06  0.28  0.36  0.15 310.8
 MEM 20040217  3.18  2.24  0.18  0.32  0.20 381.1
 MEM 20040218  3.99  3.60  0.59  0.26  0.09 316.5
 MEM 20040219  4.73  3.86  0.28  0.40  0.19 276.7
 MEM 20040220  3.89  2.14  0.03  0.25  0.17 332.2
 MEM 20040221  4.22  3.48  0.35  0.38  0.13 314.3
 MEM 20040222  4.49  3.35  0.19  0.38  0.20 301.3
 MEM 20040223  4.38  2.78  0.04  0.32  0.26 312.8
 MEM 20040224  4.43  2.06  0.05  0.10  0.14 313.9
 MEM 20040225  4.31  2.91  0.22  0.27  0.13 325.3
 MEM 20040226  4.32  2.90  0.30  0.17  0.13 329.3
 MEM 20040227  4.46  4.04  0.55  0.31  0.09 324.4
 MEM 20040228  5.19  4.52  0.40  0.40  0.13 289.3
 MEM 20040301  4.96  3.31  0.15  0.27  0.23 308.4
 MEM 20040302  5.29  3.38  0.08  0.31  0.22 295.6
 MEM 20040303  5.43  2.32  0.00  0.05  0.20 292.8
 MEM 20040304  5.77  2.49  0.00  0.10  0.14 281.6
 MEM 20040305  5.85  3.14  0.01  0.20  0.24 282.0
 MEM 20040306  5.81  4.89  0.38  0.38  0.12 287.4
 MEM 20040307  5.93  5.50  0.58  0.33  0.07 286.0
 MEM 20040308  5.27  4.94  0.59  0.32  0.09 319.6
 MEM 20040309  4.33  3.31  0.40  0.22  0.12 383.7
 MEM 20040310  5.33  5.01  0.59  0.34  0.07 324.0
 MEM 20040311  5.77  3.98  0.25  0.24  0.16 306.8
