 MOB 20040101  4.32  3.37  0.26  0.37  0.18 221.0
 MOB 20040102  4.21  2.39  0.00  0.23  0.29 227.1
 MOB 20040103  4.25  2.54  0.00  0.26  0.32 226.4
 MOB 20040104  4.37  2.53  0.05  0.22  0.25 222.4
 MOB 20040105  4.34  1.80  0.00  0.03  0.20 224.6
 MOB 20040106  4.20  2.86  0.14  0.29  0.25 233.1
 MOB 20040107  3.74  3.38  0.65  0.22  0.05 259.0
 MOB 20040108  3.82  1.89  0.21  0.00  0.09 255.4
 MOB 20040109  3.70  2.29  0.24  0.13  0.16 264.4
 MOB 20040110  3.71  3.12  0.54  0.24  0.05 265.0
 MOB 20040111  4.04  3.65  0.60  0.28  0.05 247.7
 MOB 20040112  4.26  3.61  0.45  0.30  0.13 239.1
 MOB 20040113  4.15  2.68  0.11  0.25  0.27 246.2
 MOB 20040114  3.94  2.69  0.22  0.25  0.18 260.4
 MOB 20040115  3.86  3.31  0.52  0.27  0.08 266.9
 MOB 20040116  3.84  2.49  0.15  0.25  0.21 270.3
 MOB 20040117  3.97  1.70  0.01  0.07  0.16 265.1
 MOB 20040118  4.01  2.14  0.05  0.14  0.25 265.2
 MOB 20040119  3.87  3.24  0.47  0.28  0.10 274.9
 MOB 20040120  4.10  3.56  0.48  0.33  0.09 264.1
 MOB 20040121  4.40  3.46  0.43  0.26  0.07 250.2
 MOB 20040122  4.49  3.47  0.46  0.21  0.06 248.6
 MOB 20040123  4.33  3.83  0.61  0.25  0.03 259.8
 MOB 20040124  4.53  2.64  0.14  0.12  0.25 252.0
 MOB 20040125  4.63  2.35  0.03  0.14  0.22 250.1
 MOB 20040126  4.74  3.02  0.00  0.35  0.29 247.9
 MOB 20040127  4.35  3.72  0.56  0.22  0.08 269.6
 MOB 20040128  4.09  3.83  0.67  0.29  0.00 287.5
 MOB 20040129  4.00  3.20  0.29  0.34  0.22 295.8
 MOB 20040130  3.85  1.63  0.03  0.08  0.10 308.6
 MOB 20040131  4.18  2.48  0.00  0.30  0.25 290.2
 MOB 20040201  4.42  2.44  0.11  0.16  0.17 279.9
 MOB 20040202  4.61  2.75  0.00  0.25  0.33 273.6
 MOB 20040203  4.75  4.37  0.66  0.23  0.06 270.0
 MOB 20040204  5.03  4.02  0.25  0.38  0.23 260.4
 MOB 20040205  5.38  2.23  0.00  0.00  0.24 248.4
 MOB 20040206  5.77  2.28  0.00  0.03  0.15 237.2
 MOB 20040207  5.24  4.54  0.60  0.20  0.07 260.0
 MOB 20040208  5.43  4.75  0.41  0.43  0.08 255.1
 MOB 20040209  5.55  3.75  0.03  0.36  0.32 253.1
 MOB 20040210  5.58  2.10  0.01  0.03  0.09 255.1
 MOB 20040211  5.35  1.97  0.00  0.00  0.13 267.7
 MOB 20040212  5.62  2.12  0.00  0.02  0.12 259.8
 MOB 20040213  5.87  3.01  0.00  0.17  0.24 253.0
 MOB 20040214  5.69  2.17  0.00  0.00  0.16 263.5
 MOB 20040215  4.90  3.44  0.37  0.15  0.12 302.7
 MOB 20040216  5.90  4.22  0.00  0.49  0.28 261.6
 MOB 20040217  5.07  4.01  0.38  0.27  0.15 301.3
 MOB 20040218  5.17  5.02  0.85  0.14  0.00 299.2
 MOB 20040219  6.08  5.47  0.49  0.35  0.12 263.7
 MOB 20040220  5.99  4.66  0.22  0.37  0.24 270.0
 MOB 20040221  5.81  4.78  0.28  0.40  0.21 280.4
 MOB 20040222  5.94  4.74  0.36  0.34  0.10 278.0
 MOB 20040223  5.95  2.77  0.00  0.18  0.11 281.2
 MOB 20040224  5.96  2.54  0.00  0.05  0.20 284.5
 MOB 20040225  5.45  2.37  0.00  0.07  0.19 310.4
 MOB 20040226  5.24  3.12  0.08  0.21  0.25 324.5
 MOB 20040227  5.52  5.22  0.81  0.14  0.00 313.8
 MOB 20040228  6.54  5.93  0.56  0.31  0.08 274.8
 MOB 20040301  7.29  4.52  0.10  0.23  0.25 256.4
 MOB 20040302  6.88  4.09  0.00  0.26  0.31 272.0
 MOB 20040303  7.26  5.24  0.07  0.40  0.31 263.4
 MOB 20040304  7.42  5.02  0.01  0.37  0.34 261.3
 MOB 20040305  8.05  3.85  0.00  0.09  0.27 246.5
 MOB 20040306  8.00  6.51  0.44  0.26  0.12 250.2
 MOB 20040307  7.49  6.12  0.49  0.23  0.09 267.5
 MOB 20040308  7.09  7.01  0.97  0.03  0.00 283.0
 MOB 20040309  6.61  5.51  0.51  0.22  0.11 302.9
 MOB 20040310  6.22  6.09  0.86  0.14  0.00 321.7
 MOB 20040311  6.91  5.85  0.46  0.30  0.11 297.4
 MOB 20040312  7.41  5.81  0.28  0.34  0.20 283.7
 MOB 20040313  7.52  5.82  0.12  0.46  0.27 282.9
 MOB 20040314  7.93  4.80  0.04  0.29  0.23 272.8
 MOB 20040315  8.01  4.01  0.04  0.18  0.13 273.0
 MOB 20040316  7.43  5.23  0.15  0.34  0.22 293.9
 MOB 20040317  6.37  5.80  0.45  0.38  0.17 337.8
 MOB 20040318  7.26  5.86  0.40  0.28  0.14 304.8
 MOB 20040319  7.13  5.58  0.23  0.36  0.25 312.6
 MOB 20040320  7.06  6.03  0.29  0.42  0.24 318.1
 MOB 20040321  7.47  6.74  0.49  0.32  0.17 305.9
 MOB 20040322  7.84  6.98  0.48  0.31  0.17 296.0
 MOB 20040323  8.00  7.43  0.52  0.38  0.10 293.6
 MOB 20040324  7.74  6.28  0.13  0.49  0.30 304.0
 MOB 20040325  7.50  6.16  0.25  0.39  0.27 314.9
 MOB 20040326  7.73  6.39  0.26  0.40  0.25 309.3
 MOB 20040327  8.18  6.80  0.18  0.48  0.28 296.9
 MOB 20040328  8.31  6.63  0.12  0.48  0.30 295.6
 MOB 20040329  8.12  6.07  0.13  0.38  0.30 303.5
 MOB 20040330  7.92  7.18  0.64  0.23  0.06 312.6
 MOB 20040331  7.84  7.21  0.72  0.16  0.06 317.6
 MOB 20040401  7.71  7.21  0.74  0.17  0.05 324.1
 MOB 20040402  8.06  7.47  0.46  0.49  0.04 314.3
 MOB 20040403  7.96  7.58  0.59  0.41  0.00 319.4
 MOB 20040404  8.02  7.66  0.74  0.24  0.00 319.4
 MOB 20040405  7.90  7.11  0.54  0.32  0.08 325.1
 MOB 20040406  8.10  6.33  0.15  0.50  0.18 320.5
 MOB 20040407  8.52  5.73  0.01  0.32  0.40 309.4
 MOB 20040408  7.94  6.14  0.13  0.39  0.35 330.1
