 MSY 20040101  4.54  3.17  0.13  0.36  0.21 218.3
 MSY 20040102  4.39  2.52  0.00  0.24  0.29 225.5
 MSY 20040103  4.44  2.79  0.00  0.32  0.31 224.7
 MSY 20040104  4.49  2.53  0.06  0.18  0.25 223.6
 MSY 20040105  4.49  1.87  0.00  0.04  0.19 224.8
 MSY 20040106  4.30  2.85  0.12  0.28  0.25 235.2
 MSY 20040107  3.91  3.36  0.55  0.24  0.08 256.6
 MSY 20040108  3.97  1.80  0.14  0.01  0.09 254.7
 MSY 20040109  3.94  2.96  0.40  0.20  0.12 257.7
 MSY 20040110  3.92  3.47  0.72  0.14  0.00 260.5
 MSY 20040111  4.31  3.87  0.59  0.28  0.05 241.7
 MSY 20040112  4.42  3.63  0.28  0.38  0.23 238.3
 MSY 20040113  4.46  2.61  0.07  0.22  0.23 238.5
 MSY 20040114  4.28  3.02  0.26  0.25  0.17 248.9
 MSY 20040115  4.12  2.88  0.19  0.29  0.21 259.8
 MSY 20040116  4.00  2.08  0.15  0.09  0.12 268.4
 MSY 20040117  4.08  1.60  0.00  0.04  0.13 266.2
 MSY 20040118  4.19  2.52  0.12  0.18  0.24 262.2
 MSY 20040119  4.12  3.56  0.52  0.28  0.08 267.9
 MSY 20040120  4.35  3.68  0.41  0.36  0.11 258.2
 MSY 20040121  4.58  3.55  0.45  0.23  0.05 248.5
 MSY 20040122  4.71  3.58  0.45  0.20  0.06 245.7
 MSY 20040123  4.54  3.91  0.53  0.28  0.06 256.1
 MSY 20040124  4.82  2.45  0.07  0.13  0.17 246.1
 MSY 20040125  4.75  2.41  0.02  0.13  0.25 251.1
 MSY 20040126  4.90  3.49  0.16  0.34  0.22 247.2
 MSY 20040127  4.40  3.95  0.64  0.22  0.05 273.6
 MSY 20040128  4.31  4.02  0.59  0.35  0.04 281.8
 MSY 20040129  4.16  3.18  0.17  0.39  0.26 293.1
 MSY 20040130  4.03  1.74  0.01  0.11  0.11 304.3
 MSY 20040131  4.29  2.34  0.00  0.22  0.25 291.0
 MSY 20040201  4.70  2.90  0.11  0.23  0.23 272.5
 MSY 20040202  4.65  3.19  0.13  0.31  0.25 277.9
 MSY 20040203  4.95  4.61  0.67  0.24  0.06 267.2
 MSY 20040204  5.09  3.58  0.12  0.33  0.28 263.8
 MSY 20040205  5.57  2.36  0.00  0.03  0.22 247.0
 MSY 20040206  5.88  2.58  0.00  0.12  0.13 238.9
 MSY 20040207  5.38  4.90  0.75  0.15  0.00 260.3
 MSY 20040208  5.63  4.93  0.39  0.44  0.10 253.0
 MSY 20040209  5.71  3.64  0.00  0.33  0.32 252.8
 MSY 20040210  5.75  2.01  0.00  0.00  0.08 253.8
 MSY 20040211  5.57  2.06  0.00  0.00  0.13 264.4
 MSY 20040212  5.80  2.23  0.00  0.04  0.11 258.7
 MSY 20040213  6.01  2.68  0.00  0.11  0.16 253.8
 MSY 20040214  5.76  2.22  0.00  0.00  0.17 266.2
 MSY 20040215  5.17  3.91  0.41  0.19  0.13 295.0
 MSY 20040216  6.14  5.02  0.15  0.52  0.24 258.3
 MSY 20040217  5.13  4.46  0.54  0.26  0.09 303.6
 MSY 20040218  5.58  5.44  0.87  0.12  0.00 286.1
 MSY 20040219  6.25  5.65  0.48  0.37  0.12 263.0
 MSY 20040220  6.19  4.81  0.22  0.37  0.24 267.9
 MSY 20040221  5.90  4.94  0.23  0.46  0.24 282.3
 MSY 20040222  6.06  4.50  0.23  0.36  0.15 278.9
 MSY 20040223  6.08  3.40  0.00  0.29  0.18 281.4
 MSY 20040224  5.91  2.92  0.00  0.13  0.25 291.7
 MSY 20040225  5.38  2.44  0.00  0.09  0.21 319.6
 MSY 20040226  5.52  3.56  0.25  0.14  0.19 315.8
 MSY 20040227  5.89  5.71  0.82  0.17  0.00 302.3
 MSY 20040228  6.86  6.19  0.45  0.40  0.12 268.8
 MSY 20040301  7.44  4.65  0.10  0.24  0.25 256.5
 MSY 20040302  7.12  4.23  0.00  0.26  0.31 269.1
 MSY 20040303  7.34  4.95  0.03  0.35  0.33 265.3
 MSY 20040304  7.59  4.17  0.00  0.17  0.33 260.6
 MSY 20040305  8.17  3.72  0.00  0.05  0.27 247.3
 MSY 20040306  7.96  6.81  0.52  0.26  0.09 255.5
 MSY 20040307  7.58  6.32  0.52  0.23  0.08 268.9
 MSY 20040308  7.42  7.28  0.89  0.11  0.00 276.2
 MSY 20040309  6.99  6.35  0.63  0.23  0.08 293.4
 MSY 20040310  6.68  6.54  0.81  0.20  0.00 308.0
 MSY 20040311  7.20  6.40  0.50  0.32  0.12 291.9
 MSY 20040312  7.61  5.84  0.23  0.34  0.24 281.2
 MSY 20040313  7.67  5.57  0.07  0.42  0.29 282.0
 MSY 20040314  8.04  4.52  0.01  0.25  0.23 273.5
 MSY 20040315  8.09  3.93  0.03  0.16  0.14 274.6
 MSY 20040316  7.65  6.42  0.36  0.37  0.16 290.6
 MSY 20040317  6.72  6.14  0.55  0.32  0.10 326.9
 MSY 20040318  7.38  6.15  0.39  0.33  0.15 304.6
 MSY 20040319  7.42  6.07  0.20  0.45  0.26 306.1
 MSY 20040320  7.38  6.57  0.31  0.48  0.21 310.4
 MSY 20040321  7.75  6.80  0.43  0.34  0.18 299.9
 MSY 20040322  8.07  7.38  0.56  0.31  0.10 292.8
 MSY 20040323  8.07  7.30  0.41  0.43  0.15 294.7
 MSY 20040324  8.01  6.34  0.13  0.45  0.31 298.7
 MSY 20040325  7.59  5.97  0.21  0.36  0.29 315.2
 MSY 20040326  7.94  6.27  0.22  0.37  0.27 305.8
 MSY 20040327  8.46  6.80  0.16  0.45  0.29 292.4
 MSY 20040328  8.42  6.58  0.08  0.49  0.31 295.5
 MSY 20040329  8.34  5.59  0.11  0.27  0.30 299.6
 MSY 20040330  8.04  7.68  0.80  0.17  0.00 311.8
 MSY 20040331  8.09  7.83  0.93  0.04  0.00 312.5
 MSY 20040401  8.03  7.59  0.77  0.16  0.04 316.5
 MSY 20040402  8.34  7.32  0.20  0.60  0.19 308.2
 MSY 20040403  8.40  7.38  0.24  0.57  0.17 308.3
 MSY 20040404  8.30  7.74  0.60  0.35  0.02 313.4
 MSY 20040405  8.16  6.64  0.27  0.46  0.12 319.8
 MSY 20040406  8.35  6.01  0.11  0.39  0.25 315.5
 MSY 20040407  8.42  5.70  0.05  0.26  0.43 315.3
 MSY 20040408  8.39  7.01  0.16  0.51  0.28 317.8
 MSY 20040409  8.79  7.65  0.23  0.56  0.18 307.7
 MSY 20040410  9.55  7.68  0.16  0.47  0.26 288.8
 MSY 20040411  9.78  5.37  0.00  0.14  0.37 284.5
 MSY 20040412  7.92  4.52  0.03  0.08  0.46 340.8
 MSY 20040413  7.43  5.39  0.19  0.23  0.36 361.1
 MSY 20040414  7.84  7.60  0.77  0.23  0.00 346.7
 MSY 20040415  8.54  7.95  0.53  0.38  0.09 324.1
 MSY 20040416  8.61  7.86  0.41  0.46  0.13 323.3
 MSY 20040417  9.22  8.36  0.30  0.59  0.11 306.9
 MSY 20040418  9.93  8.84  0.40  0.41  0.16 289.9
 MSY 20040419  9.78  8.55  0.37  0.39  0.20 294.7
 MSY 20040420 10.05  7.63  0.07  0.40  0.40 289.8
 MSY 20040421  8.67  5.72  0.00  0.24  0.50 328.3
