 OKC 20040101  2.68  1.63  0.00  0.34  0.23 260.7
 OKC 20040102  2.74  2.03  0.27  0.31  0.15 257.0
 OKC 20040103  2.90  2.00  0.09  0.39  0.21 246.3
 OKC 20040104  2.90  2.15  0.38  0.22  0.10 248.6
 OKC 20040105  2.61  1.90  0.22  0.35  0.15 274.9
 OKC 20040106  2.47  2.07  0.28  0.46  0.16 290.4
 OKC 20040107  2.60  2.06  0.22  0.41  0.22 279.2
 OKC 20040108  2.76  2.14  0.28  0.35  0.17 267.2
 OKC 20040109  2.65  2.19  0.58  0.16  0.06 277.7
 OKC 20040110  2.68  2.34  0.72  0.11  0.02 277.7
 OKC 20040111  2.80  2.55  0.64  0.24  0.06 268.9
 OKC 20040112  2.82  2.24  0.26  0.39  0.19 270.1
 OKC 20040113  2.76  2.05  0.26  0.29  0.20 277.5
 OKC 20040114  2.74  2.43  0.56  0.28  0.07 282.6
 OKC 20040115  2.86  2.28  0.31  0.34  0.18 274.1
 OKC 20040116  2.89  1.05  0.05  0.00  0.03 274.6
 OKC 20040117  2.84  1.24  0.17  0.00  0.01 281.8
 OKC 20040118  2.64  2.15  0.43  0.28  0.11 303.4
 OKC 20040119  2.77  2.45  0.58  0.25  0.08 294.5
 OKC 20040120  3.13  2.10  0.05  0.36  0.27 266.8
 OKC 20040121  3.01  2.39  0.37  0.28  0.16 278.2
 OKC 20040122  2.94  2.47  0.45  0.30  0.11 288.8
 OKC 20040123  2.90  2.60  0.64  0.22  0.05 296.3
 OKC 20040124  3.38  1.96  0.00  0.28  0.25 262.0
 OKC 20040125  3.15  2.39  0.22  0.36  0.21 281.8
 OKC 20040126  2.67  1.27  0.02  0.14  0.16 330.8
 OKC 20040127  2.50  2.39  0.75  0.21  0.02 355.1
 OKC 20040128  2.71  2.23  0.38  0.31  0.17 335.2
 OKC 20040129  2.61  1.96  0.22  0.35  0.20 350.8
 OKC 20040130  2.76  2.38  0.52  0.26  0.10 336.9
 OKC 20040131  3.61  2.19  0.00  0.31  0.27 269.3
 OKC 20040201  3.23  1.25  0.00  0.06  0.09 300.5
 OKC 20040202  2.84  2.36  0.49  0.25  0.09 342.3
 OKC 20040203  3.35  2.56  0.29  0.33  0.15 300.1
 OKC 20040204  3.14  1.15  0.00  0.00  0.12 322.1
 OKC 20040205  2.98  1.52  0.25  0.03  0.02 343.0
 OKC 20040206  2.76  1.64  0.25  0.10  0.12 371.4
 OKC 20040207  3.19  3.09  0.77  0.23  0.00 331.5
 OKC 20040208  3.75  2.24  0.00  0.31  0.25 291.8
 OKC 20040209  3.06  2.35  0.28  0.34  0.16 353.5
 OKC 20040210  3.12  2.61  0.32  0.42  0.15 352.0
 OKC 20040211  3.40  1.52  0.00  0.09  0.19 330.5
 OKC 20040212  3.67  1.82  0.00  0.19  0.17 314.1
 OKC 20040213  3.81  2.85  0.27  0.29  0.20 308.6
 OKC 20040214  2.87  2.01  0.39  0.13  0.11 402.4
 OKC 20040215  3.80  3.08  0.51  0.20  0.08 317.8
 OKC 20040216  3.57  2.80  0.26  0.38  0.18 341.0
 OKC 20040217  3.36  3.20  0.78  0.19  0.00 364.8
 OKC 20040218  4.80  4.22  0.50  0.31  0.11 271.0
 OKC 20040219  4.76  2.91  0.00  0.34  0.24 276.5
 OKC 20040220  4.07  2.70  0.10  0.34  0.20 321.2
 OKC 20040221  4.55  3.46  0.32  0.28  0.16 295.3
 OKC 20040222  4.28  2.05  0.00  0.14  0.20 315.8
 OKC 20040223  4.30  1.80  0.00  0.05  0.18 319.2
 OKC 20040224  4.21  3.07  0.25  0.30  0.17 329.3
 OKC 20040225  4.33  3.56  0.57  0.16  0.07 325.8
 OKC 20040226  4.19  4.04  0.83  0.15  0.00 340.1
 OKC 20040227  4.64  4.14  0.58  0.27  0.07 315.7
 OKC 20040228  5.19  3.05  0.00  0.27  0.28 290.6
 OKC 20040301  4.03  3.45  0.45  0.33  0.11 371.8
 OKC 20040302  4.75  2.89  0.03  0.30  0.24 325.6
 OKC 20040303  5.09  2.12  0.00  0.06  0.16 311.0
 OKC 20040304  5.25  1.79  0.00  0.00  0.06 307.1
 OKC 20040305  5.20  2.92  0.00  0.26  0.23 314.0
 OKC 20040306  5.21  4.71  0.66  0.21  0.05 317.0
 OKC 20040307  5.53  5.35  0.75  0.25  0.00 305.1
 OKC 20040308  5.71  5.43  0.64  0.32  0.04 300.5
 OKC 20040309  5.57  5.44  0.83  0.17  0.00 310.6
 OKC 20040310  5.91  4.94  0.44  0.30  0.12 298.6
 OKC 20040311  5.64  5.38  0.65  0.32  0.03 314.6
 OKC 20040312  5.40  4.39  0.37  0.30  0.18 330.7
 OKC 20040313  4.74  2.14  0.05  0.07  0.15 374.0
 OKC 20040314  5.74  4.91  0.42  0.35  0.13 321.0
 OKC 20040315  5.85  3.49  0.16  0.20  0.14 319.6
