 OMA 20040101  1.37  0.88  0.02  0.36  0.25 318.2
 OMA 20040102  1.50  1.25  0.24  0.44  0.23 294.5
 OMA 20040103  1.52  0.63  0.05  0.04  0.10 295.3
 OMA 20040104  1.37  0.52  0.01  0.00  0.14 329.3
 OMA 20040105  1.20  0.80  0.32  0.16  0.10 376.8
 OMA 20040106  1.13  1.07  0.62  0.30  0.09 403.2
 OMA 20040107  1.45  1.16  0.18  0.44  0.27 318.8
 OMA 20040108  1.55  0.77  0.07  0.11  0.17 300.9
 OMA 20040109  1.50  1.00  0.12  0.32  0.20 313.7
 OMA 20040110  1.52  1.22  0.26  0.41  0.18 311.8
 OMA 20040111  1.60  1.17  0.29  0.32  0.08 299.1
 OMA 20040112  1.64  1.24  0.45  0.20  0.05 296.9
 OMA 20040113  1.63  1.14  0.40  0.18  0.03 303.4
 OMA 20040114  1.55  1.06  0.27  0.23  0.13 322.0
 OMA 20040115  1.79  1.49  0.28  0.44  0.17 285.3
 OMA 20040116  1.87  1.05  0.00  0.28  0.21 278.7
 OMA 20040117  1.83  1.13  0.20  0.24  0.06 287.4
 OMA 20040118  1.70  1.47  0.35  0.41  0.17 310.6
 OMA 20040119  1.74  1.45  0.33  0.39  0.16 307.7
 OMA 20040120  1.76  1.02  0.13  0.13  0.25 309.2
 OMA 20040121  1.76  1.38  0.19  0.43  0.22 313.0
 OMA 20040122  1.66  1.49  0.41  0.41  0.16 335.8
 OMA 20040123  1.83  1.43  0.28  0.33  0.21 312.7
 OMA 20040124  2.14  1.13  0.10  0.18  0.10 275.1
 OMA 20040125  2.13  0.73  0.01  0.00  0.05 280.9
 OMA 20040126  1.79  0.73  0.00  0.06  0.14 335.1
 OMA 20040127  1.56  1.38  0.42  0.40  0.13 388.0
 OMA 20040128  1.66  1.01  0.18  0.18  0.17 370.7
 OMA 20040129  1.61  0.92  0.07  0.21  0.22 388.9
 OMA 20040130  1.82  1.17  0.26  0.17  0.13 348.5
 OMA 20040131  2.12  1.01  0.00  0.12  0.22 307.5
 OMA 20040201  1.97  0.72  0.00  0.01  0.10 335.4
