 ORD 20040101  1.36  0.71  0.00  0.22  0.20 302.8
 ORD 20040102  1.35  0.70  0.00  0.21  0.19 307.9
 ORD 20040103  1.41  0.85  0.02  0.31  0.22 297.5
 ORD 20040104  1.42  0.47  0.00  0.00  0.04 298.5
 ORD 20040105  1.37  0.60  0.00  0.06  0.22 312.8
 ORD 20040106  1.03  0.88  0.27  0.40  0.30 416.0
 ORD 20040107  1.17  1.04  0.29  0.49  0.22 370.4
 ORD 20040108  1.42  0.57  0.00  0.02  0.18 310.6
 ORD 20040109  1.32  0.84  0.09  0.28  0.24 335.7
 ORD 20040110  1.30  0.88  0.16  0.28  0.23 344.1
 ORD 20040111  1.46  0.62  0.00  0.11  0.11 310.3
 ORD 20040112  1.44  0.82  0.10  0.19  0.18 318.8
 ORD 20040113  1.41  0.92  0.15  0.27  0.19 329.0
 ORD 20040114  1.45  0.51  0.00  0.00  0.09 323.8
 ORD 20040115  1.56  0.82  0.15  0.12  0.10 307.1
 ORD 20040116  1.61  0.66  0.01  0.05  0.14 302.4
 ORD 20040117  1.67  0.62  0.07  0.01  0.00 296.1
 ORD 20040118  1.52  1.09  0.22  0.29  0.21 327.6
 ORD 20040119  1.52  1.05  0.13  0.31  0.26 332.5
 ORD 20040120  1.58  0.98  0.09  0.25  0.25 325.0
 ORD 20040121  1.54  0.93  0.19  0.17  0.15 336.7
 ORD 20040122  1.49  1.12  0.17  0.34  0.29 352.0
 ORD 20040123  1.52  0.63  0.00  0.06  0.16 352.2
 ORD 20040124  1.71  1.11  0.07  0.31  0.25 320.8
 ORD 20040125  1.98  1.02  0.04  0.21  0.12 284.4
 ORD 20040126  1.87  0.64  0.00  0.00  0.06 304.2
 ORD 20040127  1.54  0.54  0.00  0.00  0.08 371.6
 ORD 20040128  1.45  0.91  0.09  0.25  0.26 401.9
 ORD 20040129  1.46  0.72  0.04  0.13  0.18 404.1
 ORD 20040130  1.32  1.01  0.21  0.35  0.26 457.0
 ORD 20040131  1.82  1.40  0.20  0.41  0.20 337.8
 ORD 20040201  1.99  1.50  0.18  0.44  0.15 318.0
 ORD 20040202  2.12  0.93  0.02  0.11  0.11 304.7
 ORD 20040203  1.83  0.95  0.18  0.10  0.06 355.9
 ORD 20040204  2.01  1.76  0.35  0.46  0.14 333.1
 ORD 20040205  2.09  0.84  0.00  0.05  0.14 326.1
 ORD 20040206  1.85  0.75  0.00  0.03  0.17 371.4
 ORD 20040207  1.75  0.89  0.17  0.03  0.14 398.6
 ORD 20040208  1.99  1.70  0.37  0.41  0.12 359.3
 ORD 20040209  2.01  0.92  0.00  0.09  0.22 361.8
 ORD 20040210  1.90  1.08  0.03  0.17  0.32 388.4
 ORD 20040211  1.96  1.17  0.02  0.27  0.27 385.8
 ORD 20040212  2.00  1.08  0.05  0.18  0.21 384.7
 ORD 20040213  2.25  2.05  0.47  0.42  0.08 351.5
 ORD 20040214  2.12  1.46  0.16  0.31  0.20 377.9
 ORD 20040215  2.47  2.26  0.42  0.45  0.13 335.5
 ORD 20040216  2.77  2.24  0.24  0.44  0.19 308.2
 ORD 20040217  2.33  1.81  0.28  0.35  0.17 366.2
 ORD 20040218  2.47  1.82  0.22  0.35  0.17 353.2
 ORD 20040219  2.74  1.51  0.00  0.26  0.21 326.6
 ORD 20040220  2.47  0.82  0.00  0.00  0.04 365.8
 ORD 20040221  2.41  1.46  0.13  0.22  0.18 381.4
 ORD 20040222  2.75  1.61  0.04  0.25  0.24 344.1
 ORD 20040223  2.84  1.41  0.09  0.12  0.12 340.8
 ORD 20040224  2.80  1.42  0.09  0.12  0.15 351.0
 ORD 20040225  2.99  2.33  0.36  0.30  0.11 337.1
 ORD 20040226  3.05  2.57  0.45  0.34  0.06 337.2
 ORD 20040227  3.11  2.82  0.51  0.40  0.03 336.7
 ORD 20040228  3.36  3.01  0.47  0.42  0.05 319.9
 ORD 20040301  3.48  1.40  0.00  0.08  0.10 320.2
 ORD 20040302  2.99  1.74  0.05  0.23  0.24 373.1
 ORD 20040303  3.30  1.55  0.00  0.13  0.19 346.8
 ORD 20040304  3.57  1.52  0.00  0.12  0.10 329.7
 ORD 20040305  3.28  1.51  0.01  0.12  0.17 361.7
 ORD 20040306  3.42  2.22  0.12  0.25  0.26 353.5
 ORD 20040307  2.87  1.40  0.01  0.09  0.27 420.3
 ORD 20040308  3.10  2.21  0.14  0.33  0.27 397.6
 ORD 20040309  2.98  2.25  0.27  0.30  0.20 419.1
 ORD 20040310  3.89  3.40  0.34  0.46  0.15 336.0
 ORD 20040311  3.24  1.94  0.07  0.19  0.31 400.7
 ORD 20040312  3.29  2.86  0.33  0.41  0.22 400.6
 ORD 20040313  3.80  3.19  0.27  0.46  0.18 358.8
 ORD 20040314  3.83  2.84  0.20  0.31  0.27 361.4
 ORD 20040315  3.79  2.25  0.01  0.27  0.28 370.3
 ORD 20040316  3.44  1.55  0.04  0.06  0.18 410.1
 ORD 20040317  3.09  1.60  0.02  0.12  0.29 459.2
 ORD 20040318  4.12  1.94  0.13  0.05  0.09 358.9
 ORD 20040319  4.74  3.47  0.17  0.38  0.20 322.5
 ORD 20040320  4.73  4.30  0.36  0.49  0.16 327.3
 ORD 20040321  3.67  3.21  0.33  0.40  0.25 414.2
 ORD 20040322  3.46  3.16  0.43  0.42  0.16 443.7
 ORD 20040323  4.80  3.81  0.26  0.38  0.20 336.0
 ORD 20040324  5.12  2.57  0.15  0.09  0.08 322.1
 ORD 20040325  5.06  2.05  0.09  0.05  0.00 329.3
 ORD 20040326  5.38  2.39  0.09  0.08  0.05 316.5
 ORD 20040327  5.47  2.52  0.08  0.08  0.11 316.0
 ORD 20040328  5.66  2.34  0.07  0.08  0.01 310.3
 ORD 20040329  5.01  4.26  0.35  0.40  0.16 348.2
 ORD 20040330  4.62  2.31  0.09  0.09  0.17 377.8
 ORD 20040331  4.68  2.32  0.11  0.09  0.13 377.9
 ORD 20040401  4.91  3.50  0.25  0.28  0.16 367.2
 ORD 20040402  5.28  5.02  0.60  0.38  0.02 347.9
 ORD 20040403  5.82  4.59  0.17  0.42  0.28 323.8
 ORD 20040404  4.71  3.99  0.23  0.47  0.25 392.9
 ORD 20040405  4.77  4.37  0.38  0.52  0.10 392.2
 ORD 20040406  5.29  3.82  0.14  0.34  0.28 362.6
 ORD 20040407  5.88  5.16  0.40  0.43  0.10 334.4
 ORD 20040408  5.63  4.22  0.09  0.41  0.33 350.1
 ORD 20040409  5.77  4.36  0.01  0.52  0.32 346.5
 ORD 20040410  5.85  3.03  0.00  0.22  0.18 345.6
 ORD 20040411  5.44  3.66  0.00  0.37  0.35 371.2
 ORD 20040412  5.71  3.71  0.03  0.35  0.27 359.3
 ORD 20040413  5.47  4.07  0.18  0.36  0.24 375.4
 ORD 20040414  5.42  4.91  0.32  0.56  0.12 381.7
 ORD 20040415  5.96  5.14  0.20  0.57  0.20 355.0
 ORD 20040416  5.93  4.79  0.15  0.51  0.23 359.3
 ORD 20040417  6.85  5.18  0.11  0.44  0.27 320.6
 ORD 20040418  7.15  3.98  0.00  0.19  0.32 312.0
 ORD 20040419  6.80  4.58  0.00  0.34  0.39 327.7
 ORD 20040420  7.01  3.41  0.00  0.16  0.19 321.9
 ORD 20040421  6.37  4.56  0.03  0.40  0.36 351.3
 ORD 20040422  6.31  3.61  0.03  0.23  0.25 356.8
 ORD 20040423  6.34  4.35  0.03  0.40  0.29 357.7
 ORD 20040424  6.96  5.74  0.44  0.33  0.05 332.5
 ORD 20040425  7.24  4.33  0.00  0.21  0.39 323.4
 ORD 20040426  5.74  4.67  0.16  0.46  0.30 396.6
 ORD 20040427  5.25  4.60  0.25  0.51  0.23 431.0
 ORD 20040428  6.09  4.39  0.16  0.35  0.23 381.7
 ORD 20040429  7.13  6.28  0.25  0.54  0.20 336.2
 ORD 20040430  6.83  3.22  0.02  0.14  0.15 350.7
 ORD 20040501  6.88  2.63  0.00  0.00  0.16 350.0
 ORD 20040502  6.37  4.96  0.19  0.40  0.25 375.6
 ORD 20040503  5.37  4.86  0.36  0.49  0.15 437.6
 ORD 20040504  6.82  4.53  0.05  0.31  0.33 358.1
 ORD 20040505  6.97  6.59  0.55  0.41  0.05 353.0
 ORD 20040506  7.79  6.85  0.25  0.56  0.17 322.8
 ORD 20040507  8.38  5.45  0.12  0.28  0.22 305.1
 ORD 20040508  7.95  4.62  0.08  0.23  0.19 320.4
 ORD 20040509  8.30  5.80  0.11  0.34  0.27 310.7
 ORD 20040510  8.11  5.52  0.05  0.36  0.30 318.3
 ORD 20040511  8.32  6.08  0.11  0.41  0.25 312.6
