 PDX 20040101  0.81  0.42  0.02  0.12  0.30 356.4
 PDX 20040102  0.83  0.41  0.00  0.08  0.33 354.0
 PDX 20040103  0.85  0.51  0.09  0.19  0.26 347.9
 PDX 20040104  0.79  0.59  0.23  0.30  0.25 377.0
 PDX 20040105  0.89  0.58  0.13  0.28  0.20 340.7
 PDX 20040106  0.98  0.35  0.01  0.00  0.07 311.8
 PDX 20040107  0.91  0.42  0.00  0.07  0.26 341.4
 PDX 20040108  1.01  0.45  0.00  0.08  0.20 311.5
 PDX 20040109  1.12  0.43  0.00  0.03  0.12 284.8
 PDX 20040110  1.05  0.53  0.00  0.16  0.24 305.7
 PDX 20040111  1.10  0.52  0.05  0.11  0.15 293.3
 PDX 20040112  1.13  0.45  0.02  0.02  0.14 292.1
 PDX 20040113  1.16  0.44  0.00  0.03  0.12 289.9
 PDX 20040114  1.25  0.60  0.05  0.09  0.19 273.5
 PDX 20040115  1.17  0.62  0.10  0.08  0.24 294.9
 PDX 20040116  1.34  0.78  0.11  0.23  0.14 264.1
 PDX 20040117  1.23  0.61  0.00  0.15  0.24 291.8
 PDX 20040118  1.26  0.59  0.00  0.08  0.25 288.9
 PDX 20040119  1.13  0.56  0.06  0.07  0.24 324.5
 PDX 20040120  1.23  0.86  0.20  0.32  0.15 303.5
 PDX 20040121  1.28  1.00  0.38  0.27  0.12 295.6
 PDX 20040122  1.45  0.85  0.06  0.27  0.18 270.0
 PDX 20040123  1.51  0.61  0.01  0.02  0.17 266.0
 PDX 20040124  1.11  0.60  0.00  0.11  0.40 363.8
 PDX 20040125  1.16  0.59  0.00  0.13  0.29 352.9
 PDX 20040126  1.23  0.50  0.00  0.01  0.20 341.0
 PDX 20040127  1.28  0.55  0.00  0.02  0.25 334.1
 PDX 20040128  1.37  0.52  0.00  0.00  0.15 319.3
 PDX 20040129  1.60  0.58  0.00  0.00  0.11 280.7
 PDX 20040130  1.26  0.63  0.00  0.07  0.35 358.3
 PDX 20040131  1.34  0.68  0.00  0.11  0.30 342.8
 PDX 20040201  1.42  0.80  0.00  0.20  0.33 334.0
 PDX 20040202  1.51  0.61  0.08  0.00  0.08 319.7
 PDX 20040203  1.29  0.68  0.00  0.14  0.31 381.6
 PDX 20040204  1.37  0.76  0.00  0.19  0.32 369.2
 PDX 20040205  1.60  0.90  0.10  0.20  0.15 323.7
 PDX 20040206  1.61  0.66  0.06  0.00  0.13 327.2
 PDX 20040207  1.45  0.85  0.03  0.24  0.28 371.4
 PDX 20040208  1.56  0.97  0.12  0.24  0.21 352.8
 PDX 20040209  1.61  1.12  0.21  0.32  0.13 348.4
 PDX 20040210  1.73  1.34  0.32  0.36  0.07 330.0
 PDX 20040211  1.93  1.74  0.49  0.39  0.06 306.0
 PDX 20040212  1.87  1.65  0.54  0.31  0.05 321.6
 PDX 20040213  2.04  0.93  0.10  0.04  0.12 303.9
 PDX 20040214  1.95  1.01  0.01  0.14  0.28 323.5
 PDX 20040215  1.71  0.96  0.00  0.22  0.29 375.0
 PDX 20040216  1.98  0.80  0.01  0.03  0.15 332.8
 PDX 20040217  2.25  0.88  0.01  0.00  0.17 302.6
 PDX 20040218  1.92  1.05  0.00  0.18  0.31 357.0
 PDX 20040219  2.16  1.34  0.05  0.29  0.25 325.6
 PDX 20040220  2.39  1.69  0.20  0.32  0.17 303.8
 PDX 20040221  2.23  1.72  0.28  0.33  0.18 329.8
 PDX 20040222  2.40  1.60  0.18  0.26  0.19 316.5
 PDX 20040223  2.24  1.18  0.07  0.10  0.26 344.5
 PDX 20040224  2.25  1.19  0.00  0.12  0.35 350.1
 PDX 20040225  2.37  1.29  0.14  0.11  0.17 340.1
 PDX 20040226  2.04  0.86  0.00  0.01  0.24 398.7
 PDX 20040227  2.12  1.02  0.02  0.07  0.27 392.7
 PDX 20040228  2.36  1.45  0.00  0.25  0.37 362.3
 PDX 20040301  2.19  1.39  0.17  0.21  0.20 401.8
 PDX 20040302  2.31  1.90  0.26  0.39  0.25 390.3
 PDX 20040303  3.19  1.54  0.06  0.11  0.15 298.1
 PDX 20040304  2.78  1.50  0.00  0.17  0.31 344.2
 PDX 20040305  3.20  1.47  0.04  0.06  0.20 308.5
 PDX 20040306  3.05  1.73  0.02  0.23  0.26 328.6
 PDX 20040307  3.49  1.79  0.01  0.15  0.25 296.5
 PDX 20040308  4.17  2.42  0.08  0.23  0.19 259.4
 PDX 20040309  4.26  2.93  0.21  0.29  0.15 259.0
