 PHL 20040101  1.64  1.45  0.42  0.40  0.13 293.1
 PHL 20040102  1.61  1.19  0.19  0.36  0.21 299.5
 PHL 20040103  1.72  1.07  0.02  0.32  0.26 284.9
 PHL 20040104  1.88  0.69  0.01  0.04  0.05 265.5
 PHL 20040105  1.97  0.78  0.00  0.10  0.05 255.9
 PHL 20040106  1.84  1.33  0.05  0.44  0.29 274.1
 PHL 20040107  1.27  1.13  0.40  0.37  0.23 394.5
 PHL 20040108  1.44  1.06  0.26  0.30  0.18 351.2
 PHL 20040109  1.56  1.09  0.19  0.31  0.18 328.2
 PHL 20040110  1.43  1.27  0.35  0.46  0.17 358.9
 PHL 20040111  1.51  1.15  0.39  0.22  0.13 342.0
 PHL 20040112  1.69  1.00  0.05  0.20  0.31 313.1
 PHL 20040113  1.63  1.23  0.11  0.43  0.29 328.2
 PHL 20040114  1.68  1.01  0.12  0.19  0.23 322.9
 PHL 20040115  1.54  0.99  0.08  0.25  0.32 355.8
 PHL 20040116  1.47  1.35  0.49  0.35  0.16 375.2
 PHL 20040117  1.78  1.38  0.31  0.29  0.20 317.5
 PHL 20040118  1.82  0.92  0.07  0.21  0.05 315.7
 PHL 20040119  1.65  1.32  0.19  0.40  0.30 348.6
 PHL 20040120  1.63  1.39  0.25  0.43  0.28 356.8
 PHL 20040121  1.70  1.42  0.26  0.43  0.23 347.8
 PHL 20040122  1.78  1.18  0.00  0.36  0.34 338.6
 PHL 20040123  1.62  1.36  0.29  0.36  0.28 374.4
 PHL 20040124  1.64  0.99  0.14  0.17  0.23 378.0
 PHL 20040125  2.02  1.59  0.32  0.34  0.14 315.7
 PHL 20040126  2.35  0.86  0.04  0.00  0.06 279.3
 PHL 20040127  2.35  0.75  0.00  0.00  0.01 283.1
 PHL 20040128  1.75  1.06  0.04  0.23  0.32 377.8
 PHL 20040129  1.63  1.28  0.26  0.34  0.23 410.3
 PHL 20040130  1.50  1.06  0.05  0.37  0.34 449.7
 PHL 20040131  1.53  1.22  0.26  0.33  0.28 449.1
 PHL 20040201  2.26  2.07  0.50  0.37  0.12 316.7
 PHL 20040202  2.59  2.12  0.32  0.38  0.16 284.5
 PHL 20040203  2.45  0.99  0.00  0.00  0.22 304.4
 PHL 20040204  2.41  2.17  0.41  0.43  0.14 313.6
 PHL 20040205  2.50  2.07  0.24  0.46  0.20 309.0
 PHL 20040206  2.97  1.05  0.00  0.00  0.09 269.5
 PHL 20040207  2.70  1.75  0.03  0.29  0.35 298.0
 PHL 20040208  2.06  1.95  0.59  0.37  0.04 386.9
