 PVD 20040101  1.27  1.11  0.38  0.42  0.14 327.7
 PVD 20040102  1.31  0.74  0.25  0.12  0.03 320.9
 PVD 20040103  1.40  0.63  0.03  0.14  0.09 303.3
 PVD 20040104  1.53  0.55  0.00  0.00  0.11 281.9
 PVD 20040105  1.61  0.54  0.00  0.00  0.05 271.1
 PVD 20040106  1.56  1.33  0.36  0.39  0.16 281.2
 PVD 20040107  1.09  1.01  0.54  0.34  0.13 401.8
 PVD 20040108  1.10  1.00  0.45  0.39  0.16 402.0
 PVD 20040109  1.23  1.15  0.50  0.40  0.11 360.0
 PVD 20040110  1.18  1.06  0.44  0.38  0.16 380.1
 PVD 20040111  1.22  0.98  0.47  0.27  0.02 369.2
 PVD 20040112  1.38  0.79  0.00  0.27  0.24 332.7
 PVD 20040113  1.38  0.98  0.19  0.34  0.18 339.3
 PVD 20040114  1.38  1.14  0.24  0.43  0.25 343.3
 PVD 20040115  1.32  0.86  0.17  0.24  0.19 362.7
 PVD 20040116  1.14  0.98  0.36  0.36  0.22 425.5
 PVD 20040117  1.37  1.31  0.64  0.30  0.07 358.8
 PVD 20040118  1.48  0.64  0.00  0.11  0.13 339.5
 PVD 20040119  1.40  1.20  0.39  0.37  0.16 362.1
 PVD 20040120  1.34  1.26  0.55  0.37  0.08 379.8
 PVD 20040121  1.40  1.26  0.50  0.36  0.09 370.7
 PVD 20040122  1.47  0.85  0.05  0.22  0.25 359.3
 PVD 20040123  1.38  1.10  0.22  0.39  0.26 389.0
 PVD 20040124  1.38  1.06  0.21  0.39  0.20 395.8
 PVD 20040125  1.40  1.32  0.61  0.30  0.09 397.5
 PVD 20040126  1.85  1.32  0.17  0.37  0.17 310.4
 PVD 20040127  1.95  1.03  0.09  0.19  0.10 299.7
 PVD 20040128  1.60  0.66  0.00  0.04  0.18 366.0
 PVD 20040129  1.33  1.15  0.26  0.46  0.26 445.3
 PVD 20040130  1.33  1.16  0.33  0.45  0.18 452.2
 PVD 20040131  1.40  1.06  0.22  0.34  0.23 435.9
 PVD 20040201  1.62  1.46  0.52  0.34  0.08 387.1
 PVD 20040202  2.03  1.88  0.75  0.18  0.00 320.0
 PVD 20040203  2.22  1.49  0.16  0.31  0.16 298.5
 PVD 20040204  2.08  1.90  0.48  0.36  0.16 322.9
 PVD 20040205  2.06  1.92  0.55  0.36  0.09 332.5
 PVD 20040206  2.46  0.90  0.00  0.00  0.12 288.0
 PVD 20040207  2.54  1.44  0.00  0.23  0.29 284.4
 PVD 20040208  1.76  1.64  0.56  0.34  0.10 406.9
 PVD 20040209  2.13  1.82  0.27  0.42  0.27 343.6
 PVD 20040210  2.02  1.64  0.28  0.38  0.21 368.0
 PVD 20040211  1.94  1.76  0.42  0.41  0.17 390.2
 PVD 20040212  2.17  1.55  0.07  0.44  0.23 357.9
 PVD 20040213  2.11  1.89  0.37  0.41  0.22 373.7
 PVD 20040214  2.31  2.03  0.26  0.51  0.22 351.1
 PVD 20040215  2.22  1.96  0.40  0.39  0.17 371.1
 PVD 20040216  2.71  2.54  0.69  0.26  0.01 314.3
 PVD 20040217  2.78  1.84  0.14  0.28  0.22 313.6
 PVD 20040218  2.31  1.19  0.16  0.11  0.06 375.2
 PVD 20040219  2.14  1.76  0.38  0.35  0.12 411.9
 PVD 20040220  2.48  1.58  0.06  0.34  0.20 364.3
 PVD 20040221  2.37  1.11  0.06  0.11  0.12 388.2
 PVD 20040222  2.44  1.85  0.26  0.35  0.16 384.6
 PVD 20040223  2.61  2.37  0.49  0.37  0.11 368.6
 PVD 20040224  2.80  2.27  0.27  0.39  0.21 351.5
 PVD 20040225  2.50  2.35  0.58  0.35  0.07 396.3
 PVD 20040226  2.96  2.88  0.80  0.20  0.00 346.4
 PVD 20040227  3.15  3.05  0.75  0.25  0.00 333.5
 PVD 20040228  2.92  2.66  0.52  0.38  0.06 363.2
 PVD 20040301  3.29  2.44  0.10  0.44  0.25 336.4
 PVD 20040302  3.64  1.91  0.08  0.14  0.18 313.3
 PVD 20040303  3.45  3.11  0.35  0.46  0.20 334.3
 PVD 20040304  3.31  2.03  0.12  0.27  0.15 352.6
 PVD 20040305  3.68  1.63  0.10  0.08  0.03 325.7
 PVD 20040306  4.32  1.56  0.00  0.00  0.11 288.8
 PVD 20040307  3.56  2.81  0.21  0.39  0.26 346.9
 PVD 20040308  3.13  1.14  0.00  0.00  0.12 394.1
 PVD 20040309  3.09  2.29  0.24  0.34  0.16 405.0
 PVD 20040310  3.12  2.64  0.55  0.26  0.02 408.5
 PVD 20040311  3.20  2.10  0.40  0.12  0.00 404.4
 PVD 20040312  3.03  1.88  0.10  0.22  0.27 432.4
 PVD 20040313  3.10  2.83  0.46  0.38  0.16 429.8
 PVD 20040314  4.03  3.49  0.33  0.43  0.19 345.6
 PVD 20040315  3.77  3.33  0.30  0.45  0.25 371.2
 PVD 20040316  4.19  1.92  0.00  0.14  0.15 343.5
 PVD 20040317  3.82  1.67  0.00  0.10  0.15 377.3
 PVD 20040318  3.27  2.18  0.29  0.16  0.15 440.3
 PVD 20040319  3.88  2.09  0.18  0.08  0.13 382.7
 PVD 20040320  4.63  2.88  0.13  0.25  0.18 333.0
 PVD 20040321  4.53  3.29  0.00  0.44  0.38 343.9
 PVD 20040322  3.13  2.97  0.69  0.24  0.07 484.4
