 PWM 20040101  1.03  0.92  0.45  0.39  0.11 338.7
 PWM 20040102  1.06  0.52  0.01  0.18  0.16 334.5
 PWM 20040103  1.14  0.40  0.00  0.05  0.01 315.3
 PWM 20040104  1.19  0.62  0.00  0.20  0.21 303.6
 PWM 20040105  1.24  0.46  0.00  0.03  0.10 295.0
 PWM 20040106  1.19  0.96  0.33  0.34  0.16 310.8
 PWM 20040107  0.90  0.80  0.53  0.31  0.10 414.3
 PWM 20040108  0.91  0.85  0.56  0.33  0.11 412.0
 PWM 20040109  0.95  0.89  0.58  0.34  0.08 401.6
 PWM 20040110  0.96  0.91  0.63  0.32  0.05 401.5
 PWM 20040111  0.97  0.74  0.31  0.30  0.14 398.6
 PWM 20040112  1.14  0.61  0.00  0.23  0.20 344.6
 PWM 20040113  1.12  0.67  0.14  0.21  0.17 356.6
 PWM 20040114  1.04  0.95  0.49  0.37  0.13 388.0
 PWM 20040115  1.07  0.92  0.45  0.30  0.15 381.7
 PWM 20040116  0.95  0.80  0.44  0.28  0.17 441.5
 PWM 20040117  1.04  0.98  0.61  0.33  0.06 406.1
 PWM 20040118  1.21  0.51  0.00  0.07  0.15 353.4
 PWM 20040119  1.14  0.85  0.32  0.26  0.16 380.5
 PWM 20040120  1.11  0.93  0.39  0.33  0.16 397.8
 PWM 20040121  1.17  1.02  0.48  0.36  0.07 381.9
 PWM 20040122  1.21  0.63  0.03  0.16  0.22 375.6
 PWM 20040123  1.14  0.94  0.33  0.34  0.21 406.1
 PWM 20040124  1.17  1.06  0.42  0.41  0.16 403.1
 PWM 20040125  1.14  1.05  0.55  0.34  0.10 423.9
 PWM 20040126  1.50  1.39  0.52  0.35  0.13 328.6
 PWM 20040127  1.61  1.34  0.53  0.27  0.00 312.9
 PWM 20040128  1.42  0.59  0.00  0.06  0.16 359.7
 PWM 20040129  1.14  0.82  0.20  0.31  0.20 453.1
 PWM 20040130  1.18  1.00  0.37  0.39  0.14 445.4
 PWM 20040131  1.29  0.90  0.14  0.33  0.22 413.8
 PWM 20040201  1.35  1.20  0.55  0.32  0.04 404.6
 PWM 20040202  1.61  1.53  0.76  0.20  0.00 347.4
 PWM 20040203  1.85  1.35  0.22  0.33  0.18 311.5
 PWM 20040204  1.79  1.55  0.32  0.41  0.23 328.0
 PWM 20040205  1.69  1.54  0.44  0.42  0.14 353.8
 PWM 20040206  2.04  0.85  0.00  0.06  0.16 301.4
 PWM 20040207  2.06  0.90  0.00  0.07  0.20 305.1
 PWM 20040208  1.49  1.39  0.58  0.32  0.10 421.6
 PWM 20040209  1.83  1.42  0.18  0.39  0.27 351.7
 PWM 20040210  1.70  1.29  0.20  0.38  0.22 386.0
 PWM 20040211  1.66  1.34  0.34  0.33  0.17 403.0
 PWM 20040212  1.81  1.34  0.15  0.40  0.22 379.0
 PWM 20040213  1.91  1.47  0.20  0.37  0.25 367.0
 PWM 20040214  1.89  1.44  0.05  0.50  0.30 377.4
 PWM 20040215  1.90  1.73  0.43  0.40  0.18 384.6
 PWM 20040216  2.18  2.03  0.56  0.35  0.09 345.2
 PWM 20040217  2.17  1.59  0.20  0.34  0.21 353.3
 PWM 20040218  2.11  1.58  0.32  0.28  0.13 367.5
