 RDU 20040101  2.74  2.46  0.56  0.33  0.03 245.2
 RDU 20040102  2.59  1.78  0.17  0.31  0.19 259.7
 RDU 20040103  2.58  1.78  0.15  0.32  0.21 262.2
 RDU 20040104  2.81  2.04  0.13  0.39  0.24 245.1
 RDU 20040105  2.99  1.47  0.00  0.14  0.23 234.2
 RDU 20040106  2.77  2.18  0.21  0.44  0.18 251.2
 RDU 20040107  2.23  2.15  0.72  0.28  0.00 307.4
 RDU 20040108  2.29  1.56  0.17  0.27  0.23 300.9
 RDU 20040109  2.48  0.90  0.06  0.00  0.02 283.2
 RDU 20040110  2.23  1.83  0.33  0.38  0.15 313.7
 RDU 20040111  2.32  2.12  0.58  0.33  0.03 303.5
 RDU 20040112  2.46  2.02  0.29  0.40  0.19 291.8
 RDU 20040113  2.51  2.05  0.26  0.41  0.21 290.3
 RDU 20040114  2.33  1.69  0.18  0.37  0.18 313.9
 RDU 20040115  2.20  1.87  0.40  0.33  0.17 333.7
 RDU 20040116  2.48  1.94  0.41  0.24  0.12 302.7
 RDU 20040117  2.64  1.66  0.13  0.23  0.22 289.1
 RDU 20040118  2.71  1.21  0.03  0.11  0.11 285.6
 RDU 20040119  2.55  2.23  0.44  0.36  0.12 303.9
 RDU 20040120  2.51  2.14  0.37  0.39  0.14 311.3
 RDU 20040121  2.76  1.99  0.19  0.32  0.22 289.6
 RDU 20040122  2.72  2.18  0.24  0.39  0.23 296.5
 RDU 20040123  2.29  1.83  0.43  0.24  0.13 351.8
 RDU 20040124  2.66  1.85  0.15  0.30  0.26 311.6
 RDU 20040125  3.12  1.06  0.00  0.00  0.06 273.4
 RDU 20040126  3.33  1.18  0.00  0.00  0.09 261.7
 RDU 20040127  3.38  1.56  0.00  0.13  0.17 262.1
 RDU 20040128  2.40  2.18  0.46  0.35  0.19 359.2
 RDU 20040129  2.53  2.19  0.34  0.43  0.17 347.1
 RDU 20040130  2.38  1.60  0.06  0.32  0.32 370.8
 RDU 20040131  2.70  2.59  0.69  0.31  0.00 335.5
 RDU 20040201  3.45  3.00  0.34  0.47  0.13 273.6
 RDU 20040202  3.41  2.31  0.22  0.24  0.18 280.7
 RDU 20040203  3.13  1.40  0.06  0.08  0.11 307.4
 RDU 20040204  3.44  2.80  0.14  0.51  0.26 286.7
 RDU 20040205  3.80  2.36  0.06  0.30  0.22 266.6
 RDU 20040206  4.20  1.74  0.00  0.03  0.20 248.2
 RDU 20040207  4.01  3.09  0.14  0.40  0.31 261.8
 RDU 20040208  3.04  2.95  0.71  0.30  0.00 338.1
 RDU 20040209  4.09  2.98  0.10  0.41  0.26 264.2
 RDU 20040210  3.42  1.90  0.00  0.20  0.30 312.9
 RDU 20040211  3.51  3.09  0.49  0.33  0.10 310.2
 RDU 20040212  4.04  1.28  0.00  0.00  0.00 279.1
 RDU 20040213  4.18  3.93  0.59  0.36  0.04 274.9
 RDU 20040214  4.20  2.70  0.06  0.29  0.29 277.8
 RDU 20040215  3.83  1.74  0.00  0.06  0.25 305.0
 RDU 20040216  3.96  3.36  0.46  0.33  0.07 300.1
 RDU 20040217  4.25  2.25  0.00  0.14  0.32 286.7
 RDU 20040218  3.08  2.85  0.55  0.31  0.14 386.1
 RDU 20040219  3.69  3.35  0.42  0.41  0.17 332.9
 RDU 20040220  4.36  3.97  0.50  0.39  0.07 291.8
 RDU 20040221  3.91  3.41  0.29  0.45  0.24 325.4
 RDU 20040222  4.27  3.98  0.53  0.38  0.09 305.9
 RDU 20040223  4.25  2.85  0.12  0.31  0.23 312.1
 RDU 20040224  4.54  1.43  0.00  0.00  0.00 298.8
 RDU 20040225  4.30  3.70  0.47  0.33  0.09 317.9
 RDU 20040226  4.29  1.88  0.00  0.07  0.20 322.3
 RDU 20040227  4.14  2.63  0.21  0.20  0.15 337.2
 RDU 20040228  4.02  3.88  0.73  0.27  0.00 350.9
 RDU 20040301  5.30  4.18  0.22  0.41  0.21 284.0
 RDU 20040302  5.25  3.44  0.04  0.32  0.31 289.9
 RDU 20040303  5.40  3.82  0.14  0.35  0.23 287.0
 RDU 20040304  5.66  4.20  0.09  0.44  0.27 279.2
 RDU 20040305  5.79  4.03  0.04  0.41  0.28 277.4
 RDU 20040306  6.28  3.60  0.06  0.26  0.16 263.0
 RDU 20040307  5.89  4.18  0.13  0.37  0.22 280.5
 RDU 20040308  4.19  3.65  0.36  0.34  0.28 381.3
 RDU 20040309  4.27  2.33  0.05  0.17  0.24 379.8
 RDU 20040310  3.85  2.56  0.16  0.26  0.22 420.7
 RDU 20040311  5.35  4.84  0.56  0.32  0.06 319.8
 RDU 20040312  5.27  4.95  0.54  0.39  0.08 328.0
 RDU 20040313  5.51  5.29  0.68  0.32  0.00 319.5
 RDU 20040314  5.49  3.60  0.16  0.25  0.21 323.6
 RDU 20040315  5.66  4.16  0.22  0.33  0.19 319.3
 RDU 20040316  5.98  2.11  0.00  0.00  0.09 308.6
 RDU 20040317  4.90  3.52  0.07  0.37  0.34 369.9
 RDU 20040318  5.77  2.72  0.05  0.11  0.14 324.7
 RDU 20040319  5.69  5.34  0.54  0.41  0.05 332.7
 RDU 20040320  6.05  4.71  0.31  0.33  0.15 318.8
 RDU 20040321  6.20  5.72  0.50  0.38  0.12 316.1
 RDU 20040322  5.80  4.91  0.26  0.44  0.24 338.0
