 SEA 20040101  0.67  0.36  0.03  0.12  0.31 367.3
 SEA 20040102  0.68  0.32  0.00  0.08  0.27 368.7
 SEA 20040103  0.69  0.46  0.19  0.23  0.23 368.4
 SEA 20040104  0.67  0.52  0.22  0.36  0.26 383.8
 SEA 20040105  0.71  0.58  0.36  0.33  0.19 367.2
 SEA 20040106  0.80  0.27  0.00  0.00  0.05 327.8
 SEA 20040107  0.77  0.30  0.00  0.00  0.18 345.3
 SEA 20040108  0.81  0.39  0.00  0.09  0.26 328.3
 SEA 20040109  0.93  0.35  0.03  0.01  0.08 291.5
 SEA 20040110  0.87  0.44  0.01  0.12  0.27 313.9
 SEA 20040111  0.91  0.43  0.02  0.13  0.16 302.5
 SEA 20040112  0.92  0.35  0.03  0.00  0.10 305.4
 SEA 20040113  0.96  0.33  0.00  0.00  0.07 298.1
 SEA 20040114  1.06  0.47  0.05  0.05  0.16 275.6
 SEA 20040115  0.99  0.48  0.08  0.04  0.22 298.0
 SEA 20040116  1.11  0.63  0.05  0.24  0.19 273.2
 SEA 20040117  1.01  0.48  0.01  0.12  0.20 303.6
 SEA 20040118  1.03  0.46  0.01  0.06  0.21 301.8
 SEA 20040119  0.97  0.45  0.01  0.08  0.24 327.1
 SEA 20040120  1.06  0.71  0.13  0.31  0.21 303.5
 SEA 20040121  1.08  0.75  0.17  0.30  0.21 301.5
 SEA 20040122  1.23  0.56  0.01  0.13  0.13 272.9
 SEA 20040123  1.22  0.52  0.00  0.05  0.20 280.9
 SEA 20040124  0.92  0.48  0.00  0.07  0.40 381.0
 SEA 20040125  0.97  0.50  0.00  0.14  0.28 368.0
 SEA 20040126  1.02  0.39  0.00  0.00  0.17 355.7
 SEA 20040127  1.08  0.43  0.00  0.00  0.21 345.0
 SEA 20040128  1.16  0.44  0.00  0.00  0.15 328.0
 SEA 20040129  1.33  0.46  0.00  0.00  0.07 292.3
 SEA 20040130  1.09  0.51  0.00  0.05  0.30 361.8
 SEA 20040131  1.16  0.62  0.00  0.15  0.32 346.3
 SEA 20040201  1.14  0.63  0.00  0.19  0.32 363.1
 SEA 20040202  1.27  0.57  0.07  0.07  0.11 333.9
 SEA 20040203  1.13  0.55  0.00  0.12  0.26 385.1
 SEA 20040204  1.17  0.64  0.01  0.18  0.28 377.7
 SEA 20040205  1.33  0.65  0.03  0.15  0.16 342.0
 SEA 20040206  1.39  0.54  0.05  0.00  0.09 333.0
 SEA 20040207  1.29  0.74  0.00  0.24  0.28 367.1
 SEA 20040208  1.32  0.79  0.07  0.23  0.24 366.4
 SEA 20040209  1.41  0.92  0.17  0.29  0.14 351.3
 SEA 20040210  1.51  1.06  0.23  0.32  0.11 334.1
 SEA 20040211  1.64  1.50  0.52  0.39  0.05 318.4
 SEA 20040212  1.64  1.40  0.49  0.30  0.08 324.1
 SEA 20040213  1.77  0.82  0.12  0.06  0.08 311.4
 SEA 20040214  1.75  0.93  0.01  0.14  0.31 321.4
 SEA 20040215  1.54  0.90  0.00  0.21  0.35 369.9
 SEA 20040216  1.70  0.65  0.01  0.00  0.14 346.0
 SEA 20040217  1.85  0.67  0.00  0.00  0.12 327.2
 SEA 20040218  1.67  0.89  0.04  0.14  0.27 365.9
 SEA 20040219  1.90  1.11  0.02  0.25  0.27 331.5
 SEA 20040220  2.10  1.42  0.17  0.29  0.19 308.9
 SEA 20040221  1.95  1.59  0.34  0.36  0.15 338.5
 SEA 20040222  2.08  1.56  0.28  0.31  0.16 326.0
 SEA 20040223  1.99  1.02  0.08  0.10  0.21 348.1
 SEA 20040224  2.02  1.01  0.04  0.08  0.27 351.2
 SEA 20040225  2.07  1.08  0.12  0.11  0.15 349.7
 SEA 20040226  1.84  0.78  0.00  0.02  0.24 399.1
 SEA 20040227  1.90  0.94  0.03  0.09  0.26 394.8
 SEA 20040228  2.06  1.25  0.00  0.25  0.35 374.0
 SEA 20040301  1.97  1.39  0.23  0.28  0.18 406.6
 SEA 20040302  2.11  1.66  0.22  0.37  0.26 389.0
 SEA 20040303  2.80  1.22  0.04  0.05  0.16 307.6
 SEA 20040304  2.34  1.39  0.00  0.23  0.35 369.3
 SEA 20040305  2.81  1.34  0.07  0.06  0.19 318.7
 SEA 20040306  2.61  1.42  0.01  0.20  0.26 348.3
 SEA 20040307  3.09  1.33  0.00  0.05  0.21 304.7
 SEA 20040308  3.83  1.93  0.00  0.16  0.23 257.8
 SEA 20040309  3.76  2.90  0.29  0.32  0.18 266.9
 SEA 20040310  2.74  2.39  0.43  0.40  0.08 358.9
 SEA 20040311  2.82  2.09  0.22  0.36  0.17 355.9
 SEA 20040312  2.95  2.00  0.13  0.29  0.26 348.3
 SEA 20040313  3.18  2.30  0.12  0.38  0.26 331.7
 SEA 20040314  3.19  1.86  0.15  0.13  0.22 337.6
 SEA 20040315  2.99  1.87  0.02  0.30  0.30 364.1
 SEA 20040316  3.52  2.08  0.10  0.21  0.21 319.9
 SEA 20040317  3.74  1.85  0.00  0.13  0.25 308.8
 SEA 20040318  3.90  2.23  0.12  0.13  0.24 302.5
 SEA 20040319  3.15  2.21  0.05  0.31  0.42 373.2
 SEA 20040320  4.04  3.09  0.20  0.39  0.21 303.2
 SEA 20040321  4.35  2.96  0.16  0.32  0.17 289.5
 SEA 20040322  4.25  3.03  0.09  0.37  0.30 300.1
 SEA 20040323  3.70  2.59  0.20  0.24  0.27 344.0
 SEA 20040324  3.57  1.84  0.00  0.11  0.33 360.2
 SEA 20040325  3.06  1.32  0.02  0.04  0.19 420.5
 SEA 20040326  3.03  1.46  0.00  0.06  0.32 430.1
 SEA 20040327  3.40  2.11  0.02  0.24  0.37 394.7
 SEA 20040328  4.58  3.55  0.19  0.41  0.23 308.4
 SEA 20040329  4.65  3.37  0.20  0.37  0.14 308.3
 SEA 20040330  4.50  2.71  0.11  0.18  0.26 321.7
 SEA 20040331  3.71  2.50  0.06  0.29  0.36 385.9
 SEA 20040401  3.61  3.07  0.28  0.41  0.26 401.0
 SEA 20040402  4.78  4.57  0.71  0.25  0.04 318.2
 SEA 20040403  4.81  3.99  0.34  0.39  0.14 320.3
 SEA 20040404  4.61  4.07  0.56  0.21  0.16 336.7
 SEA 20040405  4.95  3.64  0.19  0.34  0.23 320.7
 SEA 20040406  4.49  3.74  0.34  0.36  0.19 352.6
 SEA 20040407  4.69  2.82  0.00  0.21  0.40 344.3
 SEA 20040408  4.66  3.94  0.25  0.46  0.23 350.3
 SEA 20040409  4.59  4.15  0.36  0.48  0.16 359.3
 SEA 20040410  5.04  4.68  0.50  0.41  0.09 335.6
 SEA 20040411  5.36  5.03  0.62  0.28  0.10 321.1
 SEA 20040412  5.27  3.27  0.05  0.22  0.35 329.4
 SEA 20040413  4.69  2.48  0.00  0.14  0.32 368.3
 SEA 20040414  4.25  1.97  0.00  0.04  0.30 405.2
 SEA 20040415  4.41  2.05  0.00  0.05  0.29 396.3
 SEA 20040416  4.47  2.38  0.00  0.14  0.33 395.8
 SEA 20040417  4.56  2.85  0.00  0.22  0.44 393.2
 SEA 20040418  4.56  2.21  0.00  0.07  0.31 396.8
 SEA 20040419  4.69  3.36  0.10  0.27  0.43 391.8
 SEA 20040420  4.57  2.34  0.00  0.11  0.32 404.1
 SEA 20040421  4.74  2.76  0.00  0.22  0.34 394.9
 SEA 20040422  6.28  5.58  0.33  0.44  0.23 313.2
 SEA 20040423  6.24  3.55  0.00  0.19  0.35 317.4
 SEA 20040424  5.56  4.52  0.21  0.47  0.20 352.6
