 STL 20040101  1.92  0.87  0.00  0.09  0.20 279.0
 STL 20040102  1.87  1.04  0.02  0.22  0.24 288.8
 STL 20040103  2.10  1.21  0.00  0.27  0.25 261.8
 STL 20040104  2.17  0.86  0.10  0.00  0.03 256.0
 STL 20040105  1.98  1.15  0.08  0.23  0.19 280.4
 STL 20040106  1.63  1.52  0.51  0.40  0.09 338.3
 STL 20040107  1.76  1.53  0.32  0.45  0.19 317.1
 STL 20040108  1.98  1.26  0.12  0.24  0.24 287.2
 STL 20040109  1.92  1.27  0.16  0.27  0.20 297.3
 STL 20040110  1.81  1.45  0.41  0.25  0.16 316.8
 STL 20040111  2.00  1.48  0.25  0.30  0.20 290.5
 STL 20040112  1.99  1.43  0.29  0.25  0.14 294.8
 STL 20040113  2.00  1.59  0.44  0.24  0.10 297.0
 STL 20040114  1.88  1.25  0.23  0.21  0.17 318.4
 STL 20040115  2.09  1.66  0.33  0.31  0.18 293.0
 STL 20040116  2.22  1.01  0.00  0.10  0.20 281.0
 STL 20040117  2.24  0.74  0.00  0.00  0.03 281.5
 STL 20040118  2.09  1.72  0.33  0.39  0.14 303.6
 STL 20040119  2.02  1.64  0.36  0.33  0.15 316.3
 STL 20040120  2.08  1.48  0.04  0.45  0.26 311.3
 STL 20040121  2.07  1.62  0.25  0.37  0.20 317.1
 STL 20040122  1.99  1.77  0.52  0.32  0.09 333.7
 STL 20040123  2.01  1.56  0.30  0.31  0.19 335.8
 STL 20040124  2.38  1.46  0.09  0.26  0.21 291.1
 STL 20040125  2.59  0.85  0.00  0.00  0.03 273.8
 STL 20040126  2.41  0.98  0.00  0.01  0.21 297.1
 STL 20040127  1.81  1.06  0.31  0.05  0.07 391.5
 STL 20040128  1.89  1.49  0.29  0.34  0.19 381.2
 STL 20040129  1.90  0.97  0.06  0.12  0.20 385.5
 STL 20040130  1.87  1.26  0.32  0.16  0.12 397.8
 STL 20040131  2.59  1.94  0.22  0.35  0.20 297.0
 STL 20040201  2.71  1.78  0.12  0.29  0.22 290.8
 STL 20040202  2.48  0.85  0.00  0.00  0.06 319.6
 STL 20040203  2.36  1.64  0.28  0.23  0.14 340.4
 STL 20040204  2.70  1.74  0.01  0.37  0.26 306.2
 STL 20040205  2.61  0.90  0.00  0.00  0.07 320.5
 STL 20040206  2.31  1.09  0.00  0.17  0.14 364.3
 STL 20040207  2.27  1.13  0.26  0.01  0.00 375.3
 STL 20040208  2.63  2.14  0.33  0.36  0.16 333.4
 STL 20040209  2.58  1.22  0.06  0.13  0.10 344.6
 STL 20040210  2.35  1.61  0.21  0.27  0.17 379.8
 STL 20040211  2.49  1.54  0.01  0.34  0.24 366.8
 STL 20040212  2.48  1.44  0.00  0.31  0.21 375.9
 STL 20040213  2.75  2.46  0.54  0.31  0.08 347.2
 STL 20040214  2.56  1.87  0.33  0.23  0.14 375.6
 STL 20040215  3.09  2.72  0.56  0.27  0.07 323.0
 STL 20040216  3.19  2.48  0.29  0.34  0.17 319.3
 STL 20040217  2.65  2.02  0.26  0.35  0.16 382.5
 STL 20040218  3.21  2.54  0.40  0.24  0.16 326.6
 STL 20040219  3.48  2.10  0.00  0.31  0.26 309.3
 STL 20040220  2.83  1.09  0.00  0.04  0.11 377.8
 STL 20040221  3.33  2.46  0.33  0.26  0.12 331.8
 STL 20040222  3.64  2.13  0.00  0.28  0.26 312.2
