 ACY 20050101  1.66  1.46  0.27  0.52  0.20 300.3
 ACY 20050102  1.69  1.00  0.08  0.24  0.21 297.7
 ACY 20050103  1.83  0.96  0.05  0.16  0.20 279.2
 ACY 20050104  1.86  1.00  0.10  0.14  0.17 276.3
 ACY 20050105  1.88  0.59  0.00  0.00  0.00 276.1
 ACY 20050106  1.78  0.76  0.00  0.09  0.14 292.4
 ACY 20050107  1.76  1.51  0.34  0.42  0.17 298.3
 ACY 20050108  1.96  0.97  0.02  0.17  0.17 273.1
 ACY 20050109  1.80  1.14  0.07  0.30  0.23 296.2
 ACY 20050110  1.64  1.16  0.12  0.36  0.24 325.8
 ACY 20050111  1.68  0.80  0.00  0.13  0.21 321.8
 ACY 20050112  1.79  0.97  0.00  0.20  0.26 305.9
 ACY 20050113  1.94  1.37  0.21  0.36  0.10 289.5
 ACY 20050114  2.07  1.05  0.04  0.20  0.11 275.3
 ACY 20050115  1.86  1.44  0.29  0.37  0.12 308.1
 ACY 20050116  1.83  0.98  0.00  0.21  0.23 315.6
 ACY 20050117  1.51  1.14  0.10  0.39  0.36 384.3
 ACY 20050118  1.42  1.32  0.50  0.37  0.14 411.5
 ACY 20050119  1.64  0.86  0.00  0.15  0.29 362.4
 ACY 20050120  1.56  1.18  0.16  0.37  0.28 384.7
 ACY 20050121  1.50  1.39  0.54  0.36  0.10 405.2
 ACY 20050122  1.77  0.67  0.00  0.00  0.16 351.3
 ACY 20050123  1.51  0.73  0.12  0.00  0.21 414.3
 ACY 20050124  1.74  1.32  0.24  0.31  0.25 367.5
 ACY 20050125  1.86  1.49  0.24  0.39  0.23 350.2
 ACY 20050126  2.08  1.06  0.00  0.14  0.28 321.7
 ACY 20050127  1.97  1.78  0.50  0.34  0.12 342.5
 ACY 20050128  2.01  1.87  0.73  0.21  0.00 340.9
 ACY 20050129  2.13  2.03  0.61  0.37  0.02 327.8
 ACY 20050130  2.02  0.90  0.10  0.08  0.04 349.2
 ACY 20050131  1.96  1.59  0.49  0.24  0.06 364.2
 ACY 20050201  2.00  1.73  0.33  0.45  0.16 364.8
 ACY 20050202  2.16  2.09  0.67  0.33  0.01 344.3
 ACY 20050203  2.28  1.48  0.02  0.34  0.30 334.2
 ACY 20050204  2.12  0.98  0.10  0.01  0.18 363.5
 ACY 20050205  2.30  1.91  0.53  0.23  0.06 342.0
 ACY 20050206  2.64  2.08  0.59  0.13  0.00 307.3
 ACY 20050207  3.07  2.67  0.43  0.39  0.09 272.7
 ACY 20050208  3.03  2.13  0.08  0.39  0.26 280.2
 ACY 20050209  2.79  1.17  0.00  0.08  0.14 306.2
 ACY 20050210  2.55  1.39  0.01  0.20  0.26 336.0
 ACY 20050211  2.61  2.50  0.67  0.29  0.05 336.0
 ACY 20050212  2.66  2.01  0.21  0.31  0.29 336.0
 ACY 20050213  2.71  2.60  0.68  0.30  0.02 336.0
 ACY 20050214  2.76  0.98  0.01  0.00  0.08 336.0
 ACY 20050215  2.81  2.25  0.12  0.49  0.29 336.0
 ACY 20050216  2.87  1.55  0.01  0.19  0.26 336.0
 ACY 20050217  2.92  2.20  0.04  0.46  0.35 336.0
 ACY 20050218  2.97  2.50  0.27  0.38  0.30 336.0
 ACY 20050219  3.02  2.86  0.60  0.33  0.08 336.0
 ACY 20050220  3.07  1.89  0.11  0.22  0.24 336.0
 ACY 20050221  3.13  1.14  0.00  0.02  0.09 336.0
 ACY 20050222  3.20  2.15  0.03  0.37  0.30 336.0
 ACY 20050223  3.26  2.72  0.28  0.43  0.20 336.0
 ACY 20050224  3.32  1.18  0.00  0.00  0.10 336.0
 ACY 20050225  3.38  1.99  0.00  0.24  0.33 336.0
 ACY 20050226  3.44  2.90  0.30  0.41  0.21 336.0
 ACY 20050227  3.50  3.14  0.47  0.40  0.08 336.0
 ACY 20050228  3.56  1.22  0.02  0.00  0.03 336.0
 ACY 20050301  3.62  1.96  0.00  0.16  0.32 336.0
 ACY 20050302  3.68  2.45  0.22  0.24  0.15 336.0
 ACY 20050303  3.75  3.33  0.30  0.49  0.21 336.0
 ACY 20050304  3.82  3.25  0.32  0.41  0.20 336.0
 ACY 20050305  3.89  2.83  0.10  0.39  0.29 336.0
 ACY 20050306  3.95  2.88  0.17  0.33  0.26 336.0
 ACY 20050307  4.02  2.46  0.02  0.28  0.29 336.0
 ACY 20050308  4.09  1.78  0.00  0.12  0.12 336.0
 ACY 20050309  4.16  3.71  0.34  0.45  0.21 336.0
 ACY 20050310  4.22  3.59  0.28  0.44  0.22 336.0
 ACY 20050311  4.29  2.50  0.01  0.22  0.32 336.0
 ACY 20050312  4.36  3.53  0.18  0.38  0.37 336.0
 ACY 20050313  4.43  3.19  0.12  0.38  0.25 336.0
 ACY 20050314  4.50  3.93  0.39  0.40  0.15 336.0
 ACY 20050315  4.57  4.26  0.56  0.33  0.11 336.0
 ACY 20050316  4.64  3.67  0.20  0.43  0.22 336.0
 ACY 20050317  4.71  3.35  0.10  0.38  0.26 336.0
 ACY 20050318  4.79  3.92  0.34  0.35  0.17 336.0
 ACY 20050319  4.86  3.57  0.20  0.34  0.21 336.0
 ACY 20050320  4.93  1.98  0.04  0.03  0.10 336.0
 ACY 20050321  5.00  3.29  0.16  0.22  0.26 336.0
 ACY 20050322  5.07  4.60  0.55  0.33  0.07 336.0
 ACY 20050323  5.14  1.73  0.00  0.00  0.05 336.0
 ACY 20050324  5.21  3.24  0.06  0.26  0.28 336.0
 ACY 20050325  5.28  2.58  0.00  0.15  0.21 336.0
 ACY 20050326  5.35  2.43  0.01  0.10  0.18 336.0
 ACY 20050327  5.42  2.93  0.04  0.17  0.24 336.0
 ACY 20050328  5.49  1.92  0.00  0.00  0.08 336.0
 ACY 20050329  5.56  4.03  0.33  0.17  0.21 336.0
 ACY 20050330  5.63  4.62  0.28  0.43  0.16 336.0
 ACY 20050331  5.70  3.18  0.00  0.24  0.25 336.0
 ACY 20050401  5.77  4.08  0.00  0.47  0.29 336.0
 ACY 20050402  5.84  2.18  0.00  0.00  0.14 336.0
 ACY 20050403  5.90  2.62  0.00  0.00  0.31 336.0
 ACY 20050404  5.97  4.92  0.20  0.38  0.37 336.0
 ACY 20050405  6.04  5.69  0.61  0.37  0.00 336.0
 ACY 20050406  6.10  4.95  0.26  0.36  0.27 336.0
 ACY 20050407  6.17  4.05  0.25  0.02  0.39 336.0
 ACY 20050408  6.23  3.26  0.12  0.11  0.15 336.0
 ACY 20050409  6.30  3.77  0.18  0.22  0.08 336.0
 ACY 20050410  6.37  6.01  0.56  0.43  0.00 336.0
 ACY 20050411  6.43  5.15  0.51  0.22  0.03 336.0
 ACY 20050412  6.49  5.69  0.37  0.45  0.12 336.0
 ACY 20050413  6.55  4.48  0.19  0.28  0.19 336.0
 ACY 20050414  6.61  4.88  0.23  0.36  0.14 336.0
 ACY 20050415  6.67  5.03  0.28  0.33  0.14 336.0
 ACY 20050416  6.73  6.16  0.63  0.30  0.00 336.0
 ACY 20050417  6.79  6.50  0.59  0.42  0.00 336.0
 ACY 20050418  6.85  5.96  0.45  0.39  0.06 336.0
 ACY 20050419  6.90  6.28  0.30  0.61  0.09 336.0
 ACY 20050420  6.96  6.17  0.23  0.58  0.19 336.0
 ACY 20050421  7.02  5.04  0.23  0.36  0.09 336.0
 ACY 20050422  7.07  2.78  0.06  0.05  0.02 336.0
 ACY 20050423  7.12  2.75  0.00  0.00  0.17 336.0
 ACY 20050424  7.17  4.86  0.00  0.27  0.50 336.0
 ACY 20050425  7.22  4.89  0.12  0.18  0.43 336.0
