 ANC 20050101  0.12  0.06  0.00  0.21  0.20 356.4
 ANC 20050102  0.12  0.07  0.09  0.19  0.33 364.9
 ANC 20050103  0.13  0.05  0.00  0.00  0.17 349.2
 ANC 20050104  0.13  0.06  0.00  0.00  0.28 345.9
 ANC 20050105  0.11  0.08  0.29  0.19  0.22 427.2
 ANC 20050106  0.13  0.12  0.60  0.29  0.11 355.0
 ANC 20050107  0.14  0.11  0.50  0.18  0.13 327.7
 ANC 20050108  0.15  0.13  0.49  0.25  0.17 294.5
 ANC 20050109  0.16  0.13  0.48  0.26  0.02 290.6
 ANC 20050110  0.15  0.11  0.54  0.15  0.00 324.7
 ANC 20050111  0.15  0.13  0.55  0.26  0.06 331.1
 ANC 20050112  0.15  0.12  0.35  0.34  0.08 337.9
 ANC 20050113  0.16  0.11  0.23  0.27  0.12 318.7
 ANC 20050114  0.17  0.07  0.00  0.14  0.08 313.4
 ANC 20050115  0.18  0.09  0.00  0.08  0.26 297.3
 ANC 20050116  0.17  0.17  0.66  0.33  0.00 319.2
 ANC 20050117  0.16  0.15  0.73  0.21  0.04 364.3
 ANC 20050118  0.17  0.16  0.70  0.30  0.00 357.3
 ANC 20050119  0.18  0.14  0.31  0.32  0.23 346.0
 ANC 20050120  0.17  0.09  0.00  0.14  0.35 369.9
 ANC 20050121  0.19  0.08  0.00  0.03  0.18 347.8
 ANC 20050122  0.19  0.09  0.00  0.12  0.25 357.1
 ANC 20050123  0.19  0.10  0.00  0.17  0.32 367.3
 ANC 20050124  0.20  0.13  0.00  0.21  0.47 354.9
 ANC 20050125  0.21  0.11  0.00  0.12  0.30 363.0
 ANC 20050126  0.21  0.18  0.42  0.32  0.21 372.1
 ANC 20050127  0.21  0.20  0.71  0.26  0.03 394.3
 ANC 20050128  0.21  0.15  0.13  0.33  0.23 401.0
 ANC 20050129  0.22  0.15  0.07  0.28  0.32 390.7
 ANC 20050130  0.22  0.13  0.02  0.19  0.34 404.3
 ANC 20050131  0.21  0.19  0.62  0.19  0.16 447.1
 ANC 20050201  0.23  0.20  0.61  0.19  0.12 434.2
 ANC 20050202  0.22  0.20  0.49  0.26  0.21 469.4
