 BIS 20050101  0.96  0.35  0.00  0.00  0.11 281.8
 BIS 20050102  0.87  0.61  0.17  0.31  0.20 312.6
 BIS 20050103  0.89  0.57  0.03  0.32  0.28 309.0
 BIS 20050104  0.88  0.66  0.29  0.30  0.15 316.4
 BIS 20050105  0.84  0.70  0.55  0.23  0.03 336.1
 BIS 20050106  0.84  0.77  0.75  0.16  0.01 339.7
 BIS 20050107  0.91  0.56  0.09  0.26  0.21 318.0
 BIS 20050108  0.95  0.57  0.15  0.21  0.14 306.9
 BIS 20050109  0.86  0.50  0.00  0.30  0.24 345.0
 BIS 20050110  0.95  0.70  0.10  0.41  0.27 312.3
 BIS 20050111  1.04  0.57  0.01  0.24  0.22 290.2
 BIS 20050112  0.99  0.77  0.29  0.34  0.18 310.5
 BIS 20050113  0.83  0.70  0.48  0.25  0.14 375.2
 BIS 20050114  0.80  0.74  0.62  0.28  0.08 400.7
 BIS 20050115  0.81  0.75  0.48  0.41  0.11 397.8
 BIS 20050116  0.97  0.91  0.53  0.38  0.10 339.0
 BIS 20050117  1.07  0.70  0.21  0.20  0.20 313.3
 BIS 20050118  1.07  0.66  0.07  0.29  0.20 315.8
 BIS 20050119  1.05  0.52  0.01  0.17  0.18 327.6
 BIS 20050120  1.21  0.66  0.00  0.22  0.25 288.9
 BIS 20050121  1.17  0.51  0.00  0.08  0.17 303.2
 BIS 20050122  1.11  1.02  0.76  0.16  0.00 327.7
 BIS 20050123  1.28  0.88  0.16  0.29  0.23 291.6
 BIS 20050124  1.44  1.03  0.10  0.39  0.25 266.0
 BIS 20050125  1.41  1.16  0.35  0.37  0.13 276.0
 BIS 20050126  1.37  0.92  0.28  0.22  0.10 290.9
 BIS 20050127  1.42  0.93  0.17  0.28  0.15 286.1
 BIS 20050128  1.43  0.80  0.00  0.25  0.24 288.6
 BIS 20050129  1.29  0.87  0.36  0.15  0.06 324.3
 BIS 20050130  1.38  0.92  0.11  0.33  0.21 311.3
 BIS 20050131  1.37  1.05  0.54  0.12  0.04 318.7
 BIS 20050201  1.55  1.26  0.38  0.34  0.10 289.9
 BIS 20050202  1.42  1.18  0.33  0.39  0.16 321.5
 BIS 20050203  1.66  1.28  0.26  0.37  0.15 284.5
 BIS 20050204  1.62  1.20  0.22  0.36  0.16 297.5
 BIS 20050205  1.53  1.11  0.14  0.38  0.24 321.3
 BIS 20050206  1.33  1.00  0.27  0.31  0.18 376.6
 BIS 20050207  1.35  0.78  0.07  0.21  0.23 378.2
 BIS 20050208  1.40  0.84  0.19  0.16  0.15 373.0
 BIS 20050209  1.38  1.10  0.31  0.34  0.18 386.7
 BIS 20050210  1.41  1.21  0.36  0.39  0.17 385.0
 BIS 20050211  1.45  1.34  0.49  0.38  0.14 385.0
 BIS 20050212  1.48  1.37  0.66  0.26  0.03 385.0
 BIS 20050213  1.52  1.09  0.06  0.40  0.32 385.0
 BIS 20050214  1.55  1.17  0.19  0.33  0.29 385.0
 BIS 20050215  1.59  1.21  0.15  0.40  0.27 385.0
 BIS 20050216  1.63  1.36  0.39  0.31  0.19 385.0
 BIS 20050217  1.66  1.12  0.05  0.36  0.28 385.0
 BIS 20050218  1.70  1.39  0.45  0.24  0.14 385.0
 BIS 20050219  1.74  1.16  0.18  0.28  0.17 385.0
 BIS 20050220  1.77  0.96  0.05  0.22  0.16 385.0
 BIS 20050221  1.82  1.35  0.13  0.40  0.26 385.0
 BIS 20050222  1.86  1.59  0.57  0.19  0.10 385.0
 BIS 20050223  1.91  1.51  0.39  0.28  0.12 385.0
 BIS 20050224  1.95  1.61  0.41  0.29  0.15 385.0
 BIS 20050225  2.00  1.66  0.43  0.32  0.10 385.0
 BIS 20050226  2.04  1.44  0.35  0.18  0.12 385.0
 BIS 20050227  2.09  1.46  0.17  0.32  0.20 385.0
 BIS 20050228  2.13  1.64  0.23  0.35  0.23 385.0
 BIS 20050301  2.18  1.90  0.47  0.34  0.10 385.0
 BIS 20050302  2.22  1.81  0.44  0.29  0.08 385.0
 BIS 20050303  2.28  2.09  0.52  0.36  0.10 385.0
 BIS 20050304  2.33  1.85  0.22  0.39  0.25 385.0
 BIS 20050305  2.38  2.16  0.53  0.31  0.13 385.0
 BIS 20050306  2.43  2.04  0.17  0.50  0.29 385.0
 BIS 20050307  2.48  1.88  0.40  0.21  0.12 385.0
 BIS 20050308  2.53  1.33  0.13  0.10  0.15 385.0
 BIS 20050309  2.59  1.73  0.07  0.30  0.32 385.0
 BIS 20050310  2.64  1.71  0.17  0.23  0.20 385.0
 BIS 20050311  2.69  2.27  0.30  0.37  0.27 385.0
 BIS 20050312  2.74  1.77  0.24  0.19  0.14 385.0
 BIS 20050313  2.80  2.03  0.07  0.40  0.32 385.0
 BIS 20050314  2.86  1.90  0.16  0.23  0.26 385.0
 BIS 20050315  2.92  1.94  0.11  0.30  0.25 385.0
 BIS 20050316  2.97  1.83  0.13  0.20  0.23 385.0
